	S3SD5	WTSD5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	190.6	207.4	-0.12803816843544	1.32193497458801	1.07298512870682	0.310633454571771	0.789269561529006	100008567	Gm14964
100009600	62.4	63.4	-0.0241248037881627	0.0366951090585276	0.0136208606206099	0.90810274895514	0.985230846015197	100009600	Zglp1
100017	16.2	19.4	-0.235711024629955	1.4564737721889	3.76320369103226	0.0642738456686028	0.550819099926017	100017	Ldlrap1
100019	364.6	365.8	-0.00191072954234302	6.20347718578923	0.00178090880841073	0.966731686820606	0.996686879230367	100019	Mdn1
100034361	96.4	97.2	-0.0199936716235362	2.50276351030874	0.050229108173378	0.824568759058588	0.969200148400235	100034361	Mfap1b
100034726	731.4	754	-0.0466073402437385	5.54226299396847	1.12311063748989	0.299836374133947	0.78171329863829	100034726	Gm15772
100036521	1873.4	1828.2	0.0333942665420681	5.08041487286162	0.675477229330704	0.419267408659804	0.851229720290807	100036521	Umad1
100036768	76.2	80	-0.052858803881339	1.12396932992506	0.149388551154114	0.702537982337069	0.93892593589459	100036768	Gm11696
100037258	3076.4	3042.6	0.0113949627887011	6.04423403113943	0.0923217913737998	0.763873899234188	0.956818431138458	100037258	Dnajc3
100037262	38.4	39.4	-0.0575677606776415	0.968832457543911	0.178555618757131	0.676392620921317	0.933951131020132	100037262	Gm12359
100037278	84.2	88.4	-0.0789706826404594	1.26498768840677	0.381883565038871	0.542437713619252	0.893833670233063	100037278	Fam129c
100037282	129.4	144.8	-0.165118607413348	2.47496283932748	2.95113172141471	0.0987407489854884	0.629560663042629	100037282	Rsph3b
100037283	342.6	313.8	0.127877241212053	0.659037907768858	0.405395597320725	0.530631316098724	0.889692299117307	100037283	Rnaset2a
100037396	428.8	431.6	-0.013520050460826	3.502565743793	0.0443568891219861	0.834975228135128	0.97116607986406	100037396	D030047H15Rik
100038347	2567.2	2613.2	-0.029392713271271	5.18104876571695	0.254964753355165	0.619134542091441	0.91685102737471	100038347	Fam174b
100038356	270.6	255.4	0.0609990233934899	2.33770198018005	0.307801640500802	0.584184512702901	0.907010516018793	100038356	Gm15612
100038392	70	64.8	0.0938881200056327	0.662892807491755	0.487942123532281	0.513464576213151	0.883834284804827	100038392	Gm10785
100038411	96.8	105.2	-0.0807729266406315	0.505903113130574	0.145457343715147	0.706456641817757	0.941133577120667	100038411	Gm15998
100038416	62.8	61.4	0.0631445212899031	0.657709641650341	0.181639842479953	0.6927739631687	0.935737757748946	100038416	Gm10643
100038453	62.2	74	-0.272464141972949	0.651661542072378	2.6884213616289	0.1141697799501	0.652123604666	100038453	Gm12522
100038486	37.6	33	0.205226412254326	1.86223829500806	2.93453233684106	0.0996406981530239	0.632879379795407	100038486	Gm10742
100038526	153	160.6	-0.0767664977437091	2.81305314094739	1.05998860506725	0.3135186924948	0.789768934165903	100038526	Gm10560
100038538	28.4	29.8	-0.0792621139455907	1.56666994131006	0.622540582410354	0.437857435187788	0.857370413303337	100038538	Gm10767
100038570	75.8	82.4	-0.130580725816169	1.00582094724569	0.61799798495647	0.439512647440136	0.858257841424092	100038570	Prcd
