	S3HC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	233.2	224.8	0.0609806949729644	1.32193497458801	0.366705596281954	0.550509834480665	0.920947208013474	100008567	Gm14964
100009600	30.4	34	-0.146927313593814	0.0366951090585276	0.450843717822095	0.508613248974953	0.911543347716377	100009600	Zglp1
100017	20.4	20	0.0354328042150953	1.4564737721889	0.126794109198797	0.724901558660983	0.96473952571161	100017	Ldlrap1
100019	312.4	317.8	-0.0192643057814827	6.20347718578923	0.194315195179089	0.663790507434216	0.952816513345509	100019	Mdn1
100034361	100.4	93.2	0.0986973725876253	2.50276351030874	1.57414978762371	0.221729225151778	0.790459756046058	100034361	Mfap1b
100034726	740.4	754	-0.0275970094804607	5.54226299396847	0.453180873709746	0.507282210472408	0.911031819305458	100034726	Gm15772
100036521	2017.6	1935.4	0.0587039093912256	5.08041487286162	2.45280652734445	0.130452702596902	0.704192424123207	100036521	Umad1
100036768	93.4	98.6	-0.0691399189697762	1.12396932992506	0.410255836941604	0.527929816226275	0.916052525558003	100036768	Gm11696
100037258	2044.6	2009.4	0.0250800281815317	6.04423403113943	0.45316417716627	0.507289960539212	0.911031819305458	100037258	Dnajc3
100037262	36.8	35.8	0.0256879306287471	0.968832457543911	0.0434910113765792	0.836569472995059	0.980646966487883	100037262	Gm12359
100037278	49.2	50.6	-0.0381563921407171	1.26498768840677	0.0888903043736541	0.768167652406803	0.97173593683894	100037278	Fam129c
100037282	145.4	153.8	-0.079675196775887	2.47496283932748	0.951500713474078	0.339102062444753	0.848864912494071	100037282	Rsph3b
100037283	418.4	417.6	0.0156736653900107	0.659037907768858	0.00969544497683463	0.922419765744706	0.993136585142771	100037283	Rnaset2a
100037396	398	385.2	0.0514089327752842	3.502565743793	0.761620271209803	0.39150037982122	0.868885242178293	100037396	D030047H15Rik
100038347	2217.4	2313.6	-0.0567444109459119	5.18104876571695	1.05412835364236	0.316849867777107	0.840575865234179	100038347	Fam174b
100038356	374.8	399	-0.079742430985734	2.33770198018005	0.81183059629425	0.376564321619277	0.863796206271047	100038356	Gm15612
