	S3HC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	242.2	233.4	0.061309563096318	1.32193498274519	0.370950838931572	0.54823491717687	0.919315385927224	100008567	Gm14964
100009600	28.4	31.8	-0.148311864851163	0.03669465038035	0.460472436431549	0.504163438394978	0.909347124521317	100009600	Zglp1
100017	20.6	20	0.0358827531189083	1.45647405835695	0.129635300404232	0.721973955507017	0.964595999750702	100017	Ldlrap1
100019	300.2	305.8	-0.0200415717425186	6.20347676631838	0.207270099237579	0.653557044502881	0.949569706287693	100019	Mdn1
100034361	104.2	96.6	0.09876326225652	2.50276319769116	1.57802975685458	0.221190379237691	0.789403886790516	100034361	Mfap1b
100034726	752.4	766.2	-0.0275265308579207	5.5422629491117	0.451651997030447	0.507999186938034	0.910723210673778	100034726	Gm15772
100036521	2009.4	1927.4	0.0587464276089022	5.08041497847888	2.45200599279688	0.130525672860922	0.70343701548537	100036521	Umad1
100036768	94.8	99.8	-0.0692018617797854	1.1239695844859	0.411175351002056	0.527477744583574	0.915814683652953	100036768	Gm11696
100037258	2079.6	2043.4	0.0251981878978928	6.04423296952011	0.457421163949451	0.505327215589073	0.909347124521317	100037258	Dnajc3
100037262	38	36.8	0.025242599112093	0.968831877750059	0.0419410926030272	0.839466876076766	0.980578295500771	100037262	Gm12359
100037278	49.2	50.8	-0.0381509294566164	1.26498694349942	0.0888711758693472	0.768194421388118	0.97142623320091	100037278	Fam129c
100037282	150.2	159.2	-0.0794077005914197	2.47496302808666	0.945281420039736	0.340664927930455	0.849531950355679	100037282	Rsph3b
100037283	387.8	387.2	0.0152184661933975	0.659038181708479	0.00916138050639104	0.924577940678069	0.992951667138814	100037283	Rnaset2a
100037396	389.8	377.4	0.0511318577701788	3.50256561659345	0.754192557390891	0.393792619950701	0.869984457275899	100037396	D030047H15Rik
100038347	2177.2	2271.8	-0.0567529755069097	5.18104849788771	1.05663642908754	0.316272290702661	0.840851817760532	100038347	Fam174b
100038356	378.2	402.6	-0.0794103850457313	2.33770279710803	0.804443951935834	0.378717508920711	0.865041541393797	100038356	Gm15612
100038392	59.2	60.8	-0.059209535155265	0.66289265908966	0.234337346438903	0.632734228133725	0.944013455213394	100038392	Gm10785
100038411	120	107.8	0.122132650507088	0.505903336679853	0.550493658423097	0.465742318867337	0.89566960889458	100038411	Gm15998
100038416	78.2	87.4	-0.148462736580387	0.657710121813108	1.83816229520206	0.187844808933857	0.759977305423812	100038416	Gm10643
100038453	76.4	90.4	-0.22169167909117	0.65166172010388	2.84400361165288	0.10473269015625	0.672943099886503	100038453	Gm12522
100038486	45.4	43.2	0.0909964064307335	1.86223877706794	0.881366814840627	0.357222865524807	0.856291378444665	100038486	Gm10742
100038526	156.8	169.6	-0.108225814415327	2.81305317075964	2.74596075356123	0.110576388519604	0.681749415024367	100038526	Gm10560
100038538	26.6	30.4	-0.179745903234965	1.56666947369548	3.93187970412202	0.0589899899726731	0.584746272743912	100038538	Gm10767
100038570	72.2	91.6	-0.304302752238099	1.00582133839909	5.10715577833664	0.0332251667528087	0.507707704640335	100038570	Prcd
100038575	63	67.8	-0.108212182397612	2.68089318530017	1.3864114675714	0.251123489313477	0.80942103662047	100038575	Gm10635
100038577	84.6	84.8	-0.00272297659407419	0.837730741528578	0.0004928749808915	0.98247217525549	0.997378490406187	100038577	Gm10790
100038591	102.2	104.8	-0.028665055885953	1.15664327861252	0.0725971446126342	0.789905676660592	0.976539005819475	100038591	F420014N23Rik
100038605	61.8	64.8	-0.059316063907595	2.20576139890119	0.553345607079916	0.464207708827019	0.89566960889458	100038605	E030047D23Rik
100038614	4.8	6.2	-0.253830374649742	1.19044697431445	7.25146708327353	0.0127419154457583	0.401266957801971	100038614	Gm10791
100038647	5.2	4.4	0.0825058460715644	1.03787678056979	0.345109637148931	0.562406312890349	0.924290924427051	100038647	Gm10572
100038688	110.6	106.8	0.0476026231391934	0.209999822363275	0.114704796793274	0.737808708428858	0.967002341416652	100038688	Gm10724
100038712	156.2	154.2	0.017709702803208	2.3865169144285	0.0690671139138987	0.816140907579689	0.977547273454166	100038712	Gm10516
100038713	35.8	33.6	0.0876741362342022	0.662983335770842	0.404802019061862	0.530668482305095	0.915817131389168	100038713	Gm10432
100038725	103	98.8	0.0610859854873905	2.81967768726531	0.988870089548794	0.329984484300942	0.845673002852094	100038725	Cep85l
100038739	55.2	58	-0.0869617991919058	1.65449248637075	0.840441341665439	0.368432697105921	0.860216324555652	100038739	Gm10615
100038746	1073.6	1139.8	-0.0810906362794436	3.78132814750445	2.89794364631593	0.101671238041512	0.665559816418487	100038746	Gm1976
100038882	62.6	62.6	-0.0130955214853999	0.814562360276697	0.0125324443772938	0.911799597308089	0.991607679461426	100038882	Isg15
100038999	33	30.8	0.0974457866127	0.949114411010046	0.636961985728627	0.432675111323767	0.887405816611976	100038999	Gm13552
100039017	271.4	282	-0.0592225424174659	2.13455333824111	0.6083829478731	0.443056672280541	0.892861562419809	100039017	Gm2007
100039027	5.8	6	-0.0471452427709415	0.854998697509968	0.164584371779155	0.688580867598598	0.955963197161772	100039027	Gm2011
100039060	34.4	36	-0.0640826866021264	1.22466960333737	0.449546614503869	0.508980506460167	0.911172187314251	100039060	0610010B08Rik
100039062	2328	2187.6	0.0783216800912718	1.07537996897731	0.447029908747293	0.51015795466382	0.911180502135465	100039062	Gm2027
100039138	202.2	178.6	0.193705318858621	0.725530246801677	2.95847015265799	0.0983588984649547	0.658351389411565	100039138	Gm2061
100039239	23.8	24.6	-0.0333784543079121	2.1182659914894	0.158478786746472	0.694096124983324	0.957479040896065	100039239	Gm2115
100039252	897.8	924.6	-0.0407047639178081	3.31204209027577	0.657441604107359	0.425468717154552	0.882946853948584	100039252	Gm12693
100039257	1068.6	1111	-0.0171672695129456	0.415195980063157	0.0126644230763241	0.911338423746669	0.991607679461426	100039257	Tmem254b
100039304	25.4	25.4	0.0155805114029592	1.99501320996756	0.0104511285212148	0.919832153880402	0.992232817488891	100039304	Gm2148
100039307	356.6	393.6	-0.0945589587058456	0.473612316878425	0.641999843785591	0.458369899684536	0.894978706449974	NA	NA
100039419	1019	1013.2	0.00351809249724028	5.27006748016802	0.00650972984231951	0.936366232780844	0.992951667138814	100039419	Gm2223
100039422	744.6	829	-0.159027167919623	3.71866545872974	7.71654338436846	0.0104781481540331	0.374185847226092	100039422	Gm2225
100039495	21.8	21.8	-0.00647981068763703	1.35350061190997	0.00329755038995765	0.954684798538274	0.994615893384681	100039495	Gm15706
100039503	217	230.8	-0.0998497548191716	2.28153004187145	1.6282158578669	0.214216552507858	0.784130044172016	100039503	Gm2274
100039571	17	19.4	-0.1927792672526	0.998742748148766	2.57522795781388	0.121687672669324	0.695698254617832	100039571	Gm10335
100039636	10219.6	9802.6	0.0598305167266048	7.15128253951394	2.95808018156227	0.0983798354972016	0.658351389411565	100039636	Atp6v0c-ps2
