ab	check	gene
100503620	100503620	Gm15337
114565	114565	Zbtb21
11516	11516	Adcyap1
11984	11984	Atp6v0c
12153	12153	Bmp1
14284	14284	Fosl2
14860	14860	Gsta4
16476	16476	Jun
16581	16581	Kifc2
16835	16835	Ldlr
18030	18030	Nfil3
19418	19418	Rasgrf2
19944	19944	Rpl29
20190	20190	Ryr1
20356	20356	Sema5a
20677	20677	Sox4
20849	20849	Stat4
215707	215707	Ccdc92
21941	21941	Tnfrsf8
223881	223881	Rnd1
231070	231070	Insig1
231148	231148	Ablim2
232370	232370	Clstn3
24066	24066	Spry4
26417	26417	Mapk3
269589	269589	Sytl1
269615	269615	Plch2
286940	286940	Flnb
320506	320506	Lmbrd2
338372	338372	Map3k9
433586	433586	Maml3
50706	50706	Postn
52430	52430	Echdc2
53324	53324	Nptx2
54006	54006	Deaf1
64099	64099	Parvg
68203	68203	Diras2
69908	69908	Rab3b
70439	70439	Taf15
72168	72168	Aifm3
72301	72301	Shisal1
73826	73826	Poldip3
74127	74127	Krt80
76645	76645	Pkd1l2
76795	76795	Tbc1d9b
81840	81840	Sorcs2
