Affymetrix Probeset ID	Ensembl ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17440538	ENSMUSG00000033316	Galnt9	0,5333606574	8,7314322769	9,2192710617	1,7183202767851E-12	5,63557501177209E-08	17,4355735368
17540027	NA	NA	-0,5422217996	10,1427287385	-8,2464251903	5,51671356273528E-11	9,04658273585145E-07	14,343271717
17288677	ENSMUSG00000021587	Pcsk1	0,4195458181	8,6585404615	7,9896840101	1,39557202324599E-10	1,52568585487996E-06	13,5096984091
17423321	ENSMUSG00000049225	Pdp1	0,3617207072	10,5945827692	7,8093789125	2,68462183402101E-10	2,20118855725968E-06	12,9206822989
17295136	ENSMUSG00000021676	Iqgap2	0,5140594038	8,9062014	7,6009210045	5,73183306994956E-10	3,75973858390271E-06	12,236416318
17395009	ENSMUSG00000067578	Cbln4	0,5747908069	7,1832501538	7,4453136624	0,000000001	5,52583413001098E-06	11,723620089
17335467	NA	NA	0,7345370407	7,9531594	7,1787325457	2,67693073773425E-09	1,25421853436386E-05	10,8418252014
17429632	ENSMUSG00000028655	Mfsd2a	0,5942236509	8,6657944615	7,1352874826	3,1378003703503E-09	1,28638048432973E-05	10,6977917559
17352265	ENSMUSG00000024647	Cbln2	0,4095477597	8,379883	7,047636334	4,32358275901876E-09	1,46591683842413E-05	10,4069758081
17513297	ENSMUSG00000031758	Cdyl2	0,4417852269	7,9436913231	7,0385516335	4,46966746478071E-09	1,46591683842413E-05	10,3768180501
17483912	ENSMUSG00000006205	Htra1	0,3245206447	8,7713771846	6,91381281	7,05419913487682E-09	2,10324153660505E-05	9,962477484
17332766	ENSMUSG00000034265	Zdhhc14	0,3527315576	9,6718248308	6,8847820851	7,84459207712257E-09	0,000021127	9,8659881163
17374077	ENSMUSG00000048482	Bdnf	0,461990032	6,2074136769	6,8669203864	8,37428513523434E-09	0,000021127	9,8066119922
17414408	ENSMUSG00000038630	Zkscan16	-0,3627578623	9,5133874154	-6,6286911953	0,00000002	4,40958254574017E-05	9,014247918
17481863	ENSMUSG00000038244	Mical2	0,438019237	11,1041830769	6,6227825772	2,04494860970026E-08	4,40958254574017E-05	8,9945903475
