	Ensembl ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17395009	ENSMUSG00000067578	Cbln4	0,6615382357	7,1832501538	8,8570605168	6,19062602799905E-12	0,000000203	16,4174695821
17241676	ENSMUSG00000019945	Cabcoco1	-0,5917750455	7,3501154769	-8,5761994859	1,6865282288118E-11	2,11661245618747E-07	15,5140760531
17335467	ENSMUSG00000023067	Cdkn1a	0,8451698649	7,9531594	8,5376736897	1,93610310960222E-11	2,11661245618747E-07	15,3894523115
17440538	ENSMUSG00000033316	Galnt9	0,4729761456	8,7314322769	8,4503815889	2,64803905971949E-11	2,1711934260405E-07	15,1064756297
17295136	ENSMUSG00000021676	Iqgap2	0,5350616616	8,9062014	8,1774560882	7,07570372327623E-11	0,000000434	14,2165800808
17301718	ENSMUSG00000033730	Egr3	0,8347043188	8,7755221538	8,1455677009	7,93951490561676E-11	0,000000434	14,1121223677
17508835	ENSMUSG00000039539	Sgcz	-0,5703572393	7,9984433538	-8,0191934697	1,25409107092913E-10	5,87577497903754E-07	13,6972230571
17360260	ENSMUSG00000063434	Sorcs3	0,4355187873	9,5104938769	7,9251007362	1,76372931741229E-10	7,23062880289637E-07	13,3873813137
17540027	#N/D	#N/D	-0,4885984731	10,1427287385	-7,6807270341	4,28624892896966E-10	0,000001562	12,5792970788
17374077	ENSMUSG00000048482	Bdnf	0,4910826043	6,2074136769	7,5447600728	7,03370813497892E-10	2,30684525702904E-06	12,1277926658
17297759	#N/D	#N/D	0,5922998306	8,4754764615	7,3961578349	1,20958379994703E-09	3,6064290806239E-06	11,632992718
17322927	ENSMUSG00000037972	Snn	-0,2830965897	9,0801192462	-7,2326183556	2,19831328964817E-09	6,00817341338258E-06	11,0870757747
17444498	ENSMUSG00000059991	Nptx2	0,5939151578	7,8505640615	7,1846173444	2,61995276764316E-09	6,37644010191084E-06	10,9266068351
17437350	#N/D	#N/D	0,5789320473	6,8955532308	7,1741758948	2,72190021729889E-09	6,37644010191084E-06	10,891688129
17332804	ENSMUSG00000023805	Synj2	0,3037315344	8,6141226615	7,1273226767	3,23053389377972E-09	7,06345467428624E-06	10,7349475999
17483912	ENSMUSG00000006205	Htra1	0,3222404638	8,7713771846	7,096052778	3,62191234136663E-09	7,42424119123758E-06	10,6302938482
17297801	#N/D	#N/D	0,5417379976	10,1371270462	6,906221475	7,25284714755094E-09	1,32150904387905E-05	9,9943330279
17297833	#N/D	#N/D	0,5417379976	10,1371270462	6,906221475	7,25284714755094E-09	1,32150904387905E-05	9,9943330279
