	Ensembl.ID	MGI.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17440538	ENSMUSG00000033316	Galnt9	0,661285249	8,7314322769	12,3102813717	5,64466665725885E-17	1,85128132358119E-12	27,5553025957
17335467	ENSMUSG00000023067	Cdkn1a	0,997863617	7,9531594	10,502889545	2,05008617739392E-14	3,36183381799942E-10	22,1462136739
17395009	ENSMUSG00000067578	Cbln4	0,7322482812	7,1832501538	10,2149226849	5,44590465532875E-14	4,60575740678532E-10	21,2404724505
17451356	ENSMUSG00000042216	Sgsm1	0,7432724194	8,4319779385	10,2058373154	5,61729110197313E-14	4,60575740678532E-10	21,2117077867
17288677	ENSMUSG00000021587	Pcsk1	0,4740239829	8,6585404615	9,7219651417	2,96661489167815E-13	1,94592137204737E-09	19,6635259341
17549264	NA	NA	-0,4019088832	10,1345750308	-9,5992233779	4,54392140964411E-13	2,17671712554238E-09	19,2658675663
17225506	NA	NA	0,578636176	7,7622745538	9,592849701	4,64585781589679E-13	2,17671712554238E-09	19,2451651114
17387485	ENSMUSG00000034075	Zdhhc5	0,286168655	9,7401712769	9,1451624087	2,23119067047667E-12	9,1470450524529E-09	17,7783459929
17513297	ENSMUSG00000031758	Cdyl2	0,5295219422	7,9436913231	9,0857254732	2,75222974221475E-12	0,00000001	17,5817862377
17515617	ENSMUSG00000034275	Igsf9b	0,510670641	9,2021783077	8,9074012173	5,17661374634817E-12	1,58691386060398E-08	16,9896324527
17507374	ENSMUSG00000038894	Irs2	0,6911367914	8,4026536	8,8995782443	5,32245402525957E-12	1,58691386060398E-08	16,9635733084
17289137	ENSMUSG00000007617	Homer1	0,5640541076	9,7241077231	8,7414552793	9,34383644365298E-12	2,30943004550883E-08	16,4354226769
17413191	ENSMUSG00000036052	Dnajb5	0,6284083388	8,8268944308	8,7389040386	9,42924172261169E-12	2,30943004550883E-08	16,4268792984
17280054	ENSMUSG00000020601	Trib2	0,5893142888	7,6212607077	8,7264314974	9,85822503190036E-12	2,30943004550883E-08	16,3851024717
17360348	ENSMUSG00000034765	Dusp5	0,8820216552	6,7882112923	8,5270405223	2,01131437121028E-11	0,000000044	15,7150759488
17358905	ENSMUSG00000041180	Hectd2	0,3544056781	8,4336622308	8,4887675176	2,30721719252593E-11	4,72936264145456E-08	15,5860119416
17213608	ENSMUSG00000025964	Adam23	-0,292505175	10,3483598615	-8,3793168735	3,41848079703378E-11	6,3717785119938E-08	15,2161534974
17332804	ENSMUSG00000023805	Synj2	0,3424542198	8,6141226615	8,3730005667	3,49702757007922E-11	6,3717785119938E-08	15,194775202
17301718	ENSMUSG00000033730	Egr3	0,8122763562	8,7755221538	8,2591351071	5,26959558658048E-11	0,000000091	14,808767634
17544939	ENSMUSG00000031431	Tsc22d3	0,5323214777	6,7504016615	8,2416493259	5,61255385965415E-11	0,000000092	14,7493890424
17289372	ENSMUSG00000041773	Enc1	0,2667044453	11,5115409231	8,1800609482	7,00946141312899E-11	1,09471098079234E-07	14,5400379789
17423321	ENSMUSG00000049225	Pdp1	0,347881624	10,5945827692	8,0886892407	9,75202368402653E-11	1,45380509438645E-07	14,2288684331
17328625	ENSMUSG00000022769	Sdf2l1	0,6179862947	7,1754425846	8,0749669004	1,02483288738964E-10	1,461367139466E-07	14,1820785946
17330410	ENSMUSG00000022799	Arhgap31	0,4326995113	8,0024818	7,9626915485	1,53899061577175E-10	2,10309480106108E-07	13,7987028409
17295136	ENSMUSG00000021676	Iqgap2	0,4981589217	8,9062014	7,9327608371	1,71540354376179E-10	2,2085725366958E-07	13,6963429803
17218060	ENSMUSG00000032487	Ptgs2	0,7040727867	8,2371600923	7,9271201891	1,75085788194319E-10	2,2085725366958E-07	13,6770453407
17370103	ENSMUSG00000026864	Hspa5	0,45501388	9,5181182154	7,8970381103	1,95275018841465E-10	2,31912835323335E-07	13,5740912252
17503446	ENSMUSG00000031700	Gpt2	0,3593477322	8,6126799385	7,8932296552	1,97992480685837E-10	2,31912835323335E-07	13,5610524845
17514871	ENSMUSG00000001774	Chordc1	0,3621227929	9,6828984	7,8613120619	2,22312424445036E-10	2,51420020155995E-07	13,4517390705
17297759	NA	NA	0,5974624314	8,4754764615	7,7735111448	3,05841957262665E-10	3,34356622411455E-07	13,1506810862
17313998	ENSMUSG00000023272	Creld2	0,3776837378	8,1944808769	7,7033208374	3,94790909880486E-10	4,16429378874535E-07	12,9096551958
17436237	ENSMUSG00000029135	Fosl2	0,6543165525	7,5731495231	7,6954176449	4,06309727230696E-10	4,16429378874535E-07	12,8824978095
17472955	ENSMUSG00000030306	Tmtc1	-0,2799866548	9,8332794154	-7,6774576863	4,33756058426392E-10	4,27904840018059E-07	12,8207691627
17374077	ENSMUSG00000048482	Bdnf	0,4788440546	6,2074136769	7,665262717	4,53445566111799E-10	4,27904840018059E-07	12,7788441987
17430609	ENSMUSG00000023232	Serinc2	0,8412006659	6,1633205538	7,6484585267	4,82054887021456E-10	4,27904840018059E-07	12,7210593154
17297801	NA	NA	0,5756279323	10,1371270462	7,6460146345	4,86363873047499E-10	4,27904840018059E-07	12,7126541277
17297833	NA	NA	0,5756279323	10,1371270462	7,6460146345	4,86363873047499E-10	4,27904840018059E-07	12,7126541277
17443519	ENSMUSG00000037428	Vgf	0,4729869672	9,1483239385	7,6407440675	4,95788758748856E-10	4,27904840018059E-07	12,6945261216
17283155	ENSMUSG00000051166	Eml5	0,3089644703	9,8150359538	7,6181222702	5,38367575051794E-10	4,52739522024967E-07	12,6167014097
17245481	ENSMUSG00000025795	Rassf3	-0,5164824446	7,9354588769	-7,5913259986	5,93576133294189E-10	4,86687911091238E-07	12,5244794026
17461414	ENSMUSG00000030103	Bhlhe40	0,502369564	9,9793448615	7,5606602836	6,6376156176712E-10	0,000000531	12,4188937362
17214735	ENSMUSG00000054976	Nyap2	-0,3325906972	8,3608859385	-7,5193847023	7,71553235895518E-10	6,02491225658697E-07	12,2767014449
17481863	ENSMUSG00000038244	Mical2	0,4608261741	11,1041830769	7,5039164381	8,16328309301022E-10	6,22630687445247E-07	12,2233924766
17231252	ENSMUSG00000016179	Camk1g	0,5749645409	8,5187253692	7,454374202	0,000000001	0,000000729	12,0525771599
17263511	ENSMUSG00000049892	Rasd1	0,7728253551	5,6091834308	7,4421056589	0,000000001	7,45453945257976E-07	12,010259567
17261825	ENSMUSG00000042032	Mat2b	-0,3107678818	9,2792674923	-7,402043028	1,18387297037364E-09	8,28329107360855E-07	11,8720271144
17487211	ENSMUSG00000003545	Fosb	0,7978403475	5,8418158615	7,4013103913	1,18704357245968E-09	8,28329107360855E-07	11,8694985882
17427661	ENSMUSG00000035126	Wdr78	0,3743205607	7,4846509231	7,3771207822	1,29664757028714E-09	0,000000886	11,7860014512
17288812	ENSMUSG00000071252	2210408I21Rik	-0,2964160069	8,6544638769	-7,3469084138	1,44789627497075E-09	9,69115390412565E-07	11,6816825528
