Ensembl ID	Mouse Gene 2.1 ST probeset ID	Mouse Genome 430 2.0 probeset ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000026544	17229948	1453074_at	Dusp23	-1,41369277830705E-05	5,9439547687	-0,0003193989	0,9997464192	0,9998325291	-6,6151570846
ENSMUSG00000034071	17486529	1437705_at	Zfp551	-1,81377838872621E-05	5,9352982951	-0,0002109388	0,9998325291	0,9998325291	-6,6151571134
ENSMUSG00000106547	17455231	1456750_at	B230303O12Rik	2,86545700491914E-05	4,4201319911	0,0005493522	0,9995638521	0,9997997374	-6,6151569846
ENSMUSG00000041057	17339476	1428390_at	Wdr43	4,57864397187535E-05	7,9698547438	0,0010387414	0,9991753108	0,9995290429	-6,6151565952
ENSMUSG00000051788	17401386	1431660_at	4930564D02Rik	7,335759288285E-05	4,6481138989	0,0010651912	0,9991543115	0,9995290429	-6,6151565673
ENSMUSG00000045267	17310835	1450585_at	Tas2r119	-0,000114023	4,0937064457	-0,0015836005	0,9987427306	0,9994135667	-6,6151558794
ENSMUSG00000050930	17506888	1435116_at	Map10	-9,62682503455881E-05	4,7702932587	-0,0015820222	0,9987439836	0,9994135667	-6,6151558819
ENSMUSG00000054150	17283742	1440402_at	Syne3	-0,000107303	4,6775994362	-0,0014811347	0,9988240813	0,9994135667	-6,6151560367
ENSMUSG00000078252	17269266	1453523_at	Krtap17-1	0,0001193697	4,9630398357	0,0017959321	0,9985741541	0,9994135667	-6,61515552
ENSMUSG00000032288	17517605	1416210_at	Imp3	-8,40135710653556E-05	8,6622322705	-0,0024912647	0,9980221091	0,9990828317	-6,6151540266
ENSMUSG00000018143	17444037	1418616_at	Mafk	0,000184415	7,0309540905	0,0036989468	0,9970632972	0,9990429799	-6,6151502815
ENSMUSG00000021706	17294907	1447947_at	Zfyve16	-0,0003371539	6,0470485657	-0,0048918272	0,9961162411	0,9990429799	-6,6151451477
ENSMUSG00000022705	17325725	1422278_at	Drd3	-0,0004347228	3,7571765018	-0,0054206508	0,9956963972	0,9990429799	-6,6151424158
ENSMUSG00000024032	17343176	1448156_at	Tff1	-0,0001893063	7,8477139421	-0,0041018337	0,9967434352	0,9990429799	-6,615148707
ENSMUSG00000030095	17460918	1426434_at	Tmem43	-0,0002138828	7,412240207	-0,0049672892	0,9960563302	0,9990429799	-6,615144775
ENSMUSG00000030471	17478277	1428307_at	Zdhhc13	9,63845649692985E-05	8,2889387846	0,0029365921	0,9976685511	0,9990429799	-6,6151528157
ENSMUSG00000030714	17483061	1451167_at	Sgf29	0,0001809708	6,4475920793	0,0026898503	0,9978644463	0,9990429799	-6,6151535111
ENSMUSG00000035198	17256549	1417144_at	Tubg1	0,0001759994	8,047736691	0,0044833087	0,9964405731	0,9990429799	-6,6151470664
ENSMUSG00000036023	17299518	1417800_at	Parp2	0,0001906899	8,0795456169	0,0047558181	0,9962242217	0,9990429799	-6,6151458051
ENSMUSG00000036078	17424319	1451956_a_at	Sigmar1	0,0001317802	7,7393158955	0,003510879	0,9972126091	0,9990429799	-6,6151509607
ENSMUSG00000042817	17455319	1419538_at	Flt3	-0,0002235924	6,8641425435	-0,003792271	0,9969892047	0,9990429799	-6,6151499312
ENSMUSG00000044471	17465608	1460417_at	Lncpint	0,0002325172	5,5655355299	0,0032397209	0,9974278887	0,9990429799	-6,6151518777
ENSMUSG00000046491	17248613	1431079_at	C1qtnf2	0,0003327869	4,6342589485	0,0054070172	0,9957072211	0,9990429799	-6,6151424897
ENSMUSG00000046879	17262202	1418825_at	Irgm1	-0,0001812541	6,7194104372	-0,0041496657	0,9967054602	0,9990429799	-6,6151485093
ENSMUSG00000047090	17246337	1433821_at	Tmem198b	-0,0001693167	7,3741394348	-0,0045212274	0,9964104685	0,9990429799	-6,6151468953
ENSMUSG00000050215	17424802	1422367_at	Olfr70	0,0003156751	4,5913301186	0,0046502488	0,9963080355	0,9990429799	-6,6151463025
ENSMUSG00000053358	17495836	1417711_at	Gm9905	-0,0001105846	5,1940448879	-0,0029165892	0,9976844319	0,9990429799	-6,6151528743
ENSMUSG00000062380	17506631	1415978_at	Tubb3	-0,0001250336	9,5464288258	-0,0027723404	0,9977989551	0,9990429799	-6,6151532854
ENSMUSG00000066440	17282171	1452306_at	Zfyve26	0,0001865505	7,0778606578	0,0043702749	0,9965303133	0,9990429799	-6,6151475677
ENSMUSG00000067567	17543675	1428933_at	Hdac8	-0,0002268335	6,452391598	-0,003132262	0,9975132033	0,9990429799	-6,6151522208
ENSMUSG00000068037	17340902	1422936_at	Mas1	0,0002916024	5,9931266754	0,0039942847	0,996828821	0,9990429799	-6,6151491432
ENSMUSG00000075042	17305592	1446238_at	4930431P03Rik	0,0002928519	4,1506904886	0,0046126529	0,9963378838	0,9990429799	-6,615146477
ENSMUSG00000081219	17390808	1456178_at	Bambi-ps1	-0,0003058362	4,7850778079	-0,0038743162	0,996924067	0,9990429799	-6,6151496161
ENSMUSG00000085637	17332216	1442131_at	1700048M11Rik	-0,0002293949	3,9108241282	-0,0036631633	0,9970917067	0,9990429799	-6,6151504135
ENSMUSG00000107402	17464473	1446122_at	4732416N19Rik	-0,0002110354	5,2105980894	-0,0029934793	0,9976233868	0,9990429799	-6,6151526467
ENSMUSG00000019808	17231733	1419130_at	Adat2	-0,0004878233	6,2574081608	-0,0083771981	0,9933491596	0,9989791351	-6,6151219795
ENSMUSG00000020698	17266773	1419227_at	Cct6b	-0,000663188	3,9877837996	-0,0089905987	0,9928621804	0,9989791351	-6,6151166426
ENSMUSG00000020773	17272163	1426784_at	Trim47	-0,0005149985	5,1264769931	-0,0075484556	0,9940071029	0,9989791351	-6,6151285914
ENSMUSG00000022477	17313394	1436934_s_at	Aco2	-0,0001660789	11,5540543582	-0,0072287891	0,994260889	0,9989791351	-6,6151309578
ENSMUSG00000024863	17358640	1418787_at	Mbl2	0,0006962137	3,8767238643	0,0065646777	0,9947881351	0,9989791351	-6,6151355468
ENSMUSG00000027927	17407386	1453235_at	Lelp1	-0,0004744645	5,0064225254	-0,0064810468	0,9948545309	0,9989791351	-6,6151360934
ENSMUSG00000028031	17402698	1420512_at	Dkk2	0,0006952104	3,7510034277	0,0073008583	0,9942036726	0,9989791351	-6,6151304332
ENSMUSG00000028946	17433461	1422409_at	Hes3	0,0005064445	4,6168962763	0,0086805187	0,9931083528	0,9989791351	-6,6151193876
ENSMUSG00000029126	17447615	1423055_at	Nsg1	0,0002363887	10,8458041004	0,0077194589	0,993871342	0,9989791351	-6,6151272834
