	genotype	condition	classic	gcondition	description
S3HC5_S8	S3	HC5	CTRL	S3HC5	Home Cage Control
S3HC5_S12	S3	HC5	CTRL	S3HC5	Home Cage Control
S3HC5_S23	S3	HC5	CTRL	S3HC5	Home Cage Control
S3HC5_S28	S3	HC5	CTRL	S3HC5	Home Cage Control
S3HC5_S37	S3	HC5	CTRL	S3HC5	Home Cage Control
S3RS2_S5	S3	RS2	TREA	S3RS2	Recovery Sleep 2h
S3RS2_S9	S3	RS2	TREA	S3RS2	Recovery Sleep 2h
S3RS2_S18	S3	RS2	TREA	S3RS2	Recovery Sleep 2h
S3RS2_S25	S3	RS2	TREA	S3RS2	Recovery Sleep 2h
S3RS2_S33	S3	RS2	TREA	S3RS2	Recovery Sleep 2h
S3SD5_S2	S3	SD5	TREA	S3SD5	Sleep Deprivation 5h
S3SD5_S7	S3	SD5	TREA	S3SD5	Sleep Deprivation 5h
S3SD5_S14	S3	SD5	TREA	S3SD5	Sleep Deprivation 5h
S3SD5_S21	S3	SD5	TREA	S3SD5	Sleep Deprivation 5h
S3SD5_S30	S3	SD5	TREA	S3SD5	Sleep Deprivation 5h
WTHC5_S3	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S15	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S20	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S31	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S36	WT	HC5	CTRL	WTHC5	Home Cage Control
WTRS2_S10	WT	RS2	TREA	WTRS2	Recovery Sleep 2h
WTRS2_S17	WT	RS2	TREA	WTRS2	Recovery Sleep 2h
WTRS2_S26	WT	RS2	TREA	WTRS2	Recovery Sleep 2h
WTRS2_S34	WT	RS2	TREA	WTRS2	Recovery Sleep 2h
WTRS2_S40	WT	RS2	TREA	WTRS2	Recovery Sleep 2h
WTSD5_S1	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S13	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S22	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S29	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S38	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
