	genotype	condition	classic	gcondition	description
S3HC5_S8	KO	HC5	CTRL	KOHC5	Home Cage Control
S3HC5_S12	KO	HC5	CTRL	KOHC5	Home Cage Control
S3HC5_S23	KO	HC5	CTRL	KOHC5	Home Cage Control
S3HC5_S28	KO	HC5	CTRL	KOHC5	Home Cage Control
S3HC5_S37	KO	HC5	CTRL	KOHC5	Home Cage Control
S3HC7_S4	KO	HC7	CTRL	KOHC7	Home Cage Control
S3HC7_S11	KO	HC7	CTRL	KOHC7	Home Cage Control
S3HC7_S16	KO	HC7	CTRL	KOHC7	Home Cage Control
S3HC7_S27	KO	HC7	CTRL	KOHC7	Home Cage Control
S3HC7_S35	KO	HC7	CTRL	KOHC7	Home Cage Control
S3SD5_S2	KO	SD5	TREA	KOSD5	Sleep Deprivation 5h
S3SD5_S7	KO	SD5	TREA	KOSD5	Sleep Deprivation 5h
S3SD5_S14	KO	SD5	TREA	KOSD5	Sleep Deprivation 5h
S3SD5_S21	KO	SD5	TREA	KOSD5	Sleep Deprivation 5h
S3SD5_S30	KO	SD5	TREA	KOSD5	Sleep Deprivation 5h
WTHC5_S3	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S15	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S20	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S31	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC5_S36	WT	HC5	CTRL	WTHC5	Home Cage Control
WTHC7_S6	WT	HC7	CTRL	WTHC7	Home Cage Control
WTHC7_S19	WT	HC7	CTRL	WTHC7	Home Cage Control
WTHC7_S24	WT	HC7	CTRL	WTHC7	Home Cage Control
WTHC7_S32	WT	HC7	CTRL	WTHC7	Home Cage Control
WTHC7_S39	WT	HC7	CTRL	WTHC7	Home Cage Control
WTSD5_S1	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S13	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S22	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S29	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
WTSD5_S38	WT	SD5	TREA	WTSD5	Sleep Deprivation 5h
