	ph1$kmeans$cluster	check	gene
Abcd2	1	Abcd2	26874
Aifm3	1	Aifm3	72168
Amz1	1	Amz1	231842
Bhlhe41	1	Bhlhe41	79362
Bmp1	1	Bmp1	12153
Capn5	1	Capn5	12337
Cela1	1	Cela1	109901
Chia1	1	Chia1	81600
Cpne9	1	Cpne9	211232
Creg2	1	Creg2	263764
Ddn	1	Ddn	13199
Deaf1	1	Deaf1	54006
Dennd6b	1	Dennd6b	69440
Echdc2	1	Echdc2	52430
Extl1	1	Extl1	56219
Fggy	1	Fggy	75578
Flnb	1	Flnb	286940
Glt8d2	1	Glt8d2	74782
Gm15337	1	Gm15337	100503620
Gm7984	1	Gm7984	666211
Gprin1	1	Gprin1	26913
Gsg1l	1	Gsg1l	269994
Gsta4	1	Gsta4	14860
Hdac7	1	Hdac7	56233
Hlf	1	Hlf	217082
Jmy	1	Jmy	57748
Kcnj9	1	Kcnj9	16524
Kifc2	1	Kifc2	16581
Lmbrd2	1	Lmbrd2	320506
Lrrk2	1	Lrrk2	66725
Mapk1	1	Mapk1	26413
Mapk3	1	Mapk3	26417
Medag	1	Medag	70717
Mgat4b	1	Mgat4b	103534
Mttp	1	Mttp	17777
Nek6	1	Nek6	59126
Nenf	1	Nenf	66208
Nr1d1	1	Nr1d1	217166
Olfr287	1	Olfr287	634104
Otof	1	Otof	83762
Per3	1	Per3	18628
Pkd1l2	1	Pkd1l2	76645
Plch2	1	Plch2	269615
Plekha6	1	Plekha6	240753
Plxnb2	1	Plxnb2	140570
Postn	1	Postn	50706
Pou6f1	1	Pou6f1	19009
Pphln1	1	Pphln1	223828
Prrt2	1	Prrt2	69017
Psd3	1	Psd3	234353
Pwwp2b	1	Pwwp2b	101631
Rabl2	1	Rabl2	68708
Rap1gap2	1	Rap1gap2	380711
Rapgefl1	1	Rapgefl1	268480
Rasgrf2	1	Rasgrf2	19418
Rgs16	1	Rgs16	19734
Rnf207	1	Rnf207	433809
Rpap3	1	Rpap3	71919
Ryr1	1	Ryr1	20190
Sgpp2	1	Sgpp2	433323
Slc22a4	1	Slc22a4	30805
Slc24a4	1	Slc24a4	238384
Slc6a15	1	Slc6a15	103098
Smarca2	1	Smarca2	67155
Susd2	1	Susd2	71733
Syt17	1	Syt17	110058
Syt7	1	Syt7	54525
Sytl1	1	Sytl1	269589
Tbc1d9b	1	Tbc1d9b	76795
Tef	1	Tef	21685
Tmem106c	1	Tmem106c	380967
Tmem114	1	Tmem114	74720
Tnfrsf8	1	Tnfrsf8	21941
Tuba1c	1	Tuba1c	22146
Wscd1	1	Wscd1	216881
Ablim2	2	Ablim2	231148
Amigo2	2	Amigo2	105827
B3gnt2	2	B3gnt2	53625
Ccbe1	2	Ccbe1	320924
Ccdc92	2	Ccdc92	215707
Cfap100	2	Cfap100	243538
Col1a2	2	Col1a2	12843
Dnajc28	2	Dnajc28	246738
Elk1	2	Elk1	13712
Fosl2	2	Fosl2	14284
Fst	2	Fst	14313
Gm11549	2	Gm11549	100503068
Hrk	2	Hrk	12123
Ifrd1	2	Ifrd1	15982
Islr2	2	Islr2	320563
Itga11	2	Itga11	319480
Jdp2	2	Jdp2	81703
Kcnk1	2	Kcnk1	16525
Krt80	2	Krt80	74127
Lsm11	2	Lsm11	72290
Maml3	2	Maml3	433586
Mapk11	2	Mapk11	19094
Matn2	2	Matn2	17181
Ncf1	2	Ncf1	17969
Nedd9	2	Nedd9	18003
Nfil3	2	Nfil3	18030
Nptx1	2	Nptx1	18164
Nptx2	2	Nptx2	53324
Prkab2	2	Prkab2	108097
Prss35	2	Prss35	244954
Ptprj	2	Ptprj	19271
Spry4	2	Spry4	24066
Stard8	2	Stard8	236920
Stum	2	Stum	381310
Syne1	2	Syne1	64009
Tspan11	2	Tspan11	68498
Tub	2	Tub	22141
Vip	2	Vip	22353
Wipf2	2	Wipf2	68524
Wnk4	2	Wnk4	69847
Zfp651	2	Zfp651	270210
Zfp831	2	Zfp831	100043757
1810041L15Rik	3	1810041L15Rik	72301
Acr	3	Acr	11434
Adcyap1	3	Adcyap1	11516
AI593442	3	AI593442	330941
Ano6	3	Ano6	105722
Atp6v0c	3	Atp6v0c	11984
BC006965	3	BC006965	217294
