ba	check	gene
100039826	NA	NA
100503068	NA	NA
100503659	NA	NA
103098	NA	NA
103534	103534	Mgat4b
105827	NA	NA
106042	NA	NA
108097	NA	NA
109901	109901	Cela1
110058	110058	Syt17
12123	12123	Hrk
12140	12140	Fabp7
12337	12337	Capn5
13108	13108	Cyp2g1
13199	NA	NA
13384	13384	Mpp3
14313	14313	Fst
14706	NA	NA
15982	NA	NA
16524	16524	Kcnj9
17181	NA	NA
17969	NA	NA
18003	NA	NA
18164	NA	NA
18378	18378	Omp
18610	NA	NA
19009	19009	Pou6f1
19094	NA	NA
19699	NA	NA
19734	19734	Rgs16
20346	NA	NA
210541	NA	NA
217166	217166	Nr1d1
22141	NA	NA
22146	NA	NA
22353	NA	NA
223828	223828	Pphln1
226412	226412	R3hdm1
234353	234353	Psd3
236920	NA	NA
240185	240185	Jcad
244954	244954	Prss35
26913	NA	NA
271305	NA	NA
27223	NA	NA
320563	NA	NA
330941	NA	NA
380967	380967	Tmem106c
381310	NA	NA
53625	53625	B3gnt2
54525	NA	NA
56219	NA	NA
56233	NA	NA
634104	634104	Olfr287
64009	NA	NA
666211	NA	NA
67498	NA	NA
68498	68498	Tspan11
69847	69847	Wnk4
70717	NA	NA
71919	71919	Rpap3
72290	NA	NA
73284	73284	Ddit4l
74720	74720	Tmem114
81600	NA	NA
81703	NA	NA
