	GeneID	Chr	Symbol	NExons	P.Value	FDR
72409	58234	15	Shank3	22	0	0
70774	27367	15	Rpl3	10	6.01595190193404e-18	4.46203152566447e-14
72678	12805	15	Cntn1	26	4.77188865635508e-14	2.35953987761237e-10
133722	12395	4	Runx1t1	14	0.000250796197808718	0.865356539928335
72423	68708	15	Rabl2	9	0.000291680106487911	0.865356539928335
99643	16319	19	Incenp	18	0.000360598648714683	0.891520059172268
72501	16564	15	Kif21a	38	0.00046197672112822	0.978994668745145
143104	16765	4	Stmn1	5	0.000780959705739762	1
116044	378702	2	Serf2	3	0.00123431661311873	1
218634	245555	X	Nexmif	5	0.00142393095171682	1
196311	67935	8	Ces5a	13	0.00179587026136728	1
80723	100503120	16	A930006K02Rik	2	0.00243722100387305	1
1516	22637	1	Zap70	13	0.00275689780811186	1
142936	15331	4	Hmgn2	6	0.00277869917991781	1
9385	67997	1	Ddx59	8	0.0028099280165227	1
31544	574428	11	Zmynd15	14	0.00282361308238334	1
180986	17258	7	Mef2a	12	0.00315626355057455	1
119205	228790	2	Asxl1	13	0.00398964006059661	1
46928	71375	12	Foxn3	6	0.00489462773552798	1
10169	17970	1	Ncf2	15	0.00516162160849424	1
86244	16913	17	Psmb8	6	0.00570169895711875	1
9203	18772	1	Pkp1	14	0.00591253984233087	1
186294	233865	7	D430042O09Rik	28	0.00591952595804916	1
113017	271813	2	Agbl2	18	0.00600281578845745	1
47326	238386	12	Btbd7	12	0.00616285021191901	1
181040	78444	7	Pgpep1l	4	0.00622801348479679	1
138415	320438	4	Alg6	15	0.00655098230405862	1
24339	67945	10	Rpl41	4	0.00658587278988582	1
76341	80733	16	Car15	8	0.00673530588362842	1
142256	72225	4	1700003M07Rik	5	0.00675080172241065	1
80968	70028	16	Dopey2	37	0.00743476332220731	1
53822	628746	13	Rybp-ps	2	0.00767917968543576	1
84130	381077	17	Ccdc78	13	0.00771399678983149	1
213736	209837	X	Slc38a5	16	0.00817238377490666	1
147296	117167	5	Steap4	5	0.00827863597704661	1
18693	74953	10	4930483K19Rik	4	0.00883107163195448	1
101861	77059	19	4931408D14Rik	4	0.0091562882245186	1
116588	271849	2	Shc4	12	0.00948271478129876	1
75956	67451	16	Pkp2	13	0.00948325183194209	1
111035	228003	2	Klhl41	6	0.00978779704004672	1
164400	26965	6	Cul1	22	0.0106538531065988	1
2035	211798	1	Mfsd9	6	0.0111376272259881	1
201041	75316	9	Taf1d	12	0.0112088950613485	1
18349	14598	10	Ggt1	13	0.0115062500066467	1
71964	100502684	15	Gm20621	2	0.0115928582686134	1
7019	66615	1	Atg4b	13	0.0120812853985624	1
13838	52477	1	Angel2	11	0.0122293384745841	1
126155	24088	3	Tlr2	3	0.0124042240521721	1
