	GeneID	Chr	Symbol	NExons	P.Value	FDR
173085	100037396	7	D030047H15Rik	3	1.42715225239703e-12	2.11703765120575e-08
213678	19652	X	Rbm3	8	2.001734995502e-10	1.48468684616383e-06
122598	23856	2	Dido1	17	6.28771863224695e-10	3.10906727302504e-06
15321	20393	10	Sgk1	19	1.70548926328595e-09	6.32480693289596e-06
78179	545156	16	Kalrn	61	1.34773945728884e-07	0.000392209686706122
126979	319830	3	1500004A13Rik	2	1.58639484982926e-07	0.000392209686706122
219971	14605	X	Tsc22d3	5	1.97595648756986e-07	0.000418733407665875
55935	108143	13	Taf9	7	2.63401269241991e-07	0.000488411803491963
187121	233908	7	Fus	15	8.31098044446692e-07	0.00136983426570247
128871	83679	3	Pde4dip	49	1.1071243781954e-06	0.00164230830261506
8473	213006	1	Mfsd4a	12	1.68689285188085e-06	0.00227485168770914
15766	67412	10	Soga3	7	2.05504700420839e-06	0.00238288594667065
160806	72611	5	Zfp655	7	2.0882780980665e-06	0.00238288594667065
24849	74309	11	Osbp2	14	2.2554653080808e-06	0.00238982659857647
52893	67399	13	Pdlim7	15	6.98804425012866e-06	0.00691070989376057
133722	12395	4	Runx1t1	14	8.89515353729737e-06	0.00824691922326682
151211	54216	5	Pcdh7	4	1.15938824061682e-05	0.0101166853890058
141817	68310	4	Zmym1	8	1.28707670871287e-05	0.010606942165026
48110	26931	12	Ppp2r5c	17	1.45350235902155e-05	0.0113480284177504
69420	66656	15	Eef1d	10	2.19815320675507e-05	0.0157238966599824
131113	118449	3	Synpo2	5	2.22597970783086e-05	0.0157238966599824
169298	20315	6	Cxcl12	4	2.39875517376763e-05	0.0161741519307586
70774	27367	15	Rpl3	10	3.27945587192358e-05	0.021151064523528
212650	17433	9	Mobp	5	5.56925076558331e-05	0.0331776352403845
125587	30953	3	Schip1	10	5.59148497377386e-05	0.0331776352403845
144782	71529	4	Kazn	17	7.08370128360431e-05	0.0404152403234563
194552	20467	8	Sin3b	20	7.53814342306808e-05	0.0405162125562965
25628	319939	11	Tns3	31	7.64766045285359e-05	0.0405162125562965
60654	16709	14	Ktn1	42	9.46128440208931e-05	0.0483961009726182
107284	67382	2	Brd3	14	0.000109808238567262	0.0542965136968921
114243	12064	2	Bdnf	5	0.000137850692480956	0.0646706702506914
13317	12334	1	Capn2	21	0.000139507984901047	0.0646706702506914
147673	26875	5	Pclo	25	0.00014568045444056	0.0654855715506443
5809	78795	1	Armc9	25	0.000153979460005644	0.0671803326389331
50369	140580	13	Elmo1	23	0.00017901941468765	0.0758735427850456
23663	13198	10	Ddit3	4	0.000247944018728921	0.102166710384023
93055	13527	18	Dtna	22	0.000290625024954753	0.116517070815643
86391	18132	17	Notch4	30	0.000318403522266834	0.1242946802449
118077	59030	2	Mkks	6	0.00033313091020652	0.126709331333423
90046	19765	17	Ralbp1	11	0.000344644423391293	0.127811384414661
151612	22223	5	Uchl1	9	0.000379416254887021	0.137274651829124
78505	320299	16	Iqcb1	15	0.000433543987145711	0.152143487985137
467	17978	1	Ncoa2	23	0.000441025346053722	0.152143487985137
191864	75029	8	Purg	2	0.000486889897659609	0.164148289588242
169673	67200	6	Ccdc77	13	0.000586439471469834	0.190392377967124
67109	67154	15	Mtdh	12	0.00059040376071779	0.190392377967124
97069	27366	18	Txnl4a	6	0.000607915069490694	0.190545039825341
103421	73728	19	Psd	18	0.000616567474155073	0.190545039825341
157123	74096	5	Hvcn1	8	0.000647347862377092	0.194135333240422
128408	71807	3	Tars2	18	0.000654359354322576	0.194135333240422
2176	246229	1	Bivm	10	0.000723262563680808	0.209057745106947
