	GeneID	Chr	Symbol	NExons	P.Value	FDR
78179	545156	16	Kalrn	61	3.66871607454038e-11	5.4421734249732e-07
173085	100037396	7	D030047H15Rik	3	1.4124979254107e-10	1.04764971127711e-06
15321	20393	10	Sgk1	19	1.60201846128265e-09	7.92144728488896e-06
213678	19652	X	Rbm3	8	2.21191526721927e-08	6.26961917498939e-05
114243	12064	2	Bdnf	5	2.53258974830319e-08	6.26961917498939e-05
150287	231148	5	Ablim2	23	2.53591176014132e-08	6.26961917498939e-05
60654	16709	14	Ktn1	42	1.11182393679065e-07	0.000235611375405036
122598	23856	2	Dido1	17	2.61095466324783e-07	0.00048413626843273
24849	74309	11	Osbp2	14	3.63224073912889e-07	0.000598673990269311
126979	319830	3	1500004A13Rik	2	1.34296005747273e-06	0.00199214694925505
127471	74383	3	Ubap2l	31	1.57384945984054e-06	0.00212240753520678
203476	53376	9	Usp2	15	1.72547679472671e-06	0.002132976897748
219971	14605	X	Tsc22d3	5	4.2389755905075e-06	0.00483699722381448
158568	14886	5	Gtf2i	35	6.4059682197014e-06	0.00650255724952827
160806	72611	5	Zfp655	7	6.57532417034678e-06	0.00650255724952827
168989	232334	6	Vgll4	5	8.48876697419693e-06	0.00787014808095233
50369	140580	13	Elmo1	23	1.00610022810119e-05	0.00877911222567826
48110	26931	12	Ppp2r5c	17	1.11208580915738e-05	0.00916482271835583
8473	213006	1	Mfsd4a	12	1.80524179121871e-05	0.0140941877531254
142794	53608	4	Map3k6	29	2.92098670541957e-05	0.0212329812124787
52893	67399	13	Pdlim7	15	3.0058824690714e-05	0.0212329812124787
172191	19691	6	Recql	17	6.66880132056989e-05	0.0449659085406063
13317	12334	1	Capn2	21	9.79045447907933e-05	0.0613627776300971
159537	78829	5	Tsc22d4	7	9.92791332831556e-05	0.0613627776300971
186972	12055	7	Bcl7c	6	0.000116437620756941	0.0673296318861251
5809	78795	1	Armc9	25	0.000119919100927997	0.0673296318861251
182692	74737	7	Pcf11	16	0.000122549552442051	0.0673296318861251
95552	104027	18	Synpo	4	0.000138049486543685	0.0731366458353221
66878	223435	15	Trio	57	0.000146495127380524	0.0749347834331961
177915	12611	7	Cebpg	2	0.000156957572008822	0.0776102874392955
45388	53618	12	Fut8	16	0.000193203881863368	0.0918170163940511
69420	66656	15	Eef1d	10	0.000198068257018312	0.0918170163940511
95500	225583	18	A730017C20Rik	5	0.000264243752778003	0.116053266249271
21811	216233	10	Socs2	5	0.000267588107551162	0.116053266249271
93055	13527	18	Dtna	22	0.000273821243004213	0.116053266249271
70591	17133	15	Maff	3	0.000285273089703516	0.117548361462832
140852	73332	4	Ccdc30	15	0.000306514132937957	0.122887314810855
48073	100040724	12	Mirg	8	0.000347899433442255	0.135808952517958
173381	269854	7	Nat14	3	0.00040928631933423	0.155675724641127
147673	26875	5	Pclo	25	0.000430247109797227	0.159557140668302
60602	78938	14	Fbxo34	7	0.000467730761528676	0.169227271134546
197346	234684	8	Lrrc29	5	0.000484237764027379	0.171028166466241
128871	83679	3	Pde4dip	49	0.000570361214902179	0.192979774697526
113538	228368	2	Slc35c1	3	0.000572408661634834	0.192979774697526
24486	66118	10	Sarnp	11	0.000712794870016189	0.234968868929337
124505	100039027	3	Gm2011	6	0.000766510913477128	0.247183106315646
212650	17433	9	Mobp	5	0.000845932322769558	0.26699063991412
212800	215474	9	Sec22c	8	0.000918691009147445	0.283913800618608
56003	328324	13	5930438M14Rik	4	0.000939863361079669	0.28452924690318
71657	271305	15	Phf21b	13	0.000977166985634935	0.289905901298173
47402	68149	12	Otub2	8	0.00109276136385899	0.312299377102936
197971	54446	8	Nfat5	16	0.00111485261689098	0.312299377102936
183080	17760	7	Map6	4	0.00111580605274744	0.312299377102936
187121	233908	7	Fus	15	0.00115368752299594	0.315862948911834
55935	108143	13	Taf9	7	0.0011711245914892	0.315862948911834
131113	118449	3	Synpo2	5	0.00121186640559195	0.321014754652697
126977	100302730	3	5830417I10Rik	18	0.00128147677584174	0.333498710400637
97069	27366	18	Txnl4a	6	0.00137814060657532	0.349252706740743
140134	622665	4	Ccdc17	13	0.00138910002006902	0.349252706740743
188778	68038	7	Chid1	13	0.00150557244001261	0.372227692919119
98652	73166	19	Tm7sf2	10	0.00161861585483953	0.3936155342736
182578	233489	7	Picalm	21	0.00176500391310668	0.416530228167593
33972	276950	11	Slfn8	6	0.00179114076969124	0.416530228167593
113208	100503319	2	Gm17281	2	0.00179708336272927	0.416530228167593
121646	18019	2	Nfatc2	13	0.00185554286648208	0.423463428944542
485	212442	1	Lactb2	7	0.00208182485859775	0.467905908370289
104975	70024	2	Mcm10	20	0.00218122817938641	0.482930430045044
166588	20166	6	Rtkn	13	0.00224017960575375	0.488688592231633
103648	14218	19	Sh3pxd2a	15	0.00230192131141044	0.492265614455481
101908	16551	19	Kif11	22	0.00232294681218037	0.492265614455481
34040	276952	11	Rasl10b	4	0.00237160847384698	0.492570051659922
186092	19647	7	Rbbp6	18	0.00239079437235502	0.492570051659922
15766	67412	10	Soga3	7	0.00245711927098085	0.499300099530547
74956	246154	16	Vasn	2	0.00259521315307749	0.516330458723738
77747	239827	16	Pigz	3	0.00261054229501688	0.516330458723738
199913	19341	8	Rab4a	8	0.00266173194215281	0.519528047761773
181468	101694	7	Mir9-3hg	6	0.00281015399555455	0.540975026143354
136275	16600	4	Klf4	5	0.00284454982062705	0.540975026143354
32949	237860	11	Ssh2	15	0.00289021830157298	0.542702509943463
110802	241431	2	Xirp2	9	0.0030930874853092	0.573051087493529
144782	71529	4	Kazn	17	0.00312910463037454	0.573051087493529
109111	100042194	2	Gm13446	4	0.0031729557556723	0.573995435117597
44079	217588	12	Mbip	9	0.00350102299894831	0.62571295381204
145916	110326	4	Tas1r1	6	0.00380978880999167	0.672790561993053
176372	13549	7	Dyrk1b	11	0.00398681205985888	0.695769059952314
28276	20362	11	Sept8	10	0.00408897823114734	0.699562899901552
84777	23853	17	Def6	11	0.00410286991313436	0.699562899901552
25171	14030	11	Ewsr1	17	0.00419008307877679	0.706314686256533
15772	212448	10	9330159F19Rik	6	0.00437555467155586	0.718690537912302
297	211660	1	Cspp1	30	0.00442076690094041	0.718690537912302
130600	58193	3	Extl2	6	0.00442456297999811	0.718690537912302
69535	223649	15	Nrbp2	12	0.00445729604206093	0.718690537912302
26435	69922	11	Vrk2	13	0.0045778153383847	0.73018615838278
22361	114774	10	Pawr	7	0.00471875554137202	0.742783057699164
73595	22379	15	Fmnl3	27	0.00475693612521374	0.742783057699164
107897	227696	2	Phyhd1	13	0.00484557458514	0.748742222874654
157123	74096	5	Hvcn1	8	0.00495293245007461	0.757441236746461
195504	234542	8	Rtbdn	6	0.00504944469041361	0.764321046301995
130627	229776	3	Cdc14a	16	0.00524180578280455	0.785423706890128
118077	59030	2	Mkks	6	0.00534379114261105	0.788995692475267
89701	70785	17	Dennd1c	24	0.00537202136578145	0.788995692475267
189556	69129	8	Pex11g	5	0.00549019764166691	0.798446978593009
111656	229279	2	Hnrnpa3	11	0.00565913627506021	0.815025509749934
14453	67141	10	Fbxo5	5	0.00579090936833963	0.825984130480289
143104	16765	4	Stmn1	5	0.0058803715175029	0.829655297044477
27672	17308	11	Mgat1	6	0.00592850623477919	0.829655297044477
39571	276905	11	Armc7	3	0.00604306411220801	0.837783299443866
163312	78412	6	3110062M04Rik	4	0.00611263180557975	0.839581298184907
101246	67759	19	Plgrkt	6	0.00623450209176158	0.848464257148544
132342	80797	3	Clca3a2	14	0.00636621005722327	0.858512363535
128081	20341	3	Selenbp1	12	0.00654657812145286	0.874882341023709
68244	210544	15	Tbc1d31	22	0.00662053360323912	0.876866030986152
80629	207932	16	Urb1	39	0.00673054172119236	0.883547397275819
163797	68198	6	Ndufb2	4	0.0069280113720216	0.901492286776915
169298	20315	6	Cxcl12	4	0.00721794836230442	0.91665714453076
25529	192950	11	Nacad	8	0.0072652119454131	0.91665714453076
97161	17196	18	Mbp	10	0.00728205612060787	0.91665714453076
111685	228061	2	Agps	20	0.00730373077095797	0.91665714453076
127078	72296	3	Rusc1	12	0.00735352569766485	0.91665714453076
4574	69660	1	Tmbim1	12	0.00750993070570526	0.921709201826992
179143	22121	7	Rpl13a	8	0.00751832367676056	0.921709201826992
164965	58875	6	Hibadh	8	0.00759972077908886	0.924051295385279
182819	233529	7	Kctd14	4	0.0077709186986836	0.932745870364131
218634	245555	X	Nexmif	5	0.00779698583828719	0.932745870364131
64602	380921	14	Dgkh	31	0.00796134089799321	0.94478824704665
74363	246277	15	Csad	15	0.00828641599590745	0.971388603411568
20005	237403	10	Lingo3	2	0.00831645898835575	0.971388603411568
63623	18040	14	Nefm	3	0.00844583989134809	0.978793663658263
188207	11501	7	Adam8	24	0.00876504792925325	1
11988	68874	1	Klhdc9	4	0.00889610467486832	1
207128	15450	9	Lipc	9	0.00899649934591737	1
46928	71375	12	Foxn3	6	0.00917194426045243	1
62999	18130	14	Ints6	19	0.0091773293174153	1
172533	67529	6	Fgfr1op2	7	0.00921692103440587	1
194431	16598	8	Klf2	3	0.00940528375158061	1
