	S3SD5	WTSD5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	206.8	225.2	-0.128757584086332	1.32193505358357	1.08884476278975	0.307163816433184	0.783597676160612	100008567	Gm14964
100009600	56.8	58.2	-0.0250286697276201	0.0366906674856687	0.0147360351195561	0.904432242916376	0.984221544419359	100009600	Zglp1
100017	16.2	19.6	-0.232229003469859	1.45647654350106	3.64142660985659	0.0684367198103442	0.555460753217733	100017	Ldlrap1
100019	343.4	344	-0.000788828264999238	6.20347312138611	0.000298861958732511	0.986369148698186	0.998143619873423	100019	Mdn1
100034361	103.4	104.2	-0.0195301128433156	2.50276048245747	0.0480287203196945	0.828389784993783	0.969849507611222	100034361	Mfap1b
100034726	761.4	784.4	-0.0459725197105177	5.54226255938241	1.09676562289101	0.305449340286709	0.782240390592504	100034726	Gm15772
100036521	1859.8	1816	0.0326613193630206	5.08041589615636	0.645580627538893	0.429613379796618	0.853176225448872	100036521	Umad1
100036768	80.2	83.8	-0.0531493034861502	1.12397179507295	0.151420330592361	0.70062589981401	0.93757493647567	100036768	Gm11696
100037258	3203.2	3169.4	0.0108612339201534	6.04422374491189	0.0840620178171727	0.774366012978885	0.959035793853342	100037258	Dnajc3
100037262	41.4	42.6	-0.0587292896774812	0.968826842844256	0.185692550166031	0.670386305460162	0.931313922729136	100037262	Gm12359
100037278	86.6	90.4	-0.0785264266526757	1.2649804747223	0.378534747554481	0.544200793535366	0.892691165601233	100037278	Fam129c
100037282	140.4	157.2	-0.165258087314587	2.47496466757874	2.95819554589836	0.0983638679122122	0.629298375474267	100037282	Rsph3b
100037283	284.2	260.8	0.126782347487909	0.659040560522909	0.399590605778666	0.53355811126483	0.888588660945819	100037283	Rnaset2a
100037396	413.6	416.2	-0.0134184663902407	3.50256451176119	0.0437840712886724	0.836028493266206	0.971066846807276	100037396	D030047H15Rik
100038347	2468.2	2513.2	-0.0298662368922607	5.18104617098806	0.264359644848201	0.612783382123637	0.913844775334024	100038347	Fam174b
100038356	270.6	255.6	0.0609051839615377	2.33770989207464	0.307060566233193	0.584635835008662	0.905340947016776	100038356	Gm15612
100038392	66	60.8	0.0937844092429376	0.662891370404408	0.487762880158411	0.513941381161568	0.884304313114116	100038392	Gm10785
100038411	89.6	97.4	-0.0835609739329969	0.505905277914357	0.155216115023304	0.697281532675269	0.936664244729399	100038411	Gm15998
100038416	59.8	58.4	0.0614460584025116	0.657714291447401	0.171935462137616	0.701077025143923	0.93759035813189	100038416	Gm10643
100038453	64.4	76.8	-0.272653902281351	0.651663266115639	2.70099609322251	0.113373272578204	0.647217518958862	100038453	Gm12522
100038486	39	34.2	0.206488241850564	1.86224296345384	2.97351880245314	0.0975451212231246	0.626073349093714	100038486	Gm10742
100038526	161.6	169.6	-0.0766310299386604	2.81305342976906	1.05739025311006	0.314102449878605	0.789050740976005	100038526	Gm10560
100038538	34	35.4	-0.0791445461851826	1.56666541280011	0.621816050473507	0.438122699802947	0.854259476993362	100038538	Gm10767
100038570	70.6	77.4	-0.129796387452756	1.00582473520421	0.611850111941024	0.441770524963025	0.856582650873866	100038570	Prcd
100038575	69.8	77.4	-0.142480192544342	2.68089088520371	2.04430597172351	0.166274946301759	0.694971741226556	100038575	Gm10635
100038577	52.4	53	0.0165417516482252	0.837734005972399	0.00915861261990604	0.924555956419248	0.988353804754369	100038577	Gm10790
100038591	101	115.6	-0.196803884553809	1.15664310086145	2.58823194376499	0.120786812066883	0.655337697416334	100038591	F420014N23Rik
100038605	50.6	51.6	-0.033604129628298	2.20576352375083	0.121245694501291	0.730734620459019	0.947905050944485	100038605	E030047D23Rik
100038614	5.8	5.2	0.0486273563105705	1.19044521095362	0.193026403692675	0.685221764809952	0.932166047348531	100038614	Gm10791
100038647	8.8	8	0.126970889626746	1.03787033774341	0.842800171082617	0.367766068321056	0.822226549995233	100038647	Gm10572
100038688	132.2	129.6	0.0279072312592459	0.209998783918795	0.0334566395881987	0.856409618274505	0.974912499493147	100038688	Gm10724
100038712	171.2	170.6	0.00247145767384819	2.38651369225328	0.00111800067713654	0.991797982159811	0.99826027671911	100038712	Gm10516
100038713	31.8	36.4	-0.210976813561871	0.662982884803304	1.64439658126811	0.212017703548985	0.721909042896825	100038713	Gm10432
100038725	86.6	82.4	0.079834388504024	2.81967671386348	1.31275154173127	0.263236141003803	0.762182528459328	100038725	Cep85l
100038739	56.4	54.4	0.0463630917048797	1.65449205509512	0.177428439235229	0.677355274488449	0.931313922729136	100038739	Gm10615
100038746	996.4	1021.2	-0.0391100789599498	3.78132963632192	0.549866921466777	0.465594133774974	0.86477738493748	100038746	Gm1976
100038882	64.8	83.2	-0.393583648342091	0.81456137656619	9.19884620261855	0.00575288202291526	0.23084331999883	100038882	Isg15
100038999	25	26.2	-0.061751477946175	0.949116358614338	0.147631802486478	0.704204969237549	0.938508578394083	100038999	Gm13552
100039017	245.6	256.8	-0.066711330849145	2.13455168509027	0.606494973035471	0.443750620019422	0.857682251843585	100039017	Gm2007
100039027	6.8	7	-0.0133286819368394	0.854994916515929	0.0105788828077322	0.950699748676057	0.993810238472823	100039027	Gm2011
100039060	32.6	36.2	-0.140573558749865	1.2246681460235	1.62568011566638	0.222050782662094	0.728706376076819	100039060	0610010B08Rik
100039062	1768.6	1495.6	0.271728509265794	1.07538198977574	3.52524238509113	0.0726937342670024	0.564293896399169	100039062	Gm2027
100039138	127.6	137.6	-0.138006257924938	0.725532216049761	0.868381759759542	0.36071897683407	0.81721506131029	100039138	Gm2061
100039239	24	25	-0.036070284174223	2.11826531165634	0.137778817177288	0.713768129648368	0.941919544722994	100039239	Gm2115
100039252	880.6	886	-0.00349899571833047	3.31204231223312	0.00405141836768475	0.949777494577966	0.993492828674911	100039252	Gm12693
100039257	712.2	764.4	-0.101581926216815	0.415197490348441	0.279884355416626	0.601654725673976	0.91043702747455	100039257	Tmem254b
100039304	36.8	41	-0.0637119516436248	1.99500605467273	0.133373613814338	0.719653188324592	0.94387905332146	100039304	Gm2148
100039307	289.8	268.6	0.143937620175069	0.473615091790376	0.942099121079243	0.341456191993303	0.806381871577736	NA	NA
100039419	1003	1025.4	-0.0309766850784464	5.27006663994115	0.433652363906132	0.516494131285804	0.884483107932924	100039419	Gm2223
100039422	790.4	729.4	0.109756550712502	3.71866784350336	3.04509233286147	0.093823803500223	0.613073934042668	100039422	Gm2225
100039495	17.2	15.8	0.171160133171524	1.35350440632677	1.31657337730301	0.262560510994469	0.761353279932698	100039495	Gm15706
100039503	309	311.6	-0.0262257593937566	2.28152278355433	0.105854265782875	0.747744401690921	0.953077388186999	100039503	Gm2274
100039571	22.8	21.8	0.0415583445503102	0.998740531138002	0.0890795492635052	0.767929159098903	0.9570847193087	100039571	Gm10335
100039636	9668.2	9268.6	0.0633240354582348	7.15128415682769	3.04028802162374	0.0940683899872035	0.613073934042668	100039636	Atp6v0c-ps2
100039684	230	213.2	0.109942195089089	0.822610519750569	0.358846825750742	0.554988102313707	0.896390438131895	100039684	5031434O11Rik
100039707	148.2	172.8	-0.200891685080084	1.46060209331831	2.7504291107918	0.11029206705037	0.644546099804425	100039707	Mthfsl
100039768	579.4	556.4	0.0674862628718297	4.6290687323883	1.53023308473585	0.228090437466537	0.735897139094047	100039768	1700024F20Rik
100039786	2212.2	2218.8	-0.00369754018313442	4.80376484895754	0.00690372918069211	0.934472771140011	0.989696747639595	100039786	Gm2423
100039795	8213.2	7678.4	0.0963674705676593	7.54879026148636	9.71146068363902	0.00471326845058191	0.209710519019331	100039795	Ildr2
100039826	61.8	44.8	0.469324300304074	3.38119395753974	29.0078846730624	2.18238922616908e-05	0.0116830569907585	NA	NA
100039863	22.2	19.8	0.174783179683305	0.556608940169356	0.913345337327145	0.34879242018514	0.811199273706264	100039863	Gm13306
100039864	355.2	375.2	-0.0855932054882507	3.25728918306472	1.4684243767271	0.237434879070103	0.742189390588078	100039864	Snhg12
100039968	122.2	113.2	0.11518679003932	1.39302634284346	1.03584860813932	0.318978032816086	0.790928258984465	100039968	Tmem35b
100039988	69.6	66.4	0.0616447290738833	2.65192921856297	0.2893621094203	0.596499919885841	0.909791001965622	100039988	Gm11826
100040052	246.2	232.2	0.0700655667099407	2.49940459750447	0.569755049446444	0.457727603171199	0.861550392056439	100040052	Gm2573
100040123	233.8	239.6	-0.0376141619369059	2.57255851352212	0.207221315321089	0.653061012301809	0.92399556909844	100040123	Gm2614
100040220	1223.8	1210	0.0163367022741741	5.04599073485861	0.144437101053744	0.707264418447377	0.93916198498887	100040220	Gm9892
100040244	6.2	7.2	-0.200526494082733	1.27853657127761	2.6356321062177	0.117603367817311	0.651151059032639	100040244	Gm14698
100040260	52.4	48.4	0.120626448665436	0.85354903723588	0.837799138497616	0.369166872697153	0.822531520467142	100040260	Atf1-ps
100040293	62	78.4	-0.380388518606493	-0.146468418284405	4.43164854237513	0.0459718603999503	0.49087694149633	100040293	Mindy4b-ps
100040294	21	20.6	0.0486710630528696	0.880176707919253	0.0552452797406165	0.816538592618877	0.969002444812842	100040294	Gm2694
100040297	7388	7627.8	-0.0447580029965811	5.4992548315563	0.723305189991702	0.404819366267335	0.842750489638894	100040297	Gm2695
100040298	655.8	640.4	0.0278932087390401	5.00774930165609	0.367173364136311	0.55025906695345	0.89451473612482	100040298	Gm15501
100040322	12.2	9.4	0.371105137820933	1.26204827640954	6.97149720760398	0.0143567192914279	0.329907822954371	100040322	3830408C21Rik
100040377	117.4	106.8	0.157141263371906	1.28203576856245	1.49300448624586	0.233661669484253	0.73942531829923	NA	NA
100040500	18.4	17.6	0.0403756199439745	2.21654904117562	0.176571758562355	0.678088618361595	0.931313922729136	100040500	Gm2808
100040505	279.4	269.4	0.0425567061072765	2.34575871457218	0.281817037370091	0.600409846415698	0.91043702747455	100040505	Gm9923
100040525	80.6	98	-0.297797271891732	3.19271177965646	4.20344749319532	0.0598945720743133	0.536319678379191	100040525	Tmem181c-ps
100040529	157	146.4	0.11615705862328	1.27889124884906	0.745121061023946	0.396602127971839	0.839154236818552	100040529	Gm2824
100040543	1885.8	2002.4	-0.0905183247528166	4.59822329413191	2.03304839149417	0.168398783091443	0.696268079351185	100040543	Gm2830
100040591	439.6	374.2	0.219025694219576	0.410479309695731	1.70112650590919	0.204557747652646	0.715226341376483	100040591	Kcnj13
100040608	71.4	63.8	0.1909405204519	1.09113135175005	1.57134962614482	0.222130918292131	0.728706376076819	100040608	Fancf
100040724	324.4	337.4	-0.057728283962477	4.56897181584582	1.44455231950162	0.241173937076379	0.745334207077609	100040724	Mirg
100040792	51.4	48	0.047925539046807	0.0820057083135334	0.0951444604368137	0.760407719642576	0.955389883850076	100040792	Gm11627
100040852	10.2	9.4	0.123600132282132	0.103097359456246	0.527791535173866	0.474589954949047	0.868883159937922	100040852	Gm3002
100040961	98.6	96.8	0.00844274694697051	3.0201361307204	0.00709164795296874	0.933675515290972	0.989539954393292	100040961	Gm10145
100040972	65.8	59.4	0.162342799092269	0.358971084626363	0.884969264935649	0.356252545346643	0.816567442188451	100040972	Tceal7
100040999	272.8	252.2	0.136471083877347	0.283329677595913	0.766500664515186	0.390012782886794	0.835518714072288	100040999	Gm3086
100041098	1159	1176	-0.0171121715314166	4.37316730193495	0.105674294599193	0.747951191683837	0.953172855281094	100041098	Tma7-ps
100041106	154.8	156	0.00104264355323428	2.89879910398959	0.000132834043521297	0.990899926021739	0.99826027671911	100041106	Gm3141
100041120	9.4	8.6	0.122695676039013	1.30405803165243	1.13754301799669	0.296824198906312	0.778392739501208	100041120	Gm3150
100041194	140.6	127.8	0.189413652455683	1.20856443642948	1.79376310023756	0.193062257219956	0.706732278418273	100041194	Ahnak2
100041231	61.2	59.2	0.0556156853873602	1.54633986327308	0.210393671858292	0.650601497166106	0.923581265890525	100041231	Gm3219
100041244	108.6	94.4	0.206485239647084	1.7142429516019	3.70412549595311	0.0662578820997632	0.552467790917496	100041244	Gm3230
100041286	74.2	74.8	-0.06479163156866	0.424329953684607	0.147279576650739	0.704540401160896	0.938508578394083	100041286	Snhg15
100041294	402.6	382	0.0745295334675761	3.52713774960171	1.12016908628926	0.300458502345158	0.778801918772087	100041294	Supt4b
100041480	980.4	988.4	-0.011567827433217	4.52680578177016	0.0507381362474476	0.823698010352179	0.969547273454045	100041480	Gm9833
100041574	46.4	47.6	-0.0224091312648125	0.878412693585076	0.0249209150217484	0.875889996510566	0.97784150842386	100041574	9030025P20Rik
100041576	3.2	4	-0.129137042230921	0.112918404711574	0.344771367368807	0.562592399710726	0.898610070567376	100041576	Gm3414
100041581	31.6	31.6	0.00181867883485885	3.74982799649147	0.000548559120373322	0.981519529075886	0.997940813273681	100041581	Zkscan16
