	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR
330319	7198.42964363854	3658.31973313658	0.967755033848335	7.24671242219331	677.476430738869	6.21114559036444e-19	8.97758983631277e-15
56213	6821.91914247262	3685.97149077388	0.928187186416828	7.15148236667213	592.446665799756	2.87739504713975e-18	2.0794934005679e-14
67451	469.989487005575	134.269838856637	1.7906739749499	3.07299031378629	532.091292057973	9.77406609729546e-18	4.70914504567695e-14
108682	2931.28836237952	1656.04557380217	0.835479631708019	5.95655599186274	390.512821324423	3.20083680332613e-16	1.1566223788819e-12
20887	789.297947495411	225.386105310692	1.81074709437709	3.73850368890472	461.403208133474	4.02112014734318e-16	1.16242541219397e-12
17289	2061.48649271581	1131.88809987032	0.912090248966765	5.46214352729073	362.897226969485	7.26081610669007e-16	1.74913060010164e-12
216892	3652.90141667124	2030.75547170071	0.838832448777216	6.28400608237629	372.662689190969	8.70031305877815e-16	1.79649035645113e-12
228880	9215.14281082479	6137.79259203302	0.601541946508293	7.74537572398772	334.77335840183	1.78017853097158e-15	3.21633756083290e-12
228608	1863.58102583011	1065.87449324432	0.842219765037348	5.33262381955692	307.685642597108	4.52609244872511e-15	6.66704958348131e-12
225870	4009.23092159908	2619.72583039706	0.67875547925446	6.54157173871028	307.157861869581	4.61259830045753e-15	6.66704958348131e-12
231070	1661.42716553145	2468.13106146521	-0.570539043509186	5.78624660866843	297.533364075755	6.54994027105427e-15	8.60662151616532e-12
14623	3178.96588694473	1607.87441435784	1.01676138734251	6.00136119428627	392.181320191505	8.22716781340756e-15	9.9096236312494e-12
22350	3542.65138261154	2351.55710173242	0.651562941379871	6.34573814320137	275.287226568882	1.5364896198764e-14	1.70834007428412e-11
68070	5854.6325998352	3850.82696376576	0.621429558211101	7.01838528975684	270.691686234315	1.84698530108143e-14	1.86649510769332e-11
328232	8311.12736688489	5011.85739343151	0.692613071654105	7.53329645075124	294.023357119123	2.16930170946876e-14	1.86649510769332e-11
53417	701.152031741706	175.936531265007	2.02956606826625	3.5321394027779	403.345409647255	2.22710147513333e-14	1.86649510769332e-11
226115	177.2215027217	467.011232401412	-1.29712234767546	3.20583717286515	265.855906285269	2.24874256390455e-14	1.86649510769332e-11
20971	1851.02467844756	930.160569110929	1.00657294169214	5.24679374031079	317.174792172782	2.32440237570775e-14	1.86649510769332e-11
106878	390.823932813997	112.339691367095	1.82533073942655	2.74463777709636	287.520097337798	2.47317315325953e-14	1.88143393459017e-11
76295	3595.98300739146	5078.46187487265	-0.574416007141525	6.92565865101043	262.143408457152	2.62143512565117e-14	1.8945111653081e-11
50794	8846.48752033702	6170.54045954194	0.514356936294438	7.69754519685372	256.738988539141	3.28896180126559e-14	2.26374542264251e-11
433904	3921.51312343636	2617.52530346935	0.54547418729356	6.49701631560771	254.027559967182	3.69153610018298e-14	2.36601210736772e-11
213119	488.31432803515	215.745287954709	1.17810378118505	3.2478547940654	253.567929835316	3.76492863355871e-14	2.36601210736772e-11
17067	1181.00322568707	710.578378932631	0.763426162202605	4.6971148638021	249.882920613974	4.41388300101405e-14	2.5527595822487e-11
320563	4504.94530229517	3041.70131200901	0.591552197362021	6.75317971965453	249.875444902068	4.41531683660008e-14	2.5527595822487e-11
11501	411.265650251829	191.141206326208	1.16752894536018	3.08746090795119	235.379264186098	8.43399318644958e-14	4.68865144295932e-11
13803	52595.4422003797	39150.2762542266	0.388744532783936	10.310353456144	232.809379241176	9.4952338082662e-14	5.08311516535851e-11
232087	7859.81592331059	5744.84931334692	0.432889688085083	7.5522111373583	229.516897044221	1.10716710217239e-13	5.71535474814278e-11
68465	3032.42394564472	1916.31258074018	0.662883828216554	6.07892805078024	229.199476958567	1.32193139861553e-13	6.58868842606514e-11
16525	4465.70950541036	3234.9117085484	0.476091650314818	6.69785243795596	218.769012991211	1.85438302140267e-13	8.90469066240398e-11
22228	911.457159784306	431.837415414344	1.17107026236878	4.13516058926428	254.229457758405	1.9098201918813e-13	8.90469066240398e-11
13371	6817.39824029647	3331.52016273544	1.00065538287899	7.16638277769926	369.02976800961	2.1583489947691e-13	9.74899261574768e-11
16848	767.545325872602	434.604035526731	0.854312854839044	4.0513949910416	214.739857069101	2.26332919843641e-13	9.91338188915146e-11
27261	495.467635815349	228.982875696931	1.19636416349119	3.36293602636184	214.553957351818	2.44183543106635e-13	1.02222286672566e-10
329910	1760.83742540055	1167.04188211192	0.6427932468257	5.29625619420269	212.898535926392	2.4819360902543e-13	1.02222286672566e-10
69635	7183.92088725822	5411.01031916066	0.421108309203288	7.47900391848407	212.392046593165	2.54600963069902e-13	1.02222286672566e-10
100502895	164.632927111552	26.1920510495081	2.52798382701241	1.36762148240238	220.341076077838	2.72861997966431e-13	1.06593170773157e-10
100037258	2901.11989985561	1880.69167758737	0.587912744395567	6.05759376715116	208.80654450185	3.05429649524485e-13	1.16175793532287e-10
21946	267.228178444924	114.991801535776	1.24997850771833	2.39441912071878	205.749449670743	3.57508134321404e-13	1.32498014704656e-10
12696	1070.48299131497	2299.70882409473	-1.03063766471505	5.54382180134066	296.876593959497	4.48325308962238e-13	1.62002350393505e-10
74229	5496.28054179646	3441.08415091584	0.687752841661881	6.94037526923836	234.844681674046	6.02873285577103e-13	2.12534889505645e-10
12282	5708.25218929535	3952.54235216286	0.536533962738327	7.04456971586157	193.431611735151	6.8926789251935e-13	2.37206621868445e-10
108100	16024.4785611885	12507.1297810546	0.419956707567272	8.66030316095858	192.714622413279	7.16935890183985e-13	2.40990496667891e-10
74030	1758.30138580131	1001.08974355803	0.76821163648958	5.25547707081721	207.221011469753	7.37245150448302e-13	2.42185031922267e-10
105005	3936.09097986313	2754.07338427579	0.496549215952789	6.5213449477748	190.049350830575	8.30846182762769e-13	2.66867793903401e-10
24066	715.598756573242	423.501048323548	0.803952041692104	3.9005907874125	188.976448216785	8.82118499570731e-13	2.77176973756421e-10
231125	1837.09276854124	2663.52940808566	-0.518634515989336	5.96583571042823	188.569563086559	9.02451796448707e-13	2.77532729061056e-10
74326	2159.49262658568	2872.89579743699	-0.4554731546575	6.14124399674043	184.68459305522	1.12433129871294e-12	3.33273374390004e-10
105348	1742.61282512061	1065.6996427037	0.726948078815215	5.28672310314669	194.505431833199	1.12981841324963e-12	3.33273374390004e-10
55984	7205.41997516744	5263.02064260949	0.453960611070587	7.47780359342696	180.545572618585	1.42756963881856e-12	4.12681831189669e-10
12827	6120.10866752571	4317.60592972589	0.573729765924891	7.16718738488505	193.590620660256	1.474602643141e-12	4.17919737332548e-10
81703	1773.80006320259	1161.95251255566	0.670198676928106	5.29750078244308	181.209003591668	1.51782713898657e-12	4.21897566671383e-10
19679	15543.5542486288	11906.7335458599	0.443370215119213	8.59996452566152	176.116239092406	1.85328319310625e-12	4.98239632531662e-10
14605	4105.46033961744	1381.34093720561	1.56831212666718	6.26441193796386	469.664711212953	1.86141830335615e-12	4.98239632531662e-10
100504425	186.067208294359	80.134195353688	1.2410068279066	1.88447264235707	175.587626642952	1.91265748598971e-12	5.02646387318097e-10
100043257	427.492258833177	923.531413208884	-1.15157843874111	4.3232323060426	225.456053253869	2.24446785962201e-12	5.79313186481724e-10
78779	2172.04128329665	1657.10157763699	0.45406968363321	5.72181642898742	167.863434191021	3.06221219415125e-12	7.64062542595035e-10
67203	791.108080855879	493.820524716373	0.700731512634385	4.13917759720624	167.843669891949	3.06597671720714e-12	7.64062542595035e-10
230735	3548.47420251077	2630.09469612232	0.473644023992432	6.37318008989152	165.304069240756	3.5941378165958e-12	8.80502847475859e-10
237625	245.472185758617	105.177880084705	1.35470620475498	2.26836662335519	164.268246505014	3.837218696546e-12	9.22567570309773e-10
212448	5603.34320723263	4044.34168804474	0.454827109957816	7.06462999048859	164.038569927022	3.89349811739976e-12	9.22567570309773e-10
18132	499.591904155748	274.263109254532	0.977029878162115	3.36974576565967	160.265161103735	4.95859351848275e-12	1.155992108325e-09
16601	9199.7287899934	6450.53924892539	0.455538611343195	7.73227908206025	158.881262138755	5.42523283679623e-12	1.24470341941354e-09
74840	1914.77661042755	1131.66960854396	0.741249997051751	5.38648390314201	182.501147408692	5.9796557873191e-12	1.35046788671735e-09
64136	503.771377704191	195.755924822572	1.40509157009922	3.25273232929351	196.044824020434	6.72943291059923e-12	1.49497786599628e-09
210135	1940.86980219152	1338.49569502625	0.497765955024437	5.49320477307446	155.371439730248	6.83649531296763e-12	1.49497786599628e-09
12053	1190.28652653346	690.03272025098	0.822910011783598	4.67587697698135	173.216410614632	6.98314331326668e-12	1.49497786599628e-09
17181	1801.12055906675	1217.63481109555	0.607345999169042	5.48657061349405	156.318464804568	7.03324303914119e-12	1.49497786599628e-09
56175	46.2230407819973	148.415758911778	-1.61994383057339	1.37830386095221	153.871625755259	7.55698415317173e-12	1.56343603377201e-09
102075	311.387284700462	104.66398774905	1.5615828963563	2.53086912789616	174.107923209423	7.57164261547257e-12	1.56343603377201e-09
75695	3402.22244748586	2386.12185514304	0.552750035260403	6.36363589274995	161.07254955612	7.77124222888576e-12	1.5820497912157e-09
15511	424.694160386468	193.135183459459	1.04227402636199	3.05967607808532	152.982966375853	8.02244296520085e-12	1.61050542526407e-09
76574	1603.64198028788	600.597569295463	1.51884675913189	4.89314853303639	317.45008843449	8.32254326739565e-12	1.64786356694434e-09
22031	3908.40330149601	2693.27909706935	0.55183496053082	6.48890609371686	162.129408811424	8.78122738284835e-12	1.71518730529311e-09
210622	1418.59435989638	2069.91775441338	-0.550844229399558	5.5799805341928	149.379965647182	1.02545452230111e-11	1.9745045074976e-09
12304	2224.06929731082	1208.12551475015	0.895268212441096	5.58058414162879	218.252004230518	1.03820632745135e-11	1.9745045074976e-09
71853	5503.12457137607	3289.87681278705	0.720048237192701	6.92457796898444	207.624265980259	1.20443042703595e-11	2.26088797303606e-09
270210	4123.21593014039	3074.2636881771	0.432344322810972	6.60848345240266	145.661521173735	1.32834730217365e-11	2.42753689889376e-09
78618	5031.40195112297	3638.14882095936	0.414122649355431	6.95074881635053	145.530100169734	1.34069304791605e-11	2.42753689889376e-09
67760	6876.17242582316	3895.91361270669	0.80532859855545	7.18266560845255	233.621080291062	1.34359313623565e-11	2.42753689889376e-09
54720	2825.8710175781	2088.08031894162	0.417438371852936	6.11518334245533	144.52728464654	1.43909902795287e-11	2.5679922654359e-09
232813	12357.1928559116	9732.0787999372	0.398617555324103	8.27311887101675	143.908844496172	1.50367341491868e-11	2.64504390339311e-09
74365	826.990628977117	485.56491129608	0.663303472358248	4.22667032849004	143.767414383214	1.51887812357567e-11	2.64504390339311e-09
22027	16121.5338530447	11296.6768934667	0.484055915890824	8.5580505984353	157.415547274009	1.59240177395585e-11	2.7400684810426e-09
27801	4427.71302719405	6434.15912473279	-0.439247308013073	7.22525160142972	141.833925263366	1.74434606623699e-11	2.95255074692185e-09
494468	823.260004764999	1298.82396380098	-0.64548418646281	4.88917168275737	142.451276601046	1.75674113902919e-11	2.95255074692185e-09
66890	3684.76155315308	2888.34317816571	0.355346057606743	6.48738474570956	141.061356375781	1.84437341893285e-11	3.06420383876499e-09
29873	9066.11930085365	11866.4830504825	-0.35583277000298	8.17453167106843	140.832065323006	1.87524497773141e-11	3.08008987592385e-09
68151	1503.68060896726	2035.89174693822	-0.465466916444976	5.57398729088441	139.739157891934	2.03029849260669e-11	3.25225917065528e-09
17101	2222.75336251433	1400.81017780503	0.540716086328069	5.72667065685169	140.224135218104	2.0387395208418e-11	3.25225917065528e-09
52829	523.457522587824	301.244253088482	0.737867053508361	3.51500141379186	139.623064273824	2.04756873204393e-11	3.25225917065528e-09
17207	8988.56403198225	6969.44080375961	0.400582997902373	7.81842711592378	138.849081566062	2.16685978708217e-11	3.40432514809627e-09
94242	306.096500416252	169.22204994862	0.950090613113921	2.73420336013805	138.330350185645	2.25101802236992e-11	3.49851768767041e-09
72290	2302.52282429904	1468.89822785287	0.603169681421828	5.59902070222941	148.143989190594	2.28912901802311e-11	3.51990115175596e-09
19273	2848.02135199558	2078.56870478575	0.490891316750999	6.14240351329483	137.952593636641	2.31453362284092e-11	3.52054988649975e-09
100102	110.293060194432	247.363766079986	-1.1205800381241	2.24109057718313	137.814330332762	2.33826476479851e-11	3.52054988649975e-09
233813	356.025874021424	640.976293478055	-0.833130705531522	3.77937738140109	137.403347922767	2.41037635785238e-11	3.59170926560807e-09
104886	14581.1621819217	11490.9941158278	0.324457966552607	8.51230178097044	135.557005972757	2.76546251917805e-11	4.07877502573465e-09
215335	4994.84676370363	3597.04673134745	0.448451252956629	6.89741683042541	135.227942727045	2.83450945270676e-11	4.10979133560857e-09
240025	2212.81192189821	3727.84664961191	-0.669093102127695	6.34807903595367	174.058885045905	2.85543374657429e-11	4.10979133560857e-09
11744	1103.7932823314	688.902456961882	0.677920588953634	4.6107580075475	136.16784229462	2.87179275561413e-11	4.10979133560857e-09
209837	54.1987747734045	162.033955215112	-1.48762569460149	1.50495309669521	134.276318252594	3.04492777248444e-11	4.27589377976348e-09
27528	1573.37935111221	2429.26421226696	-0.671436154059612	5.7309915166156	161.498108278238	3.0470254553455e-11	4.27589377976348e-09
243911	544.546822871427	310.958656005591	0.899633082810249	3.60383993575556	135.502975596651	3.13470094283942e-11	4.35332467572358e-09
71878	83.5718256008669	23.8199361205238	1.9190001507791	0.621587219569167	133.668855323276	3.18806946898781e-11	4.35332467572358e-09
50926	5420.26276464112	7093.5346057004	-0.397515722570502	7.42591211104561	133.650285798343	3.19255856943891e-11	4.35332467572358e-09
140742	3019.61242435193	2240.69128653101	0.420966802357929	6.1797069603683	133.315603329821	3.27465299723651e-11	4.36543780900756e-09
83669	3135.69254558575	4302.62974886457	-0.426378591014731	6.698008356421	133.272789683044	3.28531887552888e-11	4.36543780900756e-09
78339	11762.242553368	9422.35599782282	0.383537956223478	8.17519100582195	133.245853091508	3.29204871441693e-11	4.36543780900756e-09
22042	3717.48440814188	5438.38418367718	-0.546038294207051	6.97151912789198	150.860212535321	3.88798535052357e-11	5.10881275058797e-09
16716	240.586426131754	109.31321141683	1.1456730135244	2.25179952230801	130.113195807734	4.18683259548396e-11	5.45193498514642e-09
223666	3770.87364856736	3013.28151197601	0.389028920653789	6.58620052397607	129.381652882872	4.43178326912936e-11	5.71937458678533e-09
224671	4008.51840731708	2994.09366085072	0.418935934223944	6.59936470793241	129.153698583412	4.5112545328053e-11	5.77041354134228e-09
210789	688.327982383148	367.529070018437	0.857204568298051	3.8564868526626	133.497050984439	4.68515911043615e-11	5.94028857738983e-09
109270	258.541707013489	126.94214363247	1.09593271685454	2.34207341573181	128.441170373166	4.76979248880218e-11	5.99500701157797e-09
29820	2443.34461596714	3175.13587534967	-0.35236139980526	6.26065463956062	128.125409784938	4.88946526875273e-11	6.09244232711655e-09
107770	141.62716259968	60.9748774655952	1.40446327964869	1.53816073283549	127.951277248042	4.9568511809395e-11	6.12361768968372e-09
94090	15592.3471097876	11167.1051877267	0.436196031386708	8.53757669197217	134.91678217315	5.24775013486935e-11	6.42804919062725e-09
19246	2408.20734762922	1824.24147212126	0.430295236937261	5.85636723821098	127.031261911137	5.33000903206375e-11	6.47394542432348e-09
15982	1823.05079838955	1387.49130427443	0.392508243848276	5.43757199880052	126.728290792747	5.45947633295145e-11	6.57593924304003e-09
12444	3381.03164098525	2540.40891853723	0.419764654718935	6.35464040226726	126.191615696155	5.69726163286503e-11	6.80563798689513e-09
76453	1708.53785875735	1108.35988412097	0.595811776709903	5.2880971046039	131.601692645718	5.75057031955889e-11	6.81301175400854e-09
192187	1135.06864942043	852.775574379666	0.564671284199799	4.71628570339851	125.889513791334	5.83603713663555e-11	6.8580553473927e-09
18636	746.28913457756	521.868415152895	0.604945700681555	4.16876547512231	125.462792661401	6.03834240609353e-11	7.0009573693876e-09
76737	673.629012141698	423.950475915526	0.706492665373036	3.91848286316166	125.429350407647	6.05451550555867e-11	7.0009573693876e-09
242721	749.774009297715	480.432029538105	0.705779551271967	4.09431752062016	125.074677016027	6.22896119329029e-11	7.145508340303e-09
17260	23286.1235987811	29358.9546056292	-0.360927028680144	9.5129004999435	124.936382252451	6.29845201883525e-11	7.1683327149799e-09
19731	4988.13858934948	3969.76753246362	0.342839649265827	6.99448609955622	123.453987176902	7.09849781776766e-11	7.95894134969913e-09
67838	2642.11124108365	1892.10712163381	0.470629398579998	5.96378150452033	123.445736741587	7.10324777993073e-11	7.95894134969913e-09
76566	408.312896179991	671.438750280411	-0.661054747634637	3.91621279798943	123.186490309249	7.25427187652905e-11	8.04247149224539e-09
223864	1501.27713362274	1107.69560799621	0.529216590160378	5.17388427124397	123.127567299428	7.28908098439288e-11	8.04247149224539e-09
71710	560.945828031769	878.482176997667	-0.683591348081395	4.35971684232127	123.127471793781	7.48457991182063e-11	8.19561500344359e-09
17079	31.2643870506549	113.393834724397	-1.80621458541619	1.01511148609575	122.55555028961	7.63657784942717e-11	8.29918016809175e-09
67801	618.361920953515	1033.85190014506	-0.634753409200622	4.51948002180252	121.847443910353	8.09184613082182e-11	8.72832417723124e-09
76199	6605.28063428993	5270.00271301024	0.363810844679173	7.38000910114757	120.856172713263	8.77932953806137e-11	9.39973549208437e-09
57435	1118.9389683519	68.6032411383505	3.96530224331776	3.96268380957725	412.235641027	9.15875464966492e-11	9.73387056663652e-09
210573	5776.85011766878	4361.51848139992	0.410576663270459	7.11989944096814	119.41622585469	9.89334570780281e-11	1.04378407927432e-08
68119	453.468207696357	261.284930086298	0.851712999176116	3.29607235410917	118.903208343338	1.03265381387028e-10	1.08159262504935e-08
18181	967.349418578735	703.024300931786	0.458956706989181	4.52860399901732	117.959192193685	1.11783986705725e-10	1.15401216259561e-08
11515	3492.22573115288	2537.00437114141	0.438626514617989	6.43655581679992	117.934135947315	1.12020228840158e-10	1.15401216259561e-08
223435	11137.5367954374	8348.4468907095	0.385674126625146	8.0686511354975	117.875534433829	1.12574868497289e-10	1.15401216259561e-08
217684	2440.33985080943	1824.78139850512	0.403877441132055	5.85514055839385	116.948394151329	1.21757953003702e-10	1.23935876951796e-08
