	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
56213	6253.16496335467	3521.51970301406	0.887640496498418	7.16273695348183	373.123450960644	1.12298911553575e-21	1.631815483785e-17
14623	2475.2980045577	1506.56038650931	0.799658570905778	5.95527148127093	251.054986003358	1.139883057656e-18	8.28182035539969e-15
21946	212.760568217516	89.7161333237791	1.37139330645089	2.28082665707314	186.120458146546	1.69085607637401e-16	7.60384146490898e-13
17181	1959.36053394185	1276.83285909371	0.708994832503129	5.47764638710032	183.699260088105	2.09313645720432e-16	7.60384146490898e-13
433904	3591.45236983586	2674.7541556288	0.487671577600697	6.49525027192062	177.852276570543	3.53899350163792e-16	1.02850229144601e-12
76574	1459.74163479067	623.451654103187	1.24531390571482	4.92857432865645	214.177234887108	6.02407681980525e-16	1.4589310044765e-12
104886	13744.1600533953	10922.8594400015	0.343849657307008	8.47484790392272	168.858966906878	8.16671937377951e-16	1.695294274577e-12
22350	3406.27170093526	2056.42808822675	0.689247796068112	6.34304342627812	168.092962707628	1.45127433778672e-15	2.63605842529735e-12
210135	1714.61389448174	1261.74009867171	0.440581638003811	5.44419472591675	157.098515780671	2.57961279409991e-15	4.09239997480502e-12
68272	3121.50427538348	2095.43463890931	0.560755981389055	6.28169473396552	156.228797202053	2.81632370435966e-15	4.09239997480502e-12
106878	296.104561754697	118.6339734863	1.39504834736794	2.68754414622487	155.230640417246	3.17141163771505e-15	4.18943477342158e-12
228608	1567.85286424657	1005.43469712731	0.6598204791784	5.28689638765994	146.054730989589	8.10678147728931e-15	9.81663680387425e-12
20887	631.536550567341	233.35289393443	1.39661885315792	3.73274940511967	168.110424441268	1.06762611424943e-14	1.19335962047373e-11
17060	675.634043391557	418.691638504553	0.691601614581814	4.00816354571132	141.493852704311	1.3273763172455e-14	1.37772180470674e-11
12575	1049.32959766078	469.480585432298	1.19304583755455	4.77909774355277	170.393163465512	1.62560478533338e-14	1.57477754237862e-11
208076	2530.44772068328	3270.57782126294	-0.383331477601065	6.35988774415067	135.086525351665	2.71156980648015e-14	2.46261380362269e-11
23792	5629.91035643561	7730.07939895714	-0.477539858830019	7.56182105184274	128.288775884852	5.95908714501871e-14	5.09361737083923e-11
243911	550.67225264163	317.620853987334	0.846940752476421	3.62320217218154	126.492893785901	7.37665852354053e-14	5.82696996102769e-11
56175	55.7808407150813	164.308737178768	-1.39579359717655	1.50246242588482	126.222513371419	7.61905094346749e-14	5.82696996102769e-11
19094	3617.08447630636	2740.70110964128	0.429606387604689	6.53091094644807	125.568767472984	8.24036821460613e-14	5.98703952632209e-11
11744	970.311583265735	609.702271734668	0.652667682059237	4.57657191791792	124.33510153149	9.56238538213248e-14	6.61671533275081e-11
74762	1069.18206462069	511.17621701259	1.02496728835503	4.71192808308841	138.693718793349	1.77350593235352e-13	1.1714006683195e-10
108682	2171.15071504502	1606.70442722935	0.446999996000374	5.87325239821944	118.186169563183	2.04251298161174e-13	1.2904241798174e-10
17067	1031.20661669099	728.169069478568	0.581222612905794	4.6616820594459	117.656058579165	2.18366593200866e-13	1.31702153429768e-10
14783	1541.09311121279	2111.52065834648	-0.443837685447294	5.6596208438669	117.363638575046	2.26588248279142e-13	1.31702153429768e-10
15982	1762.59780932766	1368.96210843502	0.420355887231542	5.44839090282712	115.899455599291	2.72938980835506e-13	1.52541397327721e-10
15040	739.523716710591	486.866879804196	0.623574367022772	4.10349184481809	115.404773061307	2.90768963384458e-13	1.56487548405169e-10
108100	14417.4467193197	11369.911928983	0.322286305810968	8.59222069071119	115.100916807195	3.02324317205765e-13	1.56895523332749e-10
13497	4384.44515729451	5774.72095444136	-0.381376092969815	7.16510876349331	112.581823108076	4.18888799649012e-13	2.0989217750689e-10
108116	1388.2559788395	980.78545154124	0.491997181489747	5.08603587215299	110.596348621327	5.43759878904167e-13	2.63379160011882e-10
192678	1410.28069523909	2600.32424772649	-0.808180411765146	5.76885902399679	128.229780364188	7.07054761680431e-13	3.28259295965497e-10
22228	624.726505960632	393.893587621364	0.733451564102318	4.04345479347823	108.459340803218	7.22888821890847e-13	3.28259295965497e-10
231125	1908.45364410313	2689.38910678072	-0.460967628295777	6.01096953750736	108.164221558717	7.52127459183825e-13	3.31186791193944e-10
12827	5561.72489451618	3823.91648510363	0.53616633072475	7.13915008542107	110.314032696423	9.10697199469538e-13	3.89215911926231e-10
108069	1564.37772652692	2191.0802329012	-0.474806303558648	5.77919314855648	106.197591103711	9.81612922871611e-13	4.07537639492782e-10
210622	1360.43086386362	1977.12733100383	-0.504883374211719	5.59800767518545	104.36707801978	1.26186940194641e-12	4.95996217916384e-10
544963	2236.99692554595	1244.69213435674	0.724876878690668	5.61107921228591	115.609762621848	1.31844205320377e-12	4.95996217916384e-10
