	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000006205	7609.8	3913.8	0.953698761190381	7.10932352604328	409.030863967659	9.19839837791293e-21	1.45601447923984e-16
ENSMUSG00000029153	2200.8	1422.8	0.63457661662504	5.50187710111093	319.151607263746	4.68800185394848e-19	3.71031906730753e-15
ENSMUSG00000086040	6914	3538	0.969094876698052	6.99150774985531	307.388400599963	9.62517296549296e-19	4.29249025763502e-15
ENSMUSG00000028655	1112.2	406.8	1.43725608492846	4.16015398815311	304.773544898955	1.08471546089709e-18	4.29249025763502e-15
ENSMUSG00000024222	3184	1040.2	1.62151335165257	5.71864827485669	294.052783574574	1.04450398544096e-17	2.79848299536286e-14
ENSMUSG00000031700	1711.4	1111.6	0.621148452718624	5.21116848704816	261.019349892509	1.06076808213893e-17	2.79848299536286e-14
ENSMUSG00000030711	456.2	134	1.77159737158331	2.82745848131799	259.055245049081	1.32594437412042e-17	2.99833907113601e-14
ENSMUSG00000052397	5871.2	3609	0.693716422730395	6.83151555727738	242.847711250177	3.19551678889902e-17	6.32272940643532e-14
ENSMUSG00000040055	1043	557.4	0.88341299897915	4.31940968798568	232.197916990179	6.31082937665822e-17	1.10993464670137e-13
ENSMUSG00000027333	2463	1483.4	0.72405982317119	5.64140424716023	220.267257380187	1.39826736307419e-16	2.21331740901014e-13
ENSMUSG00000002831	609.4	39.2	4.05326196558016	2.89310492658888	259.528715616493	2.41311014413566e-16	3.47246549741121e-13
ENSMUSG00000022197	5360.6	3280	0.723500473403239	6.71010045326125	207.08231749338	3.5224762754543e-16	4.64643974701384e-13
ENSMUSG00000033998	2800.6	2149.4	0.376549366885986	5.94411866339141	199.951584709951	5.93097510181319e-16	7.22164652973853e-13
ENSMUSG00000031503	10068.2	6350.2	0.650482492887916	7.6748350254285	192.510101749693	1.03934918698105e-15	1.17513273433736e-12
ENSMUSG00000038059	201.8	75	1.42688491565596	1.82673098631055	178.07600902941	3.25921601381869e-15	3.37061600608596e-12
ENSMUSG00000099875	413.8	909.4	-1.13846503149691	4.01575300336872	178.585472260336	3.40702862451041e-15	3.37061600608596e-12
ENSMUSG00000033685	552.6	295.4	0.911319039429487	3.47654939378301	175.183910941112	4.13649303327706e-15	3.69636737204925e-12
ENSMUSG00000021750	23224.2	13618	0.76397911960176	8.8130534122026	177.328065176633	4.20333645188493e-15	3.69636737204925e-12
ENSMUSG00000043557	1647.8	780.8	1.07202336123736	5.04143644013554	177.518908835226	6.08197607526589e-15	5.06692627870441e-12
ENSMUSG00000021866	2186.2	1350.8	0.703464623588454	5.45827882562423	166.078112314919	8.95778344128368e-15	7.08963770460397e-12
ENSMUSG00000054252	4190.8	2653	0.659501432331889	6.38523443680369	164.073307958671	1.06693706159003e-14	7.72461059328911e-12
ENSMUSG00000104415	185.8	54	1.77414525787438	1.56878255487802	163.909947981679	1.08233205205013e-14	7.72461059328911e-12
ENSMUSG00000031431	1731	941	0.867260643975378	5.28035214029067	164.827329953106	1.12240851377629e-14	7.72461059328911e-12
ENSMUSG00000030413	94.4	40.2	1.21136628189627	0.888047888641658	161.999828615479	1.28083768246272e-14	8.4476581982093e-12
ENSMUSG00000036915	385	192.8	0.989737092684306	2.82017000912409	159.058243616873	1.66544673156319e-14	1.05449425255655e-11
ENSMUSG00000025931	3753.6	2538.2	0.554436478974329	6.32109595683595	156.283460780397	2.14146443922659e-14	1.30374002340453e-11
ENSMUSG00000041957	250	104.2	1.26300090455776	2.30082851934256	153.88498522096	2.66919243620037e-14	1.56483878046725e-11
ENSMUSG00000021062	13770	10868.4	0.341684763193917	8.33248816490928	149.319830918434	4.09174477949345e-14	2.31315100409292e-11
ENSMUSG00000034853	1173.8	700.4	0.746936569379844	4.50340665527468	148.670402671718	4.3518873607482e-14	2.37538017356149e-11
ENSMUSG00000017009	928.6	526	0.811162448153347	4.20730212437278	144.678620952307	6.3877176684824e-14	3.32401650549994e-11
ENSMUSG00000031639	499.6	824	-0.740664066072551	4.103989017611	144.483896129521	6.5098560661127e-14	3.32401650549994e-11
ENSMUSG00000022324	1578.2	978.8	0.683205795963777	5.06770063601992	142.358041936185	8.01611220298707e-14	3.96522000190882e-11
ENSMUSG00000024039	2764.4	1723.2	0.673718847732428	5.76335747706372	140.154292314692	9.97311889385202e-14	4.78377269608435e-11
ENSMUSG00000022122	525.2	839.2	-0.701961158590742	4.16094128044911	136.606449594371	1.42600732724015e-13	6.63890293614247e-11
ENSMUSG00000026482	3767.4	2770.2	0.444382591474469	6.41470335371784	136.297578465572	1.47161553297595e-13	6.65548636327893e-11
ENSMUSG00000039349	4482.4	6227	-0.484901150979048	7.02750135702701	130.407769356294	2.71265168392143e-13	1.18871051956943e-10
ENSMUSG00000023067	3646.8	1824.6	1.02425781571421	6.15127244524974	140.139712146355	2.77858924910411e-13	1.18871051956943e-10
ENSMUSG00000033316	9548.6	5897.8	0.710723927083861	7.65482508229745	130.301929225722	3.83772147923641e-13	1.59861298144298e-10
ENSMUSG00000032220	1267	892	0.511486588503269	4.73732179865657	126.273229647251	4.22294991541493e-13	1.71397626182315e-10
ENSMUSG00000018537	3169	4171.4	-0.400765913805045	6.53708792150446	125.150967994535	4.77147071031878e-13	1.8881902468409e-10
ENSMUSG00000021676	4823.6	2846.4	0.764232087355467	6.63074535457852	128.050933729376	5.27202942537605e-13	2.03538911644579e-10
ENSMUSG00000035397	782.6	1135.8	-0.540585750551264	4.64790505379181	122.865836061598	6.13502154035404e-13	2.31217276100629e-10
ENSMUSG00000037400	4038.2	5839.2	-0.535667801043803	6.98205205629622	121.439847480406	7.19036007964145e-13	2.59259358563235e-10
ENSMUSG00000021010	379	618.2	-0.708300018294525	3.80261625122388	121.419607558493	7.20665346944365e-13	2.59259358563235e-10
ENSMUSG00000057101	1076.2	785.2	0.452866600301906	4.61924468468004	120.422090058091	8.06010391786915e-13	2.83518633146557e-10
ENSMUSG00000054477	1914.8	1382.6	0.467140607294513	5.3076901684421	119.472410697365	8.97244639208853e-13	3.08466386617959e-10
ENSMUSG00000045193	4280.4	7278.4	-0.769009116154319	7.08090673396538	124.42626322038	9.15908785838907e-13	3.08466386617959e-10
ENSMUSG00000022678	496.2	328.8	0.578050875272031	3.35861137240364	118.787564538114	9.69782744094498e-13	3.17864853882406e-10
ENSMUSG00000066037	4774.6	6012.4	-0.334684493375497	7.06289323172615	118.659903101567	9.83977373190846e-13	3.17864853882406e-10
ENSMUSG00000021071	18665.6	14139.2	0.4041174674015	8.72910529211224	116.197084221136	1.30550691829161e-12	4.13297380192757e-10
ENSMUSG00000025795	666	1118.4	-0.763868934297326	4.46350668732664	116.149742243982	1.35266489186591e-12	4.19714511908405e-10
ENSMUSG00000025790	2618.6	1923.4	0.446638673813792	5.81478523334108	115.72587687333	1.37880817608422e-12	4.19714511908405e-10
ENSMUSG00000040447	3104.2	2085	0.573905676223368	6.06039409348324	113.618023880566	1.76424638427349e-12	5.26910490880472e-10
ENSMUSG00000032482	10711.8	14208.2	-0.417589239662864	8.27800236482389	111.921792925413	2.1569078802054e-12	6.3225360806984e-10
ENSMUSG00000024883	4378	3247.8	0.426337325950304	6.66865737878441	110.418529838008	2.58245695292125e-12	7.43231111050735e-10
ENSMUSG00000029701	3309.4	2308.6	0.50644758739854	6.15294442226648	109.2385536987	2.97846736414261e-12	8.41895712625238e-10
ENSMUSG00000105843	643.2	171	1.9093014691217	3.67810733212147	123.216672333177	3.04296796410888e-12	8.45037542173324e-10
ENSMUSG00000017692	2371	1445.2	0.741625171150612	5.58719589312638	109.993145616316	3.31979676517489e-12	9.06018327516435e-10
ENSMUSG00000022951	2674.6	2205.8	0.273426466881464	5.99363542510936	107.815969158011	3.54305948738318e-12	9.50560824165904e-10
