	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000031431	2690.4	911.4	1.57187076606909	5.28035214029067	524.922643401883	2.06240074465843e-22	3.26457413871983e-18
ENSMUSG00000031700	1929.6	1140.8	0.778668843589958	5.21116848704816	401.795189322713	1.22373498936575e-20	9.68525057333523e-17
ENSMUSG00000006205	7072.2	3858.6	0.895212060971806	7.10932352604328	350.447113823301	1.07548225317096e-19	5.67460286181437e-16
ENSMUSG00000041957	349.4	101.8	1.76791096402068	2.30082851934256	305.595248123027	9.2420803913725e-19	3.64342118850625e-15
ENSMUSG00000024222	3542.4	1029.6	1.78177194077431	5.71864827485669	342.009724393767	1.15086903421134e-18	3.64342118850625e-15
ENSMUSG00000040055	1087.2	560.4	0.980253547622576	4.31940968798568	278.410844543318	3.92800730946733e-18	9.11846091520231e-15
ENSMUSG00000028655	1011.2	387.6	1.40206405076651	4.16015398815311	277.965307221922	4.50340192386517e-18	9.11846091520231e-15
ENSMUSG00000038059	241.8	70.2	1.78757075024933	1.82673098631055	275.54616090466	4.60848362635785e-18	9.11846091520231e-15
ENSMUSG00000086040	6534.8	3431.2	0.922731899780975	6.99150774985531	269.06194256136	7.51654865405854e-18	1.32199387383436e-14
ENSMUSG00000022951	2940.2	2213.8	0.431630072654085	5.99363542510936	262.406448084038	9.77881088798743e-18	1.54788797545953e-14
ENSMUSG00000033998	2832.4	2123.8	0.433904692552106	5.94411866339141	258.345684683276	1.24222549615624e-17	1.78756248896883e-14
ENSMUSG00000033685	675	312.2	1.09632485776036	3.47654939378301	253.625610525412	1.64747738153492e-17	2.06963893851931e-14
ENSMUSG00000027333	2502.4	1469	0.787223941857989	5.64140424716023	253.108155153381	1.69974769099444e-17	2.06963893851931e-14
ENSMUSG00000030711	467.8	139	1.76608266344875	2.82745848131799	250.746542941024	2.17906787139382e-17	2.46374752402091e-14
ENSMUSG00000022508	3706.8	2253.2	0.73850729324102	6.11855873310987	245.792179882436	2.65972998925303e-17	2.69708288688025e-14
ENSMUSG00000029153	2131.8	1455.6	0.564396736713446	5.50187710111093	245.394214009711	2.72621935625017e-17	2.69708288688025e-14
ENSMUSG00000001768	1017.6	596.2	0.776531775073237	4.26881662245742	228.288934244394	8.15733484581044e-17	7.59543842790196e-14
ENSMUSG00000014782	371.6	130	1.54238029858455	2.54215832303648	226.554057522099	9.15274821734236e-17	8.04882508512846e-14
ENSMUSG00000049892	1493.4	364.6	2.04563308216065	4.23084203932761	255.635468513126	1.06881209712861e-16	8.9043298344467e-14
ENSMUSG00000023067	4382.4	1702.4	1.35580778522474	6.15127244524974	237.416684604668	1.96181915733602e-16	1.55268177207359e-13
ENSMUSG00000017009	1033.8	522.2	1.00017814288158	4.20730212437278	214.186000710151	2.12815951958574e-16	1.60412557312013e-13
ENSMUSG00000040447	3468.6	2013.4	0.789077728483492	6.06039409348324	207.956675087583	3.30799843198145e-16	2.38010487181065e-13
ENSMUSG00000024883	4858	3238	0.592223435821308	6.66865737878441	206.994416330413	3.54483775676766e-16	2.43961899355979e-13
