	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000006205	6827.8	3732.6	0.871375103525443	7.10932352604328	336.191991741447	2.07071743612956e-19	3.27773862964948e-15
ENSMUSG00000028655	968.6	396.6	1.26905339340621	4.16015398815311	231.949867267461	7.08949802067181e-17	5.6109832084607e-13
ENSMUSG00000052397	5474.6	3465.8	0.652046588860406	6.83151555727738	210.556170149583	2.74810041929342e-16	1.44998938456652e-12
ENSMUSG00000029153	2025.4	1439.8	0.501617273580857	5.50187710111093	196.585218982405	7.62718595697403e-16	3.01826816282355e-12
ENSMUSG00000040055	925.4	524	0.811285152229276	4.31940968798568	190.241446684849	1.23775934278634e-15	3.91849852739299e-12
ENSMUSG00000030711	372	132.4	1.50707935964181	2.82745848131799	178.812089742849	3.33843918184656e-15	8.80735896824154e-12
ENSMUSG00000030413	100.4	43.4	1.22617444596314	0.888047888641658	172.764206305234	5.06234739452591e-15	1.01289656360408e-11
ENSMUSG00000027333	2333.4	1490.2	0.645282878746176	5.64140424716023	172.631252871101	5.11919420609808e-15	1.01289656360408e-11
ENSMUSG00000033998	2640.6	2076.6	0.349766739729946	5.94411866339141	169.869637621629	6.46620643013004e-15	1.13726201758365e-11
ENSMUSG00000038059	173.4	64.2	1.45281141184232	1.82673098631055	168.316734915904	7.38418995227976e-15	1.16884342754636e-11
ENSMUSG00000025964	4815.2	6673	-0.479322183230256	7.20065839328244	157.079053608112	1.99179158850731e-14	2.86618809586202e-11
ENSMUSG00000002831	484.8	39.2	3.48251759293897	2.89310492658888	180.967465647892	2.88242769163416e-14	3.80216232757309e-11
ENSMUSG00000031700	1596.6	1156	0.472301714152338	5.21116848704816	149.028008454084	4.20654475561485e-14	5.12195361050981e-11
ENSMUSG00000024222	2501.8	1092.8	1.20208525737941	5.71864827485669	159.907951998912	5.29425788398727e-14	5.98591486040247e-11
ENSMUSG00000043557	1729	870.6	0.985329517633308	5.04143644013554	150.442788520524	6.14679782713553e-14	6.48651085371522e-11
ENSMUSG00000061132	2168	1405.2	0.637710870463094	5.48694608627672	138.785540211964	1.14383169004004e-13	1.10053664048214e-10
ENSMUSG00000022324	1657.8	1029.6	0.675862373321225	5.06770063601992	138.459785655676	1.18195229567227e-13	1.10053664048214e-10
ENSMUSG00000021062	14311.4	11438	0.325031362087823	8.33248816490928	133.745310809777	1.91309658781862e-13	1.68235588269894e-10
ENSMUSG00000025795	623.2	1101.2	-0.827020533036333	4.46350668732664	133.132528215558	2.10814607740737e-13	1.6884967724871e-10
ENSMUSG00000027188	1294.2	1926.4	-0.586734755521263	5.32968681522139	132.696250472466	2.13342191229655e-13	1.6884967724871e-10
ENSMUSG00000021750	21903.4	13583.6	0.664934636740709	8.8130534122026	133.39963851745	2.3182755628936e-13	1.74742780404966e-10
ENSMUSG00000033316	9688.2	6022.8	0.714555590766834	7.65482508229745	130.454045149444	3.77767059868203e-13	2.64265156915989e-10
ENSMUSG00000099875	416.8	832.2	-0.968702134312548	4.01575300336872	127.774495026231	3.83985002783988e-13	2.64265156915989e-10
ENSMUSG00000086040	5739.4	3700.6	0.629267745191385	6.99150774985531	127.269281726235	4.07712516795059e-13	2.68903392847875e-10
ENSMUSG00000057101	1132.8	818.2	0.464998063699376	4.61924468468004	126.161001770846	4.27467221217137e-13	2.70655145785843e-10
ENSMUSG00000037224	1443.8	2030	-0.506625125812551	5.41398782206192	125.520853629297	4.58279703222066e-13	2.7900420855008e-10
ENSMUSG00000037400	4186.6	6047.6	-0.544177871019824	6.98205205629622	124.849309362658	4.93142341530738e-13	2.89109263855187e-10
ENSMUSG00000023067	3384.6	1690.8	1.00578047588914	6.15127244524974	133.18945495399	5.4215449086228e-13	3.06491551280679e-10
ENSMUSG00000053137	6203.6	4661.2	0.427157646877205	7.07074369186364	123.574178149587	5.67293201910274e-13	3.09644279070266e-10
ENSMUSG00000036915	353.6	187.4	0.885712128731166	2.82017000912409	122.802916059281	6.17795063514853e-13	3.2596926867922e-10
