	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000031431	2568.4	927	1.48596867216519	5.28035214029067	431.913436691942	4.736184396588e-21	7.49690628135914e-17
ENSMUSG00000031700	1851.6	1148	0.712871017888806	5.21116848704816	308.431191626394	8.00090790096612e-19	6.33231855821964e-15
ENSMUSG00000006205	6595.8	3835.2	0.79934183063901	7.10932352604328	257.859301394059	1.27862674516258e-17	6.74646091639282e-14
ENSMUSG00000038059	213.6	60.8	1.83761536148595	1.82673098631055	250.378968404959	2.00602975247333e-17	7.93836123797508e-14
ENSMUSG00000040055	1037	533.6	0.95870005665003	4.31940968798568	241.025806637753	3.58331181058068e-17	8.60782011106619e-14
ENSMUSG00000024222	3132.6	1032.2	1.64641962638782	5.71864827485669	269.517897249001	3.67440101410348e-17	8.60782011106619e-14
ENSMUSG00000028655	950.6	378.4	1.36845353042317	4.16015398815311	241.698166830029	3.80660438293406e-17	8.60782011106619e-14
ENSMUSG00000033685	593.2	277.4	1.12304114823505	3.47654939378301	236.195184996176	4.87293718832692e-17	9.64171534425335e-14
ENSMUSG00000041957	316.8	104.8	1.61073404634467	2.30082851934256	231.638369990928	6.54546543969683e-17	1.15120191605512e-13
ENSMUSG00000022951	2982.6	2256.6	0.410449248631032	5.99363542510936	218.050794445683	1.62766096665488e-16	2.53077676975729e-13
ENSMUSG00000001768	1017	594.6	0.791686856710886	4.26881662245742	216.928448990597	1.75870519093627e-16	2.53077676975729e-13
ENSMUSG00000023067	4118.4	1602.6	1.37448928663009	6.15127244524974	223.165775711856	4.72751467685442e-16	6.23598581832738e-13
ENSMUSG00000029153	2101.6	1473.6	0.528476534835866	5.50187710111093	197.855369532889	6.93364112412748e-16	7.89701127054e-13
ENSMUSG00000024883	5129.6	3386.2	0.602226225977461	6.66865737878441	197.757690399824	6.98453204798535e-16	7.89701127054e-13
ENSMUSG00000014782	376	139.2	1.47620523772424	2.54215832303648	190.407895448279	1.22192135396835e-15	1.25859850868758e-12
ENSMUSG00000025931	3866.8	2487	0.648141134726064	6.32109595683595	189.887189731066	1.27219509375205e-15	1.25859850868758e-12
ENSMUSG00000030711	388.6	128.2	1.63183115429642	2.82745848131799	188.479788715132	1.54881956211136e-15	1.44213322639181e-12
ENSMUSG00000022508	3408.4	2192	0.668778210757954	6.11855873310987	185.339255491458	1.8165720228577e-15	1.58782960903969e-12
ENSMUSG00000051243	11039.2	6606	0.750158406831571	7.68240985925214	185.704347609251	1.90591715027823e-15	1.58782960903969e-12
ENSMUSG00000025372	38398.2	29373.8	0.399941686544941	9.68852328043014	182.566030648214	2.2655383660892e-15	1.7930603398413e-12
ENSMUSG00000048826	2499.8	4228.8	-0.75975280849839	6.54062409022423	181.820631528411	2.4287526404601e-15	1.83070121646871e-12
ENSMUSG00000017009	957.4	500.2	0.958302223661629	4.20730212437278	178.166139632282	3.23526478196192e-15	2.3277730106216e-12
ENSMUSG00000035934	4068.8	5340	-0.393103794629081	6.90137252704197	176.689439765836	3.65229464888082e-15	2.51357269552758e-12
ENSMUSG00000086040	6418.6	3769.4	0.772435414693773	6.99150774985531	174.332077076582	4.86763062990358e-15	3.21040521836433e-12
