	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
14605	3933.27973300166	1483.61832197227	1.43669645537134	6.09447691569906	411.608359366139	3.99189727218356e-21	5.80062592620994e-17
108682	2628.37275520438	1613.55777825407	0.774954831863431	5.87329382477448	257.484285950852	1.96298320149842e-18	1.42620544504868e-14
56213	6085.28788327917	3629.54894942469	0.786034270899954	7.16276079846904	236.336107640795	8.01237961110248e-18	3.25209003776738e-14
67451	432.686565124881	149.640127543359	1.56337748546732	2.9442468858782	234.734758646724	8.95214379675832e-18	3.25209003776738e-14
14623	2830.82035114467	1488.6075876097	0.943874833377007	5.95531760941456	229.756321587181	1.51880998353897e-17	4.41396557416097e-14
22228	759.216581902733	389.664021069061	1.14966578487039	4.04354798694376	217.858329030035	3.00308059835601e-17	6.55735668040399e-14
106878	340.364588035375	100.745792953819	1.84134354081342	2.68771457661325	217.176462131082	3.15886702655206e-17	6.55735668040399e-14
74030	1706.38272627661	958.268148755683	0.797091174721309	5.15279560718372	201.392925623244	1.05966471108463e-16	1.6484852477489e-13
320563	4743.4283355923	3041.69382147351	0.837881701989561	6.63313144948741	202.853095670072	1.11379771110764e-16	1.6484852477489e-13
240025	1980.19546147667	3717.39649030543	-0.767600839191267	6.44375999795242	200.533311512752	1.13446097842468e-16	1.6484852477489e-13
320292	2020.54064696747	3344.88133188519	-0.819478152276677	6.42423578294526	195.377628668563	1.7801541858221e-16	2.25818906792574e-13
76574	1425.41431435414	585.674508000936	1.4100328604946	4.92867867226864	224.626433835647	1.86485918485368e-16	2.25818906792574e-13
102075	291.491805774206	104.366441582722	1.56369868735931	2.30754161824373	181.471448838949	5.50566305305426e-16	6.15406075568704e-13
12575	1445.90554534815	569.822697498634	1.50756713344324	4.77921592749371	212.43471897504	7.52011769285446e-16	7.32374880113183e-13
108100	16181.8252785142	12875.051477549	0.472426269556331	8.59222431669693	177.833729577452	7.56012882919121e-16	7.32374880113183e-13
20887	663.429888567627	211.015222809816	1.632228845436	3.73290728412166	190.969068384638	1.15541360374031e-15	1.04933219224691e-12
19416	303.925872272314	93.1416265592293	1.87978102130203	2.26842162186643	172.031638458272	1.60574137698632e-15	1.37253105582284e-12
225870	3960.78756615727	2656.99376730125	0.681260098257674	6.44624044920553	166.505463261341	2.10326467754157e-15	1.69791883496425e-12
104175	3735.20296478937	2489.06912044818	0.738993783017183	6.33620519554642	161.811402493602	3.26846310340528e-15	2.49968617660959e-12
21946	252.202986879797	105.01045906309	1.36163596973387	2.28095380415579	160.337008853835	3.7619639500982e-15	2.7194177024778e-12
20971	1715.43954466395	896.109164004458	0.926644076426527	5.22364758341046	163.38582574952	3.93006480985712e-15	2.7194177024778e-12
433904	3721.78724873212	2588.55545038979	0.51461570226724	6.49527384830663	157.795510499444	4.80584048815424e-15	3.17425764242587e-12
14229	2726.94002917723	884.776719796204	1.67740297429831	5.66934169222689	199.610569136393	1.33008332590369e-14	8.40323513422021e-12
74229	5314.80780627937	3213.82452317893	0.659465404799131	6.90785015407506	146.198296966654	1.53269448109614e-14	9.27982646033667e-12
228608	1683.08697029798	1114.23256325701	0.720721547815833	5.28695116261854	142.500116825863	2.25334598058137e-14	1.30973481775311e-11
11501	402.602578864004	193.99658636667	1.22119099266113	2.84695461136428	141.77265096776	2.43309380377857e-14	1.35981869471948e-11
17202	189.8054839064	64.985473130776	1.73487392299593	1.58087543826263	140.754965401827	2.71029385747925e-14	1.42235171064414e-11
100037258	2847.32709602862	1839.28585496889	0.590245479804792	6.00662632067058	140.649894343738	2.74075066396229e-14	1.42235171064414e-11
12053	1054.26881859165	694.85405563795	0.727132543234279	4.57116488175657	140.231064740173	2.86578510482197e-14	1.43595597786787e-11
18164	23648.4447936849	17607.7689553226	0.540171828897227	9.09282080670915	136.693458739491	4.19511506809866e-14	2.03197390181805e-11
17181	2028.79780905194	1320.9989422398	0.684791909228462	5.47768872254394	132.995947222777	6.30063236136325e-14	2.90478005470614e-11
71840	70.7949415610604	6.35951244034067	3.89279011207645	0.315117230075384	136.126751971805	6.39687301291009e-14	2.90478005470614e-11
12304	2150.28410703574	1214.08597444238	0.811204055298308	5.44584653563455	135.080027652316	7.03540869206653e-14	3.09792496073996e-11
27261	479.321382907199	249.640471096619	1.09086119777885	3.13887961177504	131.373554308572	7.55287348111517e-14	3.22796483982601e-11
78618	5239.93089242224	3680.27026589588	0.408172941345875	6.92479209970158	129.848365608467	8.97060258029981e-14	3.72433788840962e-11
54720	2738.84686760327	2209.43909010969	0.413385036640218	6.06781554363137	126.91186813872	1.25491700824676e-13	5.06533306856492e-11
27528	1372.66957021389	2207.81833412213	-0.762075008593184	5.83126996800808	129.672224920985	1.29505705325297e-13	5.08607406508621e-11
74762	1387.14350844809	617.167622894154	1.27620894070868	4.71203723824818	146.46487768258	1.45225331651378e-13	5.48409238636492e-11
104886	14341.7424905783	11573.1331552736	0.356766492807433	8.47485159899444	125.535145396053	1.47188495676989e-13	5.48409238636492e-11
243911	560.35405600812	305.667694744532	0.925683159847359	3.62328019727664	124.811699653422	1.60141913525308e-13	5.81755536359062e-11
100502895	139.694352403533	27.4466879871398	2.30825906606657	1.19565730923317	124.274992057687	1.92046107944121e-13	6.80639510862443e-11
