	S3SD5	WTSD5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	206.8	225.2	-0.128757584086327	1.32193505358357	1.08884476279059	0.307163816433007	0.783597676165339	100008567	Gm14964
100009600	56.8	58.2	-0.0250286697276201	0.0366906674856713	0.0147360351193755	0.90443224291696	0.984221544425822	100009600	Zglp1
100017	16.2	19.6	-0.232229003469887	1.45647654350106	3.64142660985748	0.0684367198103192	0.555460753217878	100017	Ldlrap1
100019	343.4	344	-0.000788828265001801	6.20347312138611	0.000298861958368127	0.986369148706495	0.998143619778925	100019	Mdn1
100034361	103.4	104.2	-0.0195301128433002	2.50276048245747	0.0480287203196228	0.82838978499391	0.969849507615202	100034361	Mfap1b
100034726	761.4	784.4	-0.0459725197105177	5.54226255938241	1.09676562289111	0.305449340286695	0.782240390592468	100034726	Gm15772
100036521	1859.8	1816	0.0326613193630181	5.08041589615636	0.645580627534673	0.42961337979811	0.853176225461737	100036521	Umad1
100036768	80.2	83.8	-0.0531493034861732	1.12397179507295	0.151420330592116	0.700625899814242	0.937574936474729	100036768	Gm11696
100037258	3203.2	3169.4	0.0108612339201534	6.0442237449119	0.0840620178182665	0.774366012977461	0.959035793853805	100037258	Dnajc3
100037262	41.4	42.6	-0.0587292896774787	0.968826842844258	0.185692550165488	0.670386305460616	0.931313922730389	100037262	Gm12359
100037278	86.6	90.4	-0.0785264266526834	1.2649804747223	0.378534747554598	0.544200793535307	0.892691165600717	100037278	Fam129c
100037282	140.4	157.2	-0.165258087314582	2.47496466757874	2.95819554589842	0.098363867912216	0.629298375468891	100037282	Rsph3b
100037283	284.2	260.8	0.126782347487925	0.659040560522909	0.399590605778895	0.533558111264711	0.88858866094664	100037283	Rnaset2a
100037396	413.6	416.2	-0.0134184663902355	3.5025645117612	0.0437840712899657	0.836028493263822	0.971066846804506	100037396	D030047H15Rik
100038347	2468.2	2513.2	-0.0298662368922607	5.18104617098806	0.264359644849112	0.612783382123027	0.91384477533377	100038347	Fam174b
100038356	270.6	255.6	0.0609051839615838	2.33770989207464	0.307060566233152	0.58463583500869	0.905340947051189	100038356	Gm15612
