ab	check	gene
100503620	100503620	Gm15337
106014	106014	Fam19a5
11984	11984	Atp6v0c
12153	12153	Bmp1
12831	12831	Col5a1
14284	14284	Fosl2
14860	14860	Gsta4
16476	16476	Jun
16835	16835	Ldlr
18030	18030	Nfil3
18791	18791	Plat
19418	19418	Rasgrf2
20356	20356	Sema5a
20677	20677	Sox4
20849	20849	Stat4
21941	21941	Tnfrsf8
22234	22234	Ugcg
231148	231148	Ablim2
232370	232370	Clstn3
271564	271564	Vps13a
433586	433586	Maml3
50706	50706	Postn
53324	53324	Nptx2
54006	54006	Deaf1
59012	59012	Moxd1
64099	64099	Parvg
68525	68525	Evc2
69908	69908	Rab3b
70439	70439	Taf15
71738	71738	Mamdc2
72168	72168	Aifm3
72301	72301	1810041L15Rik
74127	74127	Krt80
76795	76795	Tbc1d9b
81840	81840	Sorcs2
