	ph1$kmeans$cluster	check	gene
B4galt7	1	B4galt7	218271
Col6a3	1	Col6a3	12835
Ddn	1	Ddn	13199
Entrez:210541	1	NA	210541
Fam19a5	1	Fam19a5	106014
Fggy	1	Fggy	75578
Gsta4	1	Gsta4	14860
Mgat4b	1	Mgat4b	103534
Mxra7	1	Mxra7	67622
Nek6	1	Nek6	59126
Omp	1	Omp	18378
Otof	1	Otof	83762
Postn	1	Postn	50706
Rabl2	1	Rabl2	68708
Rgs16	1	Rgs16	19734
Rnf207	1	Rnf207	433809
Sec14l3	1	Sec14l3	380683
Sgpp2	1	Sgpp2	433323
Slc24a4	1	Slc24a4	238384
Tbc1d9b	1	Tbc1d9b	76795
Tef	1	Tef	21685
Tuba1c	1	Tuba1c	22146
2010300C02Rik	2	2010300C02Rik	72097
Arrdc2	2	Arrdc2	70807
B3gnt2	2	B3gnt2	53625
Ddah1	2	Ddah1	69219
Egln1	2	Egln1	112405
Epha10	2	Epha10	230735
Fam81a	2	Fam81a	76886
Fat3	2	Fat3	270120
Fosl2	2	Fosl2	14284
Fst	2	Fst	14313
Gm11549	2	Gm11549	100503068
Hspb8	2	Hspb8	80888
Ifrd1	2	Ifrd1	15982
Jcad	2	Jcad	240185
Jdp2	2	Jdp2	81703
Kcnk1	2	Kcnk1	16525
Kcnn2	2	Kcnn2	140492
Krt80	2	Krt80	74127
Lsm11	2	Lsm11	72290
Maml3	2	Maml3	433586
Mast2	2	Mast2	17776
Moxd1	2	Moxd1	59012
Myo1e	2	Myo1e	71602
Ncf1	2	Ncf1	17969
Nde1	2	Nde1	67203
Nedd9	2	Nedd9	18003
Nfil3	2	Nfil3	18030
Npas2	2	Npas2	18143
Nptx2	2	Nptx2	53324
Nt5dc2	2	Nt5dc2	70021
Ntrk2	2	Ntrk2	18212
Pdyn	2	Pdyn	18610
Pdzd2	2	Pdzd2	68070
Plat	2	Plat	18791
Prickle1	2	Prickle1	106042
Ptgfrn	2	Ptgfrn	19221
Ptprj	2	Ptprj	19271
Rspo3	2	Rspo3	72780
Scg2	2	Scg2	20254
Sema3a	2	Sema3a	20346
Serpinb8	2	Serpinb8	20725
Shank3	2	Shank3	58234
Sorcs2	2	Sorcs2	81840
Spata2l	2	Spata2l	78779
Stard8	2	Stard8	236920
Syn3	2	Syn3	27204
Syne1	2	Syne1	64009
Tspan11	2	Tspan11	68498
Vip	2	Vip	22353
Wipf3	2	Wipf3	330319
Wnk4	2	Wnk4	69847
1810041L15Rik	3	1810041L15Rik	72301
Acr	3	Acr	11434
Adcyap1	3	Adcyap1	11516
Atp6v0c	3	Atp6v0c	11984
Cbarp	3	Cbarp	100503659
Clstn3	3	Clstn3	232370
Cntn1	3	Cntn1	12805
Cttnbp2	3	Cttnbp2	30785
Ddit4l	3	Ddit4l	73284
Dusp10	3	Dusp10	63953
Dusp3	3	Dusp3	72349
Fxyd7	3	Fxyd7	57780
Gm2444	3	NA	100039826
Gng4	3	Gng4	14706
Gxylt1	3	Gxylt1	223827
Hmgcr	3	Hmgcr	15357
Jun	3	Jun	16476
Kcnk2	3	Kcnk2	16526
Kcnv1	3	Kcnv1	67498
Ldlr	3	Ldlr	16835
Map3k5	3	Map3k5	26408
Marcksl1	3	Marcksl1	17357
Mpp3	3	Mpp3	13384
Parvg	3	Parvg	64099
Phf21b	3	Phf21b	271305
R3hdm1	3	R3hdm1	226412
Rab3b	3	Rab3b	69908
Rasl10b	3	Rasl10b	276952
Reln	3	Reln	19699
Rgs4	3	Rgs4	19736
Rnd1	3	Rnd1	223881
Sema5a	3	Sema5a	20356
Setbp1	3	Setbp1	240427
Sfxn1	3	Sfxn1	14057
Slc7a11	3	Slc7a11	26570
Sox4	3	Sox4	20677
Stat4	3	Stat4	20849
Taf15	3	Taf15	70439
Trp53bp1	3	Trp53bp1	27223
Ugcg	3	Ugcg	22234
Zmynd19	3	Zmynd19	67187
Abcd2	4	Abcd2	26874
Bhlhe41	4	Bhlhe41	79362
Bmp1	4	Bmp1	12153
Cela1	4	Cela1	109901
Chia1	4	Chia1	81600
Col5a1	4	Col5a1	12831
Cpne8	4	Cpne8	66871
Cpne9	4	Cpne9	211232
Dbp	4	Dbp	13170
Deaf1	4	Deaf1	54006
Dennd6b	4	Dennd6b	69440
Dpp10	4	Dpp10	269109
Extl1	4	Extl1	56219
Gm15337	4	Gm15337	100503620
