	ph1$kmeans$cluster	check	gene
Abcd2	1	Abcd2	26874
Bhlhe41	1	Bhlhe41	79362
Bmp1	1	Bmp1	12153
Cela1	1	Cela1	109901
Chia1	1	Chia1	81600
Col5a1	1	Col5a1	12831
Cpne8	1	Cpne8	66871
Cpne9	1	Cpne9	211232
Dbp	1	Dbp	13170
Deaf1	1	Deaf1	54006
Dennd6b	1	Dennd6b	69440
Dpp10	1	Dpp10	269109
Extl1	1	Extl1	56219
Gm15337	1	Gm15337	100503620
Gm4524	1	Gm4524	100043571
Hdac7	1	Hdac7	56233
Kcnj9	1	Kcnj9	16524
Mamdc2	1	Mamdc2	71738
Nr1d1	1	Nr1d1	217166
Nr3c2	1	Nr3c2	110784
Olfr287	1	Olfr287	634104
Pou6f1	1	Pou6f1	19009
Rasgrf2	1	Rasgrf2	19418
Rpap3	1	Rpap3	71919
Sema4f	1	Sema4f	20355
Slc22a4	1	Slc22a4	30805
Slc6a15	1	Slc6a15	103098
Susd2	1	Susd2	71733
Tmem106c	1	Tmem106c	380967
Tmem209	1	Tmem209	72649
Tnfrsf8	1	Tnfrsf8	21941
Wscd1	1	Wscd1	216881
B4galt7	2	B4galt7	218271
Col6a3	2	Col6a3	12835
Ddn	2	Ddn	13199
Entrez:210541	2	NA	210541
Fam19a5	2	Fam19a5	106014
Fggy	2	Fggy	75578
Gsta4	2	Gsta4	14860
Mgat4b	2	Mgat4b	103534
Mxra7	2	Mxra7	67622
Nek6	2	Nek6	59126
Omp	2	Omp	18378
Otof	2	Otof	83762
Postn	2	Postn	50706
Rabl2	2	Rabl2	68708
Rgs16	2	Rgs16	19734
Rnf207	2	Rnf207	433809
Sec14l3	2	Sec14l3	380683
Sgpp2	2	Sgpp2	433323
Slc24a4	2	Slc24a4	238384
Tbc1d9b	2	Tbc1d9b	76795
Tef	2	Tef	21685
Tuba1c	2	Tuba1c	22146
1810041L15Rik	3	1810041L15Rik	72301
Acr	3	Acr	11434
Adcyap1	3	Adcyap1	11516
Atp6v0c	3	Atp6v0c	11984
Cbarp	3	Cbarp	100503659
Clstn3	3	Clstn3	232370
Cntn1	3	Cntn1	12805
Cttnbp2	3	Cttnbp2	30785
Ddit4l	3	Ddit4l	73284
Dusp10	3	Dusp10	63953
Dusp3	3	Dusp3	72349
Fxyd7	3	Fxyd7	57780
Gm2444	3	NA	100039826
Gng4	3	Gng4	14706
Gxylt1	3	Gxylt1	223827
Hmgcr	3	Hmgcr	15357
Jun	3	Jun	16476
Kcnk2	3	Kcnk2	16526
Kcnv1	3	Kcnv1	67498
Ldlr	3	Ldlr	16835
Map3k5	3	Map3k5	26408
Marcksl1	3	Marcksl1	17357
Mpp3	3	Mpp3	13384
Parvg	3	Parvg	64099
Phf21b	3	Phf21b	271305
R3hdm1	3	R3hdm1	226412
Rab3b	3	Rab3b	69908
Rasl10b	3	Rasl10b	276952
Reln	3	Reln	19699
Rgs4	3	Rgs4	19736
Rnd1	3	Rnd1	223881
Sema5a	3	Sema5a	20356
Setbp1	3	Setbp1	240427
Sfxn1	3	Sfxn1	14057
Slc7a11	3	Slc7a11	26570
Sox4	3	Sox4	20677
Stat4	3	Stat4	20849
Taf15	3	Taf15	70439
Trp53bp1	3	Trp53bp1	27223
Ugcg	3	Ugcg	22234
Zmynd19	3	Zmynd19	67187
Ablim2	4	Ablim2	231148
Aifm3	4	Aifm3	72168
Cfap100	4	Cfap100	243538
Dkk3	4	Dkk3	50781
Dnajc28	4	Dnajc28	246738
Elk1	4	Elk1	13712
Evc2	4	Evc2	68525
