	SYMBOL	ENTREZID
1	Rspo3	72780
2	Ntrk2	18212
3	Sema3a	20346
4	Pdyn	18610
5	Tspan11	68498
6	Ifrd1	15982
7	Kcnk1	16525
8	Serpinb8	20725
9	Jdp2	81703
10	Vip	22353
11	Gm11549	100503068
12	Myo1e	71602
13	Fosl2	14284
14	Maml3	433586
15	Stard8	236920
16	Egln1	112405
17	Lsm11	72290
18	Npas2	18143
19	B3gnt2	53625
20	Ptprj	19271
21	Syne1	64009
22	Fam81a	76886
23	Fst	14313
24	Jcad	240185
25	Moxd1	59012
26	Sorcs2	81840
27	Jun	16476
28	Rnd1	223881
29	Ddah1	69219
30	Atp6v0c	11984
31	Clstn3	232370
32	Krt80	74127
33	Scg2	20254
34	Nptx2	53324
35	Nedd9	18003
36	Nfil3	18030
37	Ncf1	17969
38	Plat	18791
39	Arrdc2	70807
40	Prickle1	106042
41	Ptgfrn	19221
43	Gxylt1	223827
44	Wnk4	69847
45	1810041L15Rik	72301
46	Fxyd7	57780
47	Parvg	64099
48	Ldlr	16835
49	Stat4	20849
50	Mpp3	13384
51	R3hdm1	226412
52	Trp53bp1	27223
53	Sfxn1	14057
54	Gng4	14706
55	Zmynd19	67187
56	Cbarp	100503659
57	Phf21b	271305
58	Marcksl1	17357
59	Slc7a11	26570
60	Cttnbp2	30785
61	Dusp10	63953
62	Kcnv1	67498
63	Ddit4l	73284
64	Kcnk2	16526
65	Reln	19699
66	Setbp1	240427
67	Adcyap1	11516
68	Map3k5	26408
69	Rab3b	69908
70	Rgs4	19736
71	Acr	11434
72	Cntn1	12805
73	Sema5a	20356
74	Hmgcr	15357
75	Dusp3	72349
76	Taf15	70439
77	Sox4	20677
78	Ugcg	22234
79	Tuba1c	22146
80	Cela1	109901
81	Olfr287	634104
82	Bhlhe41	79362
83	Dbp	13170
84	Nr1d1	217166
85	Tmem106c	380967
86	Rpap3	71919
87	Pou6f1	19009
88	Slc6a15	103098
89	Tmem209	72649
90	Gm15337	100503620
91	Bmp1	12153
92	Rasgrf2	19418
93	Col5a1	12831
94	Wscd1	216881
95	Tnfrsf8	21941
96	Susd2	71733
97	Cpne9	211232
98	Deaf1	54006
99	Hdac7	56233
100	Dennd6b	69440
101	Kcnj9	16524
102	Extl1	56219
103	Mamdc2	71738
104	Tbc1d9b	76795
105	Slc22a4	30805
106	Chia1	81600
107	Gsta4	14860
108	Rabl2	68708
109	Otof	83762
110	Col6a3	12835
111	Ddn	13199
112	Sertad3	170742
113	Abcd2	26874
114	Sgpp2	433323
115	B4galt7	218271
116	Rnf207	433809
117	Fggy	75578
118	Pphln1	223828
119	Medag	70717
120	Ablim2	231148
121	Evc2	68525
122	Tef	21685
123	Slc24a4	238384
124	Fam19a5	106014
125	Postn	50706
126	Vps13a	271564
127	Aifm3	72168
128	Per3	18628
129	Lrrk2	66725
130	Matn2	17181
131	Cfap100	243538
132	Psd3	234353
133	Hlf	217082
134	Elk1	13712
135	Stc1	20855
136	Prkab2	108097
137	Tub	22141
138	Stum	381310
139	Mapk11	19094
140	Itga11	319480
141	Tmem114	74720
142	Prss35	244954
143	Dnajc28	246738
144	Omp	18378
145	Sec14l3	380683
146	Mgat4b	103534
147	Rgs16	19734
149	Nek6	59126
