	SYMBOL	ENTREZID
1	Fxyd7	57780
2	1810041L15Rik	72301
3	Ldlr	16835
4	Stat4	20849
5	Mpp3	13384
6	R3hdm1	226412
7	Trp53bp1	27223
8	Tuba1c	22146
9	Cela1	109901
10	Olfr287	634104
11	Dbp	13170
12	Nr1d1	217166
13	Tmem106c	380967
14	Rpap3	71919
15	Pou6f1	19009
16	Slc6a15	103098
17	Tmem209	72649
18	Slc22a4	30805
19	Chia1	81600
20	Bmp1	12153
21	Rabl2	68708
22	Otof	83762
23	Ddn	13199
24	Gsta4	14860
25	Mamdc2	71738
26	Col5a1	12831
27	Wscd1	216881
28	Tnfrsf8	21941
29	Susd2	71733
30	Cpne9	211232
31	Deaf1	54006
32	Hdac7	56233
33	Dennd6b	69440
34	Kcnj9	16524
35	Extl1	56219
37	Nek6	59126
38	Sec14l3	380683
39	Mgat4b	103534
40	Rgs16	19734
41	Prss35	244954
42	Dnajc28	246738
43	Prkab2	108097
44	Tub	22141
45	Stum	381310
46	Mapk11	19094
47	Itga11	319480
48	Matn2	17181
49	Cfap100	243538
50	Hlf	217082
51	Elk1	13712
52	Stc1	20855
53	Col6a3	12835
54	Ablim2	231148
55	Evc2	68525
56	Rspo3	72780
57	Ntrk2	18212
58	Sema3a	20346
59	Pdyn	18610
60	Tspan11	68498
61	Dusp10	63953
62	Kcnv1	67498
63	Ddit4l	73284
64	Kcnk2	16526
65	Adcyap1	11516
66	Rgs4	19736
67	Ifrd1	15982
68	Kcnk1	16525
69	Serpinb8	20725
70	Jdp2	81703
71	Vip	22353
72	Gm11549	100503068
73	Myo1e	71602
74	Fosl2	14284
75	Maml3	433586
76	Ncf1	17969
77	Plat	18791
78	Arrdc2	70807
79	Stard8	236920
80	Egln1	112405
81	Lsm11	72290
82	Npas2	18143
83	B3gnt2	53625
84	Ptprj	19271
85	Syne1	64009
86	Fam81a	76886
87	Fst	14313
88	Jcad	240185
89	Moxd1	59012
90	Ddah1	69219
91	Krt80	74127
92	Scg2	20254
93	Nptx2	53324
95	Gxylt1	223827
96	Wnk4	69847
97	Map3k5	26408
98	Prickle1	106042
99	Ptgfrn	19221
