	ph1$kmeans$cluster	check	gene
Abcd2	1	Abcd2	26874
B4galt7	1	B4galt7	218271
Bhlhe41	1	Bhlhe41	79362
Bmp1	1	Bmp1	12153
Cela1	1	Cela1	109901
Chia1	1	Chia1	81600
Col5a1	1	Col5a1	12831
Cpne8	1	Cpne8	66871
Cpne9	1	Cpne9	211232
Dbp	1	Dbp	13170
Deaf1	1	Deaf1	54006
Dennd6b	1	Dennd6b	69440
Dpp10	1	Dpp10	269109
Extl1	1	Extl1	56219
Gm15337	1	Gm15337	100503620
Gm4524	1	Gm4524	100043571
Gsta4	1	Gsta4	14860
Hdac7	1	Hdac7	56233
Kcnj9	1	Kcnj9	16524
Mamdc2	1	Mamdc2	71738
Mxra7	1	Mxra7	67622
Nr1d1	1	Nr1d1	217166
Nr3c2	1	Nr3c2	110784
Olfr287	1	Olfr287	634104
Otof	1	Otof	83762
Pou6f1	1	Pou6f1	19009
Rabl2	1	Rabl2	68708
Rasgrf2	1	Rasgrf2	19418
Rnf207	1	Rnf207	433809
Rpap3	1	Rpap3	71919
Sema4f	1	Sema4f	20355
Sgpp2	1	Sgpp2	433323
Slc22a4	1	Slc22a4	30805
Slc6a15	1	Slc6a15	103098
Susd2	1	Susd2	71733
Tbc1d9b	1	Tbc1d9b	76795
Tmem106c	1	Tmem106c	380967
Tmem209	1	Tmem209	72649
Tnfrsf8	1	Tnfrsf8	21941
Tuba1c	1	Tuba1c	22146
Wscd1	1	Wscd1	216881
1810041L15Rik	2	1810041L15Rik	72301
Acr	2	Acr	11434
Adcyap1	2	Adcyap1	11516
Cntn1	2	Cntn1	12805
Cttnbp2	2	Cttnbp2	30785
Ddit4l	2	Ddit4l	73284
Dusp10	2	Dusp10	63953
Dusp3	2	Dusp3	72349
Fxyd7	2	Fxyd7	57780
Gng4	2	Gng4	14706
Hmgcr	2	Hmgcr	15357
Kcnk2	2	Kcnk2	16526
Kcnv1	2	Kcnv1	67498
Ldlr	2	Ldlr	16835
Marcksl1	2	Marcksl1	17357
Mpp3	2	Mpp3	13384
Parvg	2	Parvg	64099
Phf21b	2	Phf21b	271305
R3hdm1	2	R3hdm1	226412
Rab3b	2	Rab3b	69908
Reln	2	Reln	19699
Rgs4	2	Rgs4	19736
Sema5a	2	Sema5a	20356
Setbp1	2	Setbp1	240427
Sfxn1	2	Sfxn1	14057
Slc7a11	2	Slc7a11	26570
Sox4	2	Sox4	20677
Stat4	2	Stat4	20849
Taf15	2	Taf15	70439
Trp53bp1	2	Trp53bp1	27223
Ugcg	2	Ugcg	22234
Zmynd19	2	Zmynd19	67187
2010300C02Rik	3	2010300C02Rik	72097
Arrdc2	3	Arrdc2	70807
B3gnt2	3	B3gnt2	53625
Egln1	3	Egln1	112405
Epha10	3	Epha10	230735
Fosl2	3	Fosl2	14284
Fst	3	Fst	14313
Gm11549	3	Gm11549	100503068
Hspb8	3	Hspb8	80888
Ifrd1	3	Ifrd1	15982
Jcad	3	Jcad	240185
Jdp2	3	Jdp2	81703
Kcnk1	3	Kcnk1	16525
Kcnn2	3	Kcnn2	140492
Lsm11	3	Lsm11	72290
Maml3	3	Maml3	433586
Mast2	3	Mast2	17776
Myo1e	3	Myo1e	71602
Ncf1	3	Ncf1	17969
Nde1	3	Nde1	67203
Npas2	3	Npas2	18143
Nt5dc2	3	Nt5dc2	70021
Pdzd2	3	Pdzd2	68070
Plat	3	Plat	18791
Ptprj	3	Ptprj	19271
Rspo3	3	Rspo3	72780
Serpinb8	3	Serpinb8	20725
Spata2l	3	Spata2l	78779
Stard8	3	Stard8	236920
Syn3	3	Syn3	27204
Syne1	3	Syne1	64009
Vip	3	Vip	22353
Wipf3	3	Wipf3	330319
Ablim2	4	Ablim2	231148
Aifm3	4	Aifm3	72168
Cfap100	4	Cfap100	243538
Dkk3	4	Dkk3	50781
Elk1	4	Elk1	13712
Evc2	4	Evc2	68525
Fam19a5	4	Fam19a5	106014
Hlf	4	Hlf	217082
Itga11	4	Itga11	319480
Lrrk2	4	Lrrk2	66725
Mapk11	4	Mapk11	19094
Matn2	4	Matn2	17181
Medag	4	Medag	70717
Per3	4	Per3	18628
Postn	4	Postn	50706
Pphln1	4	Pphln1	223828
Prkab2	4	Prkab2	108097
Psd3	4	Psd3	234353
Psrc1	4	Psrc1	56742
Stc1	4	Stc1	20855
Stum	4	Stum	381310
Tef	4	Tef	21685
Tmem114	4	Tmem114	74720
Tub	4	Tub	22141
Vps13a	4	Vps13a	271564
Atp6v0c	5	Atp6v0c	11984
Cbarp	5	Cbarp	100503659
Clstn3	5	Clstn3	232370
Ddah1	5	Ddah1	69219
Fam81a	5	Fam81a	76886
Fat3	5	Fat3	270120
Gm2444	5	NA	100039826
Gxylt1	5	Gxylt1	223827
Jun	5	Jun	16476
Krt80	5	Krt80	74127
Map3k5	5	Map3k5	26408
Moxd1	5	Moxd1	59012
Nedd9	5	Nedd9	18003
