ba	check	gene
100039826	NA	NA
100503068	100503068	Gm11549
100503659	100503659	Cbarp
103098	103098	Slc6a15
103534	103534	Mgat4b
106042	106042	Prickle1
108097	108097	Prkab2
109901	109901	Cela1
112405	112405	Egln1
12835	12835	Col6a3
13087	13087	Cyp2a5
13108	13108	Cyp2g1
13170	13170	Dbp
13199	13199	Ddn
13384	13384	Mpp3
14057	14057	Sfxn1
14313	14313	Fst
14706	14706	Gng4
15357	15357	Hmgcr
15982	15982	Ifrd1
16524	16524	Kcnj9
16525	16525	Kcnk1
16526	16526	Kcnk2
170742	170742	Sertad3
17181	17181	Matn2
17357	17357	Marcksl1
17969	17969	Ncf1
18003	18003	Nedd9
18143	18143	Npas2
18212	18212	Ntrk2
18378	18378	Omp
18610	18610	Pdyn
19009	19009	Pou6f1
19094	19094	Mapk11
19221	19221	Ptgfrn
19271	19271	Ptprj
19699	19699	Reln
19734	19734	Rgs16
19736	19736	Rgs4
20346	20346	Sema3a
20725	20725	Serpinb8
210541	NA	NA
216881	216881	Wscd1
217166	217166	Nr1d1
218271	218271	B4galt7
22141	22141	Tub
22146	22146	Tuba1c
22353	22353	Vip
223827	223827	Gxylt1
223828	223828	Pphln1
226412	226412	R3hdm1
234353	234353	Psd3
236920	236920	Stard8
240185	240185	Jcad
240427	240427	Setbp1
243538	243538	Cfap100
244954	244954	Prss35
246738	246738	Dnajc28
26408	26408	Map3k5
26570	26570	Slc7a11
26874	26874	Abcd2
271305	271305	Phf21b
27223	27223	Trp53bp1
30785	30785	Cttnbp2
30805	30805	Slc22a4
319480	319480	Itga11
380683	380683	Sec14l3
380967	380967	Tmem106c
381310	381310	Stum
433323	433323	Sgpp2
433809	433809	Rnf207
53625	53625	B3gnt2
56219	56219	Extl1
56233	56233	Hdac7
57780	57780	Fxyd7
59126	59126	Nek6
634104	634104	Olfr287
63953	63953	Dusp10
64009	64009	Syne1
67187	67187	Zmynd19
67498	67498	Kcnv1
68498	68498	Tspan11
69847	69847	Wnk4
70717	70717	Medag
70807	70807	Arrdc2
71602	71602	Myo1e
71733	71733	Susd2
71919	71919	Rpap3
72290	72290	Lsm11
72649	72649	Tmem209
72780	72780	Rspo3
73284	73284	Ddit4l
74720	74720	Tmem114
75578	75578	Fggy
76886	76886	Fam81a
79362	79362	Bhlhe41
81600	81600	Chia1
81703	81703	Jdp2
