	ph1$kmeans$cluster	check	gene
Amigo2	1	Amigo2	105827
B3gnt2	1	B3gnt2	53625
Cbarp	1	Cbarp	100503659
Clstn3	1	Clstn3	232370
Col1a2	1	Col1a2	12843
Ddah1	1	Ddah1	69219
Fosl2	1	Fosl2	14284
Fst	1	Fst	14313
Gm11549	1	Gm11549	100503068
Gm2444	1	NA	100039826
Gxylt1	1	Gxylt1	223827
Ifrd1	1	Ifrd1	15982
Jcad	1	Jcad	240185
Jdp2	1	Jdp2	81703
Jun	1	Jun	16476
Kcnk1	1	Kcnk1	16525
Krt80	1	Krt80	74127
Lsm11	1	Lsm11	72290
Maml3	1	Maml3	433586
Ncf1	1	Ncf1	17969
Nedd9	1	Nedd9	18003
Nfil3	1	Nfil3	18030
Nptx2	1	Nptx2	53324
Ntrk2	1	Ntrk2	18212
Pdyn	1	Pdyn	18610
Poldip3	1	Poldip3	73826
Prickle1	1	Prickle1	106042
Ptprj	1	Ptprj	19271
Rpl41	1	Rpl41	67945
Sema3a	1	Sema3a	20346
Sorcs2	1	Sorcs2	81840
Spry4	1	Spry4	24066
Stard8	1	Stard8	236920
Syne1	1	Syne1	64009
Syt12	1	Syt12	171180
Tspan11	1	Tspan11	68498
Vip	1	Vip	22353
Wnk4	1	Wnk4	69847
Zbtb21	1	Zbtb21	114565
Zfp651	1	Zfp651	270210
Abcd2	2	Abcd2	26874
Amz1	2	Amz1	231842
Bhlhe41	2	Bhlhe41	79362
Bmp1	2	Bmp1	12153
Capn5	2	Capn5	12337
Cela1	2	Cela1	109901
Chia1	2	Chia1	81600
Cpne9	2	Cpne9	211232
Creg2	2	Creg2	263764
Deaf1	2	Deaf1	54006
Dennd6b	2	Dennd6b	69440
Extl1	2	Extl1	56219
Fggy	2	Fggy	75578
Flnb	2	Flnb	286940
Gm15337	2	Gm15337	100503620
Gsta4	2	Gsta4	14860
Hdac7	2	Hdac7	56233
Kcnj9	2	Kcnj9	16524
Kifc2	2	Kifc2	16581
Lmbrd2	2	Lmbrd2	320506
Mapk1	2	Mapk1	26413
Mapk3	2	Mapk3	26417
Mttp	2	Mttp	17777
Nenf	2	Nenf	66208
Nr1d1	2	Nr1d1	217166
Olfr287	2	Olfr287	634104
Otof	2	Otof	83762
Plekha6	2	Plekha6	240753
Plxnb2	2	Plxnb2	140570
Pou6f1	2	Pou6f1	19009
Rabl2	2	Rabl2	68708
Rapgefl1	2	Rapgefl1	268480
Rasgrf2	2	Rasgrf2	19418
Rpap3	2	Rpap3	71919
Rpl29	2	Rpl29	19944
Sgpp2	2	Sgpp2	433323
Slc22a4	2	Slc22a4	30805
Slc6a15	2	Slc6a15	103098
Susd2	2	Susd2	71733
Syt7	2	Syt7	54525
Sytl1	2	Sytl1	269589
Tmem106c	2	Tmem106c	380967
Tnfrsf8	2	Tnfrsf8	21941
Tuba1c	2	Tuba1c	22146
Wscd1	2	Wscd1	216881
Ablim2	3	Ablim2	231148
Aifm3	3	Aifm3	72168
Ccbe1	3	Ccbe1	320924
Ccdc92	3	Ccdc92	215707
Cfap100	3	Cfap100	243538
Ddn	3	Ddn	13199
Dnajc28	3	Dnajc28	246738
Echdc2	3	Echdc2	52430
Elk1	3	Elk1	13712
Glt8d2	3	Glt8d2	74782
Gm7984	3	Gm7984	666211
Gprin1	3	Gprin1	26913
Gsg1l	3	Gsg1l	269994
Hlf	3	Hlf	217082
Hrk	3	Hrk	12123
Islr2	3	Islr2	320563
Itga11	3	Itga11	319480
Jmy	3	Jmy	57748
Lrrk2	3	Lrrk2	66725
Mapk11	3	Mapk11	19094
Matn2	3	Matn2	17181
Medag	3	Medag	70717
Mgat4b	3	Mgat4b	103534
Nek6	3	Nek6	59126
Nptx1	3	Nptx1	18164
Per3	3	Per3	18628
Pkd1l2	3	Pkd1l2	76645
Plch2	3	Plch2	269615
Postn	3	Postn	50706
Pphln1	3	Pphln1	223828
Prkab2	3	Prkab2	108097
Prrt2	3	Prrt2	69017
Prss35	3	Prss35	244954
Psd3	3	Psd3	234353
Pwwp2b	3	Pwwp2b	101631
Rap1gap2	3	Rap1gap2	380711
Rgs16	3	Rgs16	19734
Rnf207	3	Rnf207	433809
Ryr1	3	Ryr1	20190
Slc24a4	3	Slc24a4	238384
Smarca2	3	Smarca2	67155
Stum	3	Stum	381310
Syt17	3	Syt17	110058
Tbc1d9b	3	Tbc1d9b	76795
Tef	3	Tef	21685
Tmem114	3	Tmem114	74720
Tub	3	Tub	22141
Wipf2	3	Wipf2	68524
Zfp831	3	Zfp831	100043757
1810041L15Rik	4	1810041L15Rik	72301
Acr	4	Acr	11434
Adcyap1	4	Adcyap1	11516
AI593442	4	AI593442	330941
Ano6	4	Ano6	105722
Atp6v0c	4	Atp6v0c	11984
BC006965	4	BC006965	217294
Cntn1	4	Cntn1	12805
Cttnbp2	4	Cttnbp2	30785
Ddit4l	4	Ddit4l	73284
Diras2	4	Diras2	68203
Dusp10	4	Dusp10	63953
Dusp3	4	Dusp3	72349
Fabp7	4	Fabp7	12140
Fxyd7	4	Fxyd7	57780
Gng4	4	Gng4	14706
Hdac9	4	Hdac9	79221
Hmgcr	4	Hmgcr	15357
Insig1	4	Insig1	231070
Kcnk2	4	Kcnk2	16526
Kcnv1	4	Kcnv1	67498
Ldlr	4	Ldlr	16835
Map3k5	4	Map3k5	26408
Map3k9	4	Map3k9	338372
Mpp3	4	Mpp3	13384
Parvg	4	Parvg	64099
Phf21b	4	Phf21b	271305
Ppme1	4	Ppme1	72590
R3hdm1	4	R3hdm1	226412
Rab3b	4	Rab3b	69908
Reln	4	Reln	19699
Rgs4	4	Rgs4	19736
Rnd1	4	Rnd1	223881
Sema5a	4	Sema5a	20356
