	ph1$kmeans$cluster	check	gene
Amigo2	1	Amigo2	105827
B3gnt2	1	B3gnt2	53625
Cbarp	1	Cbarp	100503659
Clstn3	1	Clstn3	232370
Col1a2	1	Col1a2	12843
Ddah1	1	Ddah1	69219
Fosl2	1	Fosl2	14284
Fst	1	Fst	14313
Gm11549	1	Gm11549	100503068
Gm2444	1	NA	100039826
Gxylt1	1	Gxylt1	223827
Ifrd1	1	Ifrd1	15982
Jcad	1	Jcad	240185
Jdp2	1	Jdp2	81703
Jun	1	Jun	16476
Kcnk1	1	Kcnk1	16525
Krt80	1	Krt80	74127
Lsm11	1	Lsm11	72290
Maml3	1	Maml3	433586
Ncf1	1	Ncf1	17969
Nedd9	1	Nedd9	18003
Nfil3	1	Nfil3	18030
Nptx2	1	Nptx2	53324
Ntrk2	1	Ntrk2	18212
Pdyn	1	Pdyn	18610
Poldip3	1	Poldip3	73826
Prickle1	1	Prickle1	106042
Ptprj	1	Ptprj	19271
Rpl41	1	Rpl41	67945
Sema3a	1	Sema3a	20346
Sorcs2	1	Sorcs2	81840
Spry4	1	Spry4	24066
Stard8	1	Stard8	236920
Syne1	1	Syne1	64009
Syt12	1	Syt12	171180
Tspan11	1	Tspan11	68498
Vip	1	Vip	22353
Wnk4	1	Wnk4	69847
Zbtb21	1	Zbtb21	114565
Zfp651	1	Zfp651	270210
1810041L15Rik	2	1810041L15Rik	72301
Acr	2	Acr	11434
Adcyap1	2	Adcyap1	11516
AI593442	2	AI593442	330941
Ano6	2	Ano6	105722
Atp6v0c	2	Atp6v0c	11984
BC006965	2	BC006965	217294
Cntn1	2	Cntn1	12805
Cttnbp2	2	Cttnbp2	30785
Ddit4l	2	Ddit4l	73284
Diras2	2	Diras2	68203
Dusp10	2	Dusp10	63953
Dusp3	2	Dusp3	72349
Fabp7	2	Fabp7	12140
Fxyd7	2	Fxyd7	57780
Gng4	2	Gng4	14706
Hdac9	2	Hdac9	79221
Hmgcr	2	Hmgcr	15357
Insig1	2	Insig1	231070
Kcnk2	2	Kcnk2	16526
Kcnv1	2	Kcnv1	67498
Ldlr	2	Ldlr	16835
Map3k5	2	Map3k5	26408
Map3k9	2	Map3k9	338372
Mpp3	2	Mpp3	13384
Parvg	2	Parvg	64099
Phf21b	2	Phf21b	271305
Ppme1	2	Ppme1	72590
R3hdm1	2	R3hdm1	226412
Rab3b	2	Rab3b	69908
Reln	2	Reln	19699
Rgs4	2	Rgs4	19736
Rnd1	2	Rnd1	223881
Sema5a	2	Sema5a	20356
Setbp1	2	Setbp1	240427
Sfxn1	2	Sfxn1	14057
Slc6a13	2	Slc6a13	14412
Slc7a11	2	Slc7a11	26570
Sox4	2	Sox4	20677
Sst	2	Sst	20604
Stat4	2	Stat4	20849
Taf15	2	Taf15	70439
Trp53bp1	2	Trp53bp1	27223
Zmynd19	2	Zmynd19	67187
Abcd2	3	Abcd2	26874
Amz1	3	Amz1	231842
Bhlhe41	3	Bhlhe41	79362
Bmp1	3	Bmp1	12153
Capn5	3	Capn5	12337
Cela1	3	Cela1	109901
Chia1	3	Chia1	81600
Cpne9	3	Cpne9	211232
Creg2	3	Creg2	263764
Deaf1	3	Deaf1	54006
Dennd6b	3	Dennd6b	69440
Extl1	3	Extl1	56219
Fggy	3	Fggy	75578
Flnb	3	Flnb	286940
Gm15337	3	Gm15337	100503620
Gsta4	3	Gsta4	14860
Hdac7	3	Hdac7	56233
Kcnj9	3	Kcnj9	16524
Kifc2	3	Kifc2	16581
Lmbrd2	3	Lmbrd2	320506
Mapk1	3	Mapk1	26413
Mapk3	3	Mapk3	26417
Mttp	3	Mttp	17777
Nenf	3	Nenf	66208
Nr1d1	3	Nr1d1	217166
Olfr287	3	Olfr287	634104
Otof	3	Otof	83762
Plekha6	3	Plekha6	240753
Plxnb2	3	Plxnb2	140570
Pou6f1	3	Pou6f1	19009
Rabl2	3	Rabl2	68708
Rapgefl1	3	Rapgefl1	268480
Rasgrf2	3	Rasgrf2	19418
Rpap3	3	Rpap3	71919
Rpl29	3	Rpl29	19944
Sgpp2	3	Sgpp2	433323
Slc22a4	3	Slc22a4	30805
Slc6a15	3	Slc6a15	103098
Susd2	3	Susd2	71733
Syt7	3	Syt7	54525
Sytl1	3	Sytl1	269589
Tmem106c	3	Tmem106c	380967
Tnfrsf8	3	Tnfrsf8	21941
Tuba1c	3	Tuba1c	22146
Wscd1	3	Wscd1	216881
Ablim2	4	Ablim2	231148
Aifm3	4	Aifm3	72168
Ccbe1	4	Ccbe1	320924
Ccdc92	4	Ccdc92	215707
Cfap100	4	Cfap100	243538
Ddn	4	Ddn	13199
Dnajc28	4	Dnajc28	246738
Echdc2	4	Echdc2	52430
Elk1	4	Elk1	13712
Glt8d2	4	Glt8d2	74782
Gm7984	4	Gm7984	666211
Gprin1	4	Gprin1	26913
Gsg1l	4	Gsg1l	269994
Hlf	4	Hlf	217082
Hrk	4	Hrk	12123
Islr2	4	Islr2	320563
Itga11	4	Itga11	319480
Jmy	4	Jmy	57748
Lrrk2	4	Lrrk2	66725
Mapk11	4	Mapk11	19094
Matn2	4	Matn2	17181
Medag	4	Medag	70717
Mgat4b	4	Mgat4b	103534
Nek6	4	Nek6	59126
Nptx1	4	Nptx1	18164
Per3	4	Per3	18628
Pkd1l2	4	Pkd1l2	76645
Plch2	4	Plch2	269615
Postn	4	Postn	50706
Pphln1	4	Pphln1	223828
Prkab2	4	Prkab2	108097
Prrt2	4	Prrt2	69017
Prss35	4	Prss35	244954
Psd3	4	Psd3	234353
Pwwp2b	4	Pwwp2b	101631
Rap1gap2	4	Rap1gap2	380711
Rgs16	4	Rgs16	19734
Rnf207	4	Rnf207	433809
Ryr1	4	Ryr1	20190
