	SYMBOL	ENTREZID
1	Jmy	57748
2	Mgat4b	103534
3	Gprin1	26913
4	Nek6	59126
5	Gm7984	666211
6	Fggy	75578
7	Mapk1	26413
8	Tuba1c	22146
9	Olfr287	634104
10	Plekha6	240753
11	Syt7	54525
12	Slc22a4	30805
13	Chia1	81600
14	Rpl29	19944
15	Sytl1	269589
16	Postn	50706
17	Ryr1	20190
18	Plxnb2	140570
19	Bmp1	12153
20	Otof	83762
21	Atp6v0c	11984
22	Taf15	70439
23	Zbtb21	114565
24	Jun	16476
25	Rnd1	223881
26	Gng4	14706
27	Pdyn	18610
28	Zmynd19	67187
29	Slc6a13	14412
30	Cttnbp2	30785
31	Dusp10	63953
32	Sema3a	20346
33	Reln	19699
34	Slc7a11	26570
35	Rpl41	67945
36	Ano6	105722
37	Ddit4l	73284
38	Sfxn1	14057
39	Kcnv1	67498
