	KOSD5	WTSD5	logFC	logCPM	F	PValue	FDR
68708	971.2	926.2	-0.378697523192018	5.00687736844254	65.6668223468671	2.65204434041984e-08	0.000383326488964284
11434	119.4	45	0.931842960451771	1.87120018725038	44.4382667314307	7.04203982253355e-07	0.00234847884332692
69440	2282.6	2042.4	-0.28268057047269	6.38923858275181	44.7933036062928	8.08030506868249e-07	0.00234847884332692
66725	2229.4	2227	-0.311106344455382	5.97128409803895	46.4891840035092	8.32505057948603e-07	0.00234847884332692
223827	768.2	490.2	0.307513554673927	4.26138635592629	42.4648653299421	1.00593443009791e-06	0.00234847884332692
73284	1052.6	595	0.366955147656464	4.77031478522628	42.8877967989453	1.05013493932168e-06	0.00234847884332692
14313	180.2	79.2	0.834107088906978	1.61818164173665	42.4249680727973	1.13735657280257e-06	0.00234847884332692
217082	7984	6807.6	-0.181789966921567	7.81723063920619	39.3607225435571	1.80331534408564e-06	0.00325813999792673
20604	5699.6	3561.4	0.264784454847273	7.29136108762009	40.8877061134587	2.37663820275928e-06	0.00365218916649299
634104	5.6	58.2	-3.84894608368503	0.248820719018677	60.2753180650443	2.52676710010585e-06	0.00365218916649299
380967	501.8	498.2	-0.454991576163652	4.24344187540311	39.7794241654975	2.93582987102519e-06	0.00372073137821987
20346	1090.2	707.8	0.253762419346229	4.76603572645821	36.6316051090267	3.08902563571596e-06	0.00372073137821987
17181	1754	1549.2	-0.259075759300643	5.47133541697617	34.0196480708332	5.3761389045027e-06	0.005977439363514
238384	1204.6	1066.2	-0.243245009044124	5.12825701428343	33.5234023416473	5.88521321447729e-06	0.00607606227157534
108097	2616.2	2227	-0.179396736916797	6.15243965740576	32.8780674603592	6.75868829022793e-06	0.00651267203646364
13108	0.6	35.8	-5.16548655470359	-1.69840371363054	34.6241793317635	7.27071631730015e-06	0.00656818335314102
223828	1138.4	1019	-0.238417574868745	5.05453021504404	29.8555436091893	1.32191352189419e-05	0.0107475426743597
19009	3996	3632.6	-0.297481745100228	7.0994277790364	35.4925899258399	1.33842374525028e-05	0.0107475426743597
16524	5425.8	4427	-0.143443434712356	7.42051652534655	29.5456583278909	1.41918508777152e-05	0.0107962638203419
103098	1343	1132.8	-0.181350796398558	5.45034957171165	28.6309793414873	1.75454784820293e-05	0.0113125132322656
74720	55.2	62.4	-0.729195517168383	0.888643968383482	28.5767447644622	1.77697216675378e-05	0.0113125132322656
56233	1324.2	1140.2	-0.236886292673025	5.56192205681249	28.5325723970204	1.79546602838752e-05	0.0113125132322656
240185	7587.6	5132.6	0.173693667794044	7.56872867728485	28.5215594614591	1.80010934234197e-05	0.0113125132322656
100039826	437.2	232.4	0.473745897142344	3.38118184503965	29.6149398379243	1.93647402532564e-05	0.0114478351509979
103534	1675.8	1378.2	-0.188594924396197	5.64171443501962	28.1170188458486	1.98004620710494e-05	0.0114478351509979
226412	19156	13245.6	0.139661389431838	9.08390727702223	27.8605398255941	2.10418611905423e-05	0.0116724196344887
56219	2820	2299.2	-0.163004036232185	6.4954811578738	27.7110867364425	2.18040217331669e-05	0.0116724196344887
211232	2967	2484.2	-0.17198799041384	6.60168884154121	27.4396160094111	2.32662340910052e-05	0.0120087034240504
19699	3526.6	2316.8	0.231421331254283	6.5433250995012	28.636140688055	2.40938424863334e-05	0.0120087034240504
236920	2674.8	1717.8	0.171274336011506	6.03069562189263	26.3367955510945	3.040087207918e-05	0.0146471401677489
71919	675.2	612.2	-0.260840470369621	4.50244110395382	25.9293059309114	3.3611779414498e-05	0.0154572630643674
217166	5333	4393.4	-0.186288229999239	7.4533894107953	26.0161251411001	3.42211441856757e-05	0.0154572630643674
19094	3680.8	3098.4	-0.192678157452256	6.60607053550037	25.2960215375144	3.99704702566133e-05	0.0171838917474776
320563	4462.8	3593.2	-0.174314577837213	6.74514584038838	25.1896974244331	4.0421497122889e-05	0.0171838917474776
68498	233.8	117	0.501874596770847	2.42019224967418	24.4265496968244	4.90501090607736e-05	0.020256293610412
64009	27534.2	18981.2	0.184775854967885	9.37278469908917	25.3879773105394	5.33148300163789e-05	0.0212350625951048
21685	12617.6	10697	-0.189325756422797	8.54059242121605	25.2900320727185	5.43584693523508e-05	0.0212350625951048
18628	2193.6	1972.8	-0.230026910813914	5.98221151860651	24.7710894530523	5.98269241825485e-05	0.0227562726877515
72290	2282.4	1385.8	0.226125198460393	5.59103321646084	23.8580997255321	6.37604970504517e-05	0.0228464105203547
69847	322.4	185.6	0.432049196689213	2.8862885969643	23.4366517709535	6.39654036655794e-05	0.0228464105203547
234353	18675.6	16018.8	-0.115783699484368	9.0546515517757	23.2984822158283	6.56863395221606e-05	0.0228464105203547
18378	14.6	46.4	-1.61117431364061	-0.599822790019193	24.1774847329178	6.63864149615953e-05	0.0228464105203547
22146	603	623.4	-0.560859311915477	4.40675602574132	30.6293873464763	6.98999231271932e-05	0.0234961276483826
381310	17769.2	14167.8	-0.12247418886018	8.94246975384638	22.8842996319134	7.32587356293027e-05	0.0240654946542259
53625	1076.8	693.2	0.199557849864858	4.68840081354253	22.6936486226126	7.70587658953916e-05	0.0247512756055998
15357	5428	3575.4	0.17422059168988	7.24874859427866	22.5274723529365	8.16361064636312e-05	0.0253035509266589
22353	2664	1733.6	0.191667688086406	5.99434933137854	22.3457031629372	8.45579376666496e-05	0.0253035509266589
109901	7.6	33.2	-2.53529460250608	0.141566355286529	28.9215120224243	8.56543135357155e-05	0.0253035509266589
13384	1877.4	1253.4	0.135276626421593	5.72696284324539	22.232718567682	8.71607967541322e-05	0.0253035509266589
100503659	8937	5841	0.127226786842817	7.90897318476296	22.1673311661627	8.87068258170642e-05	0.0253035509266589
12805	16182	11062.8	0.14248335123077	8.7932404924572	22.1199911367673	8.98447314812393e-05	0.0253035509266589
19734	357.2	336.4	-0.315914976657838	3.41629951696751	22.0712641869324	9.10325617950922e-05	0.0253035509266589
18003	581.2	370.4	0.263344050087394	3.72900516470337	21.883418388093	9.57740128605733e-05	0.0261191996582401
83762	1752.2	1621.2	-0.296522178895116	5.87637057463222	24.7918624599029	0.000114764991572902	0.0303395041357417
