	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	61.4	124.8	-0.104190106365201	1.32193412474597	0.709079654385003	0.408123433892288	0.541107454747975	NA	NA
100009600	35.6	37.8	0.907888669758218	0.0367429404802491	15.1936366210741	0.000724181463774636	0.00352434979036989	100009600	Zglp1
100017	68.2	139.6	-0.0354745197721093	1.45644395990686	0.0845601396289952	0.773726664200335	0.848902778529805	100017	Ldlrap1
100019	2237.6	3321.2	0.19842955209171	6.20352060595857	14.3986763210144	0.00112860514371588	0.00503017537689466	100019	Mdn1
100034361	152.6	260.8	0.0505084978497102	2.50279602648568	0.288122207315148	0.596404022967889	0.708419222150803	100034361	Mfap1b
100034726	1249	2340.2	-0.00232834403863185	5.54226764324425	0.00244440028059212	0.960980119939101	0.975617752394584	NA	NA
100036521	859.4	1692.4	-0.0820763601169775	5.08040393141074	3.51483505547242	0.0731335058975518	0.143526844549634	100036521	Umad1
100036768	49	118.2	-0.279537610563763	1.12394280086192	4.2502713336019	0.0503167883276009	0.107490224429078	NA	NA
100037258	2158	2520.6	0.600751928684828	6.04434394459423	208.171853644963	2.8567848961147e-13	1.25127178449824e-10	100037258	Dnajc3
100037262	58.6	86	0.129849978078191	0.968892878189742	0.794916079087251	0.381534402713369	0.51486306197545	NA	NA
100037278	80.8	94.2	0.808241780920695	1.26506531138881	33.1490519350518	6.37586541793432e-06	7.37557084740424e-05	100037278	Fam129c
100037282	141.2	296	-0.0870347565699017	2.47494320961905	0.796758431649454	0.380992165361683	0.514275378981861	100037282	Rsph3b
100037283	32.4	82.2	-0.450012310255835	0.659009351769872	4.91324362640647	0.0368555167806066	0.0838780726731046	100037283	Rnaset2a
100037396	308.6	531.6	0.172869367348189	3.50257896857367	6.34217525557924	0.0189221609083091	0.0489355723329218	NA	NA
100038347	1015.8	1732	0.182346461568336	5.18107653611592	8.38380231566106	0.00898660121907619	0.0270709357760923	100038347	Fam174b
100038356	104.8	288.4	-0.618902984722307	2.33761695150376	31.2244104696765	9.70927164717708e-06	0.0001030380414011	NA	NA
100038392	43.4	72.2	0.0705960576807679	0.662908276783346	0.239490165961834	0.629050147372246	0.735324773968333	NA	NA
100038411	32.2	71.6	-0.154851209573891	0.505879809342018	0.551228703710363	0.465431374639382	0.594708724278432	NA	NA
100038416	30.8	91	-0.590701291503109	0.657659593271316	17.1506657358987	0.00037300480382874	0.00206805195034162	NA	NA
100038453	39	87.8	-0.256289421254925	0.65164298847294	2.52456788422615	0.125269695844637	0.219259891467472	NA	NA
100038486	76	191.2	-0.369409886390403	1.86218808505192	9.12361727662997	0.00594023523513786	0.019233906829902	NA	NA
100038526	184.2	363.4	-0.0403182080828953	2.81305004992971	0.272128170772262	0.606723989099817	0.717289480481291	NA	NA
100038538	88.8	142	0.0839407603445939	1.56671865218177	0.637358347967157	0.432555653277694	0.564784048100794	100038538	Gm10767
100038570	46.4	113.2	-0.186817061924447	1.00578019080468	1.30652245278836	0.264382015249266	0.389936494736009	100038570	Prcd
100038575	195.8	307.6	0.160177815602881	2.68092101294732	2.34105111927689	0.139697423630543	0.239438700480952	NA	NA
100038577	33.4	100.4	-0.699703494528807	0.837691179671214	18.0447146206053	0.000284870594180381	0.00164700782731329	NA	NA
100038591	62.6	107.4	0.174457368842136	1.15664544041677	1.9472743328023	0.175753045858056	0.284471951269018	NA	NA
100038605	108.4	247.8	-0.348639925529654	2.20573567103685	12.6140197027559	0.00163439500076136	0.00678252809101484	NA	NA
