	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
330319	5154.2	5408.6	0.840945363211221	7.23977852242812	494.231113723415	1.9391542121023e-17	2.80285349817266e-13
56213	4589.8	5002.6	0.836131975050391	7.1442081422278	458.135843381086	4.59152143173376e-17	3.31829253871399e-13
320563	3593.2	4142	0.793954030021641	6.74514584038838	430.494347999586	9.29265122184009e-17	4.47719935868256e-13
67451	331.8	210.8	1.58369034573253	2.98942069374183	412.231778950613	1.51654056073899e-16	5.48001931623034e-13
225870	3000.2	3635.2	0.708847831587468	6.53256967166888	323.0007763894	2.33495217505656e-15	6.74987974765351e-12
108682	1990.2	2217.2	0.778637943476797	5.94291608572178	317.055235542226	2.8707063959337e-15	6.91553170780429e-12
20887	506.2	290.6	1.64449282536866	3.66903227290055	348.992790103091	7.96493668925271e-15	1.52256000465684e-11
106878	260.2	144.2	1.85821111870439	2.66365079821236	300.544480810072	8.42706519804536e-15	1.52256000465684e-11
13803	38526.4	52753	0.437581802004314	10.309794088379	279.256925082254	1.16917062219353e-14	1.8776880192428e-11
68070	3968.6	4825.8	0.636651701817312	7.01265783401339	270.698103276824	1.64651757863664e-14	2.3798765081614e-11
22350	2581.2	3067.6	0.652998731198123	6.33514929406156	267.267571730492	1.89401994458477e-14	2.48874220718439e-11
50794	6322.6	8552.2	0.531890920492462	7.69467024164883	264.078199492441	2.16060880201889e-14	2.50703864296909e-11
226115	138	656.6	-1.36093897840608	3.26068620908779	263.051825763544	2.25484311322805e-14	2.50703864296909e-11
17289	1447.4	1592.2	0.782227119129452	5.44288942741145	254.808371133635	3.19510519788581e-14	3.10260715136419e-11
76295	2728.8	7016.8	-0.586576938910197	6.92997868186538	254.628924113721	3.21980816870505e-14	3.10260715136419e-11
21946	194.2	150	1.42548006091397	2.33007988402448	248.694152163878	4.165710421046e-14	3.64874488621211e-11
14623	2144.2	2059	0.973838422568315	5.98537499305246	332.269019544676	4.688667924773e-14	3.64874488621211e-11
216892	2476.4	2923.8	0.70284094052153	6.27410877248217	253.910800893127	4.73001892421139e-14	3.64874488621211e-11
228880	6689	8640.6	0.530245186829333	7.74145594191156	245.500020046091	4.79632993206241e-14	3.64874488621211e-11
24066	479.4	489.6	0.967131351062346	3.86693877670541	243.740772887408	5.18727820890535e-14	3.7488459615759e-11
329910	1219.6	1446	0.702343826198024	5.27965732511654	241.851321259423	5.64598622676639e-14	3.88605166293721e-11
433904	2818.4	3579.8	0.541564072892801	6.48969447644253	235.929396027137	7.39274480899052e-14	4.85703333950677e-11
69635	5461	7681.4	0.449111181726714	7.47584000049861	231.349254065761	9.14534212631262e-14	5.73669987037539e-11
20971	1297	1246	0.948155285231589	5.22225482280089	271.927600062063	9.52544602802057e-14	5.73669987037539e-11
108100	12246.8	17598.8	0.465489490315113	8.6587066543595	227.678159827005	1.08759387462312e-13	6.24337238627456e-11
17181	1549.2	1831.4	0.732319440373813	5.47133541697617	228.444590772993	1.1230640794461e-13	6.24337238627456e-11
11501	306.8	269.8	1.1599993108185	3.02395323168321	217.630632895185	1.77113277430286e-13	9.48146411843466e-11
232087	5727.4	7622.8	0.429230334611222	7.548511666074	214.345874219153	2.08647323829133e-13	1.07706729236653e-10
213119	329.8	285.2	1.12091323778926	3.19150863753705	211.358491233385	2.4265741198601e-13	1.16713829121413e-10
18164	17898.2	24206.6	0.487089087547568	9.16876605638524	211.255315769827	2.43934627181301e-13	1.16713829121413e-10
228608	1270.2	1536.4	0.708843835902451	5.31661734072402	210.748109029921	2.50320236803915e-13	1.16713829121413e-10
231070	1156	3059.8	-0.496288500713722	5.79593738346813	208.639492064625	2.78878029894368e-13	1.25127178450147e-10
100037258	2158	2520.6	0.600751928684828	6.04434394459422	208.171853644973	2.85678489612207e-13	1.25127178450147e-10
22228	574.4	539.4	1.12479656576506	4.0970754009004	229.681580764652	3.2569275979514e-13	1.34772579236213e-10
328232	5938	7090	0.630051186513122	7.52808633374577	227.789768555655	3.26348434569494e-13	1.34772579236213e-10
