	KOHC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	224.6	216	0.0627352471902987	1.32193412474597	0.389661445561688	0.538409661671191	0.917697711588971	NA	NA
100009600	33.2	37.6	-0.153380318624722	0.0367429404802465	0.492640920442895	0.489790791639815	0.904835902653616	100009600	Zglp1
100017	19.6	19	0.0378029185914589	1.45644395990686	0.142987466553552	0.708677320702344	0.961639196217642	100017	Ldlrap1
100019	362.2	369.8	-0.0255118402131073	6.20352060595856	0.303679954203217	0.58765795183016	0.932996222062747	100019	Mdn1
100034361	110.4	102	0.0987176111136834	2.50279602648568	1.55559697291905	0.224433197596977	0.794188047718914	100034361	Mfap1b
100034726	732.8	746.2	-0.0274926288268844	5.54226764324425	0.449034394283682	0.509237606521845	0.911099509515681	NA	NA
100036521	2003.6	1922	0.0586917163199263	5.08040393141074	2.41417913154611	0.133425780016023	0.705226288729128	100036521	Umad1
100036768	85.2	89.8	-0.069388753521135	1.12394280086192	0.409197695884677	0.528480969110786	0.915629710657702	NA	NA
100037258	2122.4	2086.4	0.0247889611156836	6.04434394459423	0.438114812201773	0.514385706500292	0.911966094261903	100037258	Dnajc3
100037262	45	44.2	0.0219415910296278	0.968892878189742	0.0313205070052131	0.861023193466701	0.983044676274043	NA	NA
100037278	44.2	45.6	-0.0372818321210684	1.26506531138881	0.084312294418494	0.774048919037001	0.976156712895263	100037278	Fam129c
100037282	129.4	136.8	-0.0782259258899542	2.47494320961905	0.912408083972914	0.349068954136721	0.854264280415706	100037282	Rsph3b
100037283	471.6	471.4	0.0141116941360844	0.659009351769874	0.00788776931924329	0.930001942106222	0.99327159223953	100037283	Rnaset2a
100037396	401.4	388.8	0.0504561970078457	3.50257896857367	0.729707381631135	0.401486327945375	0.874638616283768	NA	NA
100038347	2149.6	2242.6	-0.0562966573427808	5.18107653611592	1.03066991004273	0.32220953069377	0.847544646283444	100038347	Fam174b
100038356	391	415.6	-0.0785890581351635	2.33761695150376	0.790040608320148	0.382974818690574	0.867294451664662	NA	NA
100038392	64.2	66	-0.0605432641463008	0.662908276783346	0.244720974565825	0.625348242311229	0.9422639246566	NA	NA
100038411	123.8	111	0.119869547841964	0.505879809342018	0.53014255652878	0.473992660925019	0.901933902186707	NA	NA
100038416	85.4	96	-0.151470148087395	0.657659593271316	1.90757772861075	0.180051173587423	0.760705673380169	NA	NA
100038453	72.6	86.2	-0.221017876794299	0.65164298847294	2.81882683381081	0.106234599732669	0.674951606389452	NA	NA
100038486	41.2	39.2	0.0908502495491775	1.86218808505193	0.865296101016946	0.361591426343337	0.858547904628452	NA	NA
100038526	151.8	163.4	-0.108759904463922	2.81305004992971	2.77408866305567	0.108898251050493	0.678296146050111	NA	NA
100038538	25.8	29.8	-0.179836843574012	1.56671865218177	3.91197696336224	0.0596213844668262	0.585439871659991	100038538	Gm10767
100038570	70	89	-0.303005195562436	1.00578019080468	5.05944020472288	0.0340101552216026	0.503574421248723	100038570	Prcd
100038575	65.2	70.6	-0.108411505470622	2.68092101294731	1.39688681581666	0.249369345223879	0.809809513256719	NA	NA
100038577	99	99.4	-0.00475037551380662	0.837691179671217	0.00148172390384279	0.969615227183392	0.996221436102282	NA	NA
100038591	108.8	111.4	-0.0299768269589221	1.15664544041677	0.0801677823627456	0.779515888358492	0.976156712895263	NA	NA
100038605	64	67	-0.0599669487088651	2.20573567103685	0.562998013970654	0.46040157310611	0.896775821969715	NA	NA
100038614	5.8	7.2	-0.258650950679758	1.19046832971672	7.38787540771597	0.012043763570981	0.396703153671439	NA	NA
100038647	6.4	6	0.0770735538801242	1.03795483477802	0.301317641036958	0.588165832203658	0.932996222062747	NA	NA
100038688	109.2	105.6	0.0468010512801371	0.210012410309383	0.110933591942979	0.741997098948577	0.969273278657235	NA	NA
100038712	161.8	159.6	0.0172503664422533	2.38655589950768	0.065539100719531	0.823481921828953	0.979384777437008	NA	NA
100038713	29.8	28	0.0909997488339932	0.662988797522561	0.441900980493168	0.512590243977355	0.911940794614326	NA	NA
100038725	134.2	129.2	0.055547123787081	2.81968943195226	0.831441496220261	0.370990915756736	0.862005758270307	100038725	Cep85l
100038739	58.4	61.8	-0.0889480508846252	1.65449770946798	0.877542725536413	0.358275436000785	0.857936398490826	NA	NA
100038746	1177.6	1250.4	-0.0811472520754823	3.78131017087915	2.84250109362436	0.104855802434249	0.671914854558851	NA	NA
100038882	75.2	75.4	-0.0145475196149012	0.814574284468741	0.0154376540205101	0.902161024424126	0.989527224093405	100038882	Isg15
100038999	25.4	23.8	0.100850433313943	0.949090808994511	0.68656326589424	0.415560159899158	0.881734746165495	NA	NA
