	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	183.2	224.6	-0.298819621515783	1.32193412474597	6.16128017028603	0.0205064245015559	0.0515119672828447	NA	NA
100009600	69	33.2	1.03588648343166	0.0367429404802465	19.9288691417323	0.000176835981568583	0.00104195662799217	100009600	Zglp1
100017	15.4	19.6	-0.303607001954006	1.45644395990686	6.24387388213012	0.019765537329372	0.0499984383196959	100017	Ldlrap1
100019	424	362.2	0.225485612661322	6.20352060595856	19.7538120804756	0.000246280085692629	0.00136649994572025	100019	Mdn1
100034361	105.8	110.4	-0.0674303590289897	2.50279602648568	0.555181345203659	0.463496139938119	0.588653435823932	100034361	Mfap1b
100034726	724	732.8	-0.0206038458232982	5.54226764324425	0.201528811035622	0.657546597637728	0.754599326896048	NA	NA
100036521	1859.8	2003.6	-0.108342281860624	5.08040393141074	6.58579188707427	0.0169987531035944	0.0441033885046408	100036521	Umad1
100036768	69.4	85.2	-0.266479564154944	1.12394280086192	4.04541102249288	0.055736562624064	0.114142289057555	NA	NA
100037258	3193.2	2122.4	0.585879982076836	6.04434394459423	209.297364528664	2.69606522789177e-13	1.05321423794453e-10	100037258	Dnajc3
100037262	47.2	45	0.0457413175091229	0.968892878189742	0.106583447349444	0.746918601154386	0.823113865590537	NA	NA
100037278	75.8	44.2	0.765527241386988	1.26506531138881	30.0868266080175	1.25403610119509e-05	0.000113712909703098	100037278	Fam129c
100037282	115.4	129.4	-0.173913060799363	2.47494320961905	3.23087253494375	0.0849502804829287	0.159463812220812	100037282	Rsph3b
100037283	385.8	471.6	-0.339825308634972	0.659009351769874	3.16933979898708	0.0882953467664109	0.164352293911177	100037283	Rnaset2a
100037396	433.2	401.4	0.108945038795781	3.50257896857367	2.67043744527195	0.115374723541119	0.202898923721053	NA	NA
100038347	2489.8	2149.6	0.209046452396019	5.18107653611592	11.6330370897238	0.0027928430746343	0.0101401039439247	100038347	Fam174b
100038356	282	391	-0.48063718777195	2.33761695150376	20.5277358519997	0.000139104281439027	0.000851233397087088	NA	NA
100038392	74.2	64.2	0.226543968642167	0.662908276783346	2.64674812607704	0.116917512342044	0.205212595433139	NA	NA
100038411	95.6	123.8	-0.360710847215015	0.505879809342018	3.19371294943372	0.08728630204253	0.163065297883253	NA	NA
100038416	66.4	85.4	-0.379526918326511	0.657659593271316	7.46113977725452	0.011677645651035	0.0326856487684082	NA	NA
100038453	59.6	72.6	-0.310274443224708	0.65164298847294	3.58344171407045	0.0705682713536472	0.138042197069376	NA	NA
100038486	34.4	41.2	-0.253824695717789	1.86218808505193	4.81657684854051	0.0381781107871198	0.0844158502856096	NA	NA
100038526	150.4	151.8	-0.00864213848759178	2.81305004992971	0.0129846488721122	0.910232128794754	0.942509863858398	NA	NA
100038538	30	25.8	0.182973659174894	1.56671865218177	3.0822540482034	0.0920020877122113	0.169725357471896	100038538	Gm10767
100038570	71	70	-0.0111649982542674	1.00578019080468	0.00460614797625991	0.946456622289989	0.966546198695164	100038570	Prcd
100038575	72	65.2	0.130827555053141	2.68092101294731	1.55863268678996	0.224474695408371	0.34030110057199	NA	NA
100038577	62	99	-0.681008171429421	0.837691179671217	18.3589938793734	0.000259505846304551	0.00142349051327741	NA	NA
100038591	109	108.8	0.00999205833807348	1.15664544041677	0.00645110546379151	0.936654630917009	0.961124949259865	NA	NA
100038605	50.8	64	-0.320383375354801	2.20573567103685	11.2374062908465	0.00266917939932959	0.00978699113087516	NA	NA
100038614	6	5.8	0.0707869737180701	1.19046832971672	0.394439361922387	0.544421507770603	0.660156751117139	NA	NA
100038647	10.8	6.4	0.719656587713269	1.03795483477802	22.6822087404407	7.72934985673239e-05	0.000523524005760122	NA	NA
100038688	136.4	109.2	0.333052934170977	0.210012410309383	4.43771611370056	0.0458741423898284	0.0979850530667326	NA	NA
100038712	175.2	161.8	0.111987472986307	2.38655589950768	2.15633135065065	0.155063944205239	0.255185500346411	NA	NA
100038713	26	29.8	-0.230815988785292	0.662988797522561	2.029971983121	0.16719250871375	0.27073723066867	NA	NA
100038725	113.6	134.2	-0.230057313135759	2.81968943195226	10.7328776785848	0.00321325080964325	0.0113778361593786	100038725	Cep85l
100038739	60.2	58.4	0.0412559069670424	1.65449770946798	0.138144173999649	0.713418228478479	0.79793755895906	NA	NA
100038746	1111.6	1177.6	-0.0903113645876255	3.78131017087915	2.72325425951161	0.112019944748483	0.198132193024298	NA	NA
100038882	82.8	75.2	0.128858485782649	0.814574284468741	0.87562784506312	0.362709291506538	0.490283372246844	100038882	Isg15
100038999	19.4	25.4	-0.414289728177535	0.949090808994511	7.61896413750869	0.0109299296776669	0.0309767065805878	NA	NA
100039017	289	317.6	-0.137696111446998	2.13457334614725	2.46727901791351	0.129426645921769	0.221861093471685	NA	NA
100039027	8	7.2	0.15205713206823	0.85504451220742	1.27125816049986	0.270758692054793	0.391778772477387	NA	NA
