	S3HC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	253	243.8	0.0611538362864923	1.32193505358357	0.369417208543411	0.549052416413407	0.92013048494458	100008567	Gm14964
100009600	27.6	30.8	-0.147974153343672	0.0366906674856687	0.458752304123329	0.504947518069996	0.909432496811968	100009600	Zglp1
100017	20.6	20	0.0359065020956801	1.45647654350106	0.129699192151587	0.721906088229682	0.964365120080576	100017	Ldlrap1
100019	294.4	299.8	-0.0199790681522339	6.20347312138611	0.206221054348308	0.654369780088832	0.949682648482255	100019	Mdn1
100034361	107.6	100	0.0984818098332221	2.50276048245747	1.56907604708379	0.222455295701626	0.791414572496758	100034361	Mfap1b
100034726	771.2	785	-0.0276682432579835	5.54226255938241	0.456873821977401	0.505574773156204	0.909468297597981	100034726	Gm15772
100036521	2002.8	1921	0.058756561078988	5.08041589615636	2.45292107798611	0.130447414341032	0.703178889136877	100036521	Umad1
100036768	98	103.4	-0.069243402129705	1.12397179507295	0.411959653161807	0.527082929258557	0.915169689178881	100036768	Gm11696
100037258	2127.8	2091.6	0.0250577113072804	6.04422374491189	0.452831142122391	0.507446193381693	0.909894415886845	100037258	Dnajc3
100037262	39.4	38.8	0.0249622646358862	0.968826842844256	0.0409976352212914	0.841255608912332	0.980819206793704	100037262	Gm12359
100037278	50.4	52	-0.0380439108805332	1.2649804747223	0.0884319365228525	0.768748653852532	0.971375353120485	100037278	Fam129c
100037282	157.6	167.2	-0.0796477920442043	2.47496466757874	0.950235977912805	0.339419521748081	0.849340852691353	100037282	Rsph3b
100037283	347	346.6	0.0158360738045411	0.659040560522909	0.00991169718294293	0.921561560857982	0.992131007747293	100037283	Rnaset2a
100037396	383.8	371.6	0.051325601614634	3.50256451176119	0.759926577094693	0.392021512602659	0.869871317879705	100037396	D030047H15Rik
100038347	2131.8	2224	-0.0565844075834408	5.18104617098806	1.05149636610348	0.317423576644206	0.841009651606422	100038347	Fam174b
100038356	374.8	398.8	-0.0794761292870893	2.33770989207464	0.805993038088265	0.378259640876519	0.86492905677382	100038356	Gm15612
100038392	56.6	58.4	-0.0591043485106568	0.662891370404408	0.233535941230173	0.633310349542379	0.943996932243971	100038392	Gm10785
100038411	116.6	104.6	0.122477584039841	0.505905277914357	0.553780959142166	0.464422159164292	0.896187338017135	100038411	Gm15998
100038416	77.2	86.6	-0.14809953505422	0.657714291447401	1.82884452786444	0.188917701110014	0.759982313343764	100038416	Gm10643
100038453	78.4	92.6	-0.221708476290841	0.651663266115639	2.84673071435325	0.104565535241171	0.670897321688449	100038453	Gm12522
100038486	46.8	44.2	0.0908342024314895	1.86224296345384	0.879096105157689	0.357824904014321	0.856462165334671	100038486	Gm10742
100038526	162.8	175.8	-0.108336030618879	2.81305342976906	2.75072627785909	0.110273842257124	0.682904077114171	100038526	Gm10560
100038538	29.4	33.6	-0.180335877706736	1.56666541280011	3.95955209290103	0.0581604225921061	0.580716374391803	100038538	Gm10767
100038570	69.8	89	-0.303962308593765	1.00582473520421	5.10042384001014	0.03332344468146	0.506197122554061	100038570	Prcd
