	S3SD5	S3HC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	206.8	253	-0.29399062961528	1.32193505358357	6.05471933329367	0.0214791708212695	0.0530247540650093	100008567	Gm14964
100009600	56.8	27.6	1.02196520013417	0.0366906674856687	19.7477458774352	0.000185273907630531	0.0010622566683426	100009600	Zglp1
100017	16.2	20.6	-0.302511145183032	1.45647654350106	6.35444264099904	0.0187924529608391	0.0475702478276653	100017	Ldlrap1
100019	343.4	294.4	0.220629946656119	6.20347312138611	21.2357293699435	0.000149296683221279	0.000888770288006739	100019	Mdn1
100034361	103.4	107.6	-0.0675706700518667	2.50276048245747	0.574965088666859	0.455702630747709	0.580328266504615	100034361	Mfap1b
100034726	761.4	771.2	-0.0212782765885703	5.54226255938241	0.219195166541158	0.643893916788014	0.740990658698563	100034726	Gm15772
100036521	1859.8	2002.8	-0.10789547865238	5.08041589615636	6.72069010099627	0.0160022518457833	0.0416450392832105	100036521	Umad1
100036768	80.2	98	-0.263683691033821	1.12397179507295	4.07870860390146	0.0547713375489801	0.111911918706949	100036768	Gm11696
100037258	3203.2	2127.8	0.587037967774606	6.04422374491189	215.611505574742	1.84207523976752e-13	7.83098691635288e-11	100037258	Dnajc3
100037262	41.4	39.4	0.0463283709313109	0.968826842844256	0.112496743415637	0.74024460441638	0.817379336305145	100037262	Gm12359
100037278	86.6	50.4	0.766273983016001	1.2649804747223	30.8889477917078	1.03365869999066e-05	9.5162438532898e-05	100037278	Fam129c
100037282	140.4	157.6	-0.174580843926067	2.47496466757874	3.32654693465169	0.0806951776872969	0.152227629638761	100037282	Rsph3b
100037283	284.2	347	-0.333229298401214	0.659040560522909	3.09895228389161	0.0916868755007096	0.168327460750318	100037283	Rnaset2a
100037396	413.6	383.8	0.106968920767216	3.50256451176119	2.63414653460943	0.117701635161177	0.205061423465904	100037396	D030047H15Rik
100038347	2468.2	2131.8	0.208222584905663	5.18104617098806	11.823267161773	0.00260395508140106	0.00943297412194759	100038347	Fam174b
100038356	270.6	374.8	-0.475400074304787	2.33770989207464	20.3857759922097	0.000143678437310436	0.000861355509284546	100038356	Gm15612
100038392	66	56.6	0.227501335770544	0.662891370404408	2.72109131904904	0.112108742405374	0.19710001052592	100038392	Gm10785
100038411	89.6	116.6	-0.366187793277458	0.505905277914357	3.35473076666957	0.0801872325208269	0.151546320457117	100038411	Gm15998
100038416	59.8	77.2	-0.385785709969573	0.657714291447401	7.88040964886549	0.00978511095168644	0.0280289325595869	100038416	Gm10643
100038453	64.4	78.4	-0.308098455290787	0.651663266115639	3.60767150222586	0.0696434788165714	0.135299306829936	100038453	Gm12522
100038486	39	46.8	-0.253275132767558	1.86224296345384	4.96605946952563	0.0355135974790618	0.0791906106082011	100038486	Gm10742
100038526	161.6	162.8	-0.0104443078310174	2.81305342976906	0.0192795650746843	0.890730920017856	0.928503152887501	100038526	Gm10560
100038538	34	29.4	0.184571281283536	1.56666541280011	3.21223675294073	0.0857543381739855	0.159521406839355	100038538	Gm10767
100038570	70.6	69.8	-0.016604523548206	1.00582473520421	0.0103769964269286	0.919711339070226	0.948114092783756	100038570	Prcd
