ba	check	gene
100039826	NA	NA
100043757	100043757	Zfp831
100503068	100503068	Gm11549
100503659	100503659	Cbarp
101631	101631	Pwwp2b
103098	103098	Slc6a15
103534	103534	Mgat4b
105722	105722	Ano6
105827	105827	Amigo2
106042	106042	Prickle1
108097	108097	Prkab2
109901	109901	Cela1
110058	110058	Syt17
12123	12123	Hrk
12140	12140	Fabp7
12337	12337	Capn5
12843	12843	Col1a2
13087	13087	Cyp2a5
13108	13108	Cyp2g1
13199	13199	Ddn
13384	13384	Mpp3
14057	14057	Sfxn1
140570	140570	Plxnb2
14313	14313	Fst
14412	14412	Slc6a13
14706	14706	Gng4
15982	15982	Ifrd1
16524	16524	Kcnj9
16525	16525	Kcnk1
16526	16526	Kcnk2
17181	17181	Matn2
17777	17777	Mttp
17969	17969	Ncf1
18003	18003	Nedd9
18164	18164	Nptx1
18212	18212	Ntrk2
18378	18378	Omp
18610	18610	Pdyn
19009	19009	Pou6f1
19094	19094	Mapk11
19271	19271	Ptprj
19699	19699	Reln
19734	19734	Rgs16
20346	20346	Sema3a
210541	NA	NA
216881	216881	Wscd1
217166	217166	Nr1d1
217294	217294	BC006965
22141	22141	Tub
22146	22146	Tuba1c
22353	22353	Vip
223828	223828	Pphln1
226412	226412	R3hdm1
231842	231842	Amz1
234353	234353	Psd3
236920	236920	Stard8
240185	240185	Jcad
240427	240427	Setbp1
240753	240753	Plekha6
243538	243538	Cfap100
244954	244954	Prss35
246738	246738	Dnajc28
263764	263764	Creg2
26408	26408	Map3k5
26413	26413	Mapk1
26570	26570	Slc7a11
268480	268480	Rapgefl1
26874	26874	Abcd2
26913	26913	Gprin1
269994	269994	Gsg1l
270210	270210	Zfp651
271305	271305	Phf21b
27223	27223	Trp53bp1
30785	30785	Cttnbp2
30805	30805	Slc22a4
319480	319480	Itga11
320563	320563	Islr2
320924	320924	Ccbe1
330941	330941	AI593442
380711	380711	Rap1gap2
380967	380967	Tmem106c
381310	381310	Stum
433323	433323	Sgpp2
433809	433809	Rnf207
53625	53625	B3gnt2
54525	54525	Syt7
56233	56233	Hdac7
57748	57748	Jmy
57780	57780	Fxyd7
59126	59126	Nek6
634104	634104	Olfr287
63953	63953	Dusp10
64009	64009	Syne1
66208	66208	Nenf
666211	666211	Gm7984
67155	67155	Smarca2
67187	67187	Zmynd19
67498	67498	Kcnv1
67945	67945	Rpl41
68498	68498	Tspan11
68524	68524	Wipf2
69017	69017	Prrt2
69847	69847	Wnk4
70717	70717	Medag
71733	71733	Susd2
71919	71919	Rpap3
72590	72590	Ppme1
73284	73284	Ddit4l
74720	74720	Tmem114
74782	74782	Glt8d2
75578	75578	Fggy
79221	79221	Hdac9
79362	79362	Bhlhe41
81600	81600	Chia1
81703	81703	Jdp2
