	GeneID	Chr	Symbol	NExons	P.Value	FDR
72409	58234	15	Shank3	22	0	0
70774	27367	15	Rpl3	10	8.40980777210094e-22	6.23755442456727e-18
72678	12805	15	Cntn1	26	1.27523464044596e-12	6.30561021879181e-09
73447	22143	15	Tuba1b	4	9.85249225462201e-08	0.000365379675262657
95751	170826	18	Ppargc1b	12	9.99153485689615e-05	0.296428856134395
20537	74782	10	Glt8d2	10	0.000409324817665611	1
85336	11307	17	Abcg1	15	0.000480913504913936	1
37855	20624	11	Eftud2	28	0.000679381504097262	1
72800	266632	15	Irak4	12	0.00088198290176683	1
198241	234728	8	Cmtr2	2	0.00102307742811945	1
65125	70898	14	Slain1os	3	0.00103122058508266	1
221153	270672	X	Map3k15	29	0.00128199542435921	1
196983	75458	8	Cklf	5	0.0016248083280442	1
43222	100861990	12	NA	10	0.00166634492869077	1
80208	12228	16	Btg3	5	0.00167501158573958	1
158106	208213	5	Tmem132c	9	0.00169214209600339	1
151934	21682	5	Tec	19	0.0020135557285499	1
195673	65114	8	Vps35	17	0.00248091831243032	1
129492	19260	3	Ptpn22	21	0.00251341859281056	1
68141	12818	15	Col14a1	48	0.00283368458240978	1
213914	19893	X	Rpgr	20	0.00394230216066007	1
143096	100163	4	Pafah2	11	0.00449256270898152	1
124635	26570	3	Slc7a11	12	0.00454334401803978	1
212800	215474	9	Sec22c	8	0.00476008080010575	1
189040	320802	7	Ifitm10	4	0.00476578112725779	1
24151	20847	10	Stat2	24	0.00478551649301623	1
139013	230582	4	Cyb5rl	6	0.00524485532043775	1
90046	19765	17	Ralbp1	11	0.005430408790706	1
45965	171282	12	Acot4	3	0.0054321123358943	1
46278	217716	12	Mlh3	12	0.00558652129214521	1
189556	69129	8	Pex11g	5	0.0056063094294647	1
158777	58805	5	Mlxipl	17	0.0057938058324147	1
80752	246738	16	Dnajc28	2	0.00594173526525889	1
81218	385668	16	Lca5l	11	0.00596526374162895	1
169566	68465	6	Adipor2	8	0.00600924021265706	1
116102	228564	2	Frmd5	15	0.00628771378666515	1
51527	71213	13	Cage1	13	0.00629193879105966	1
57655	218734	14	3830406C13Rik	6	0.00687448760310372	1
78610	74197	16	Gtf2e1	5	0.00722480005879442	1
175610	18987	7	Pou2f2	15	0.00740504703052358	1
92093	75415	18	Arhgap12	19	0.00784591446684897	1
59518	382864	14	Colq	17	0.00824034816809548	1
93900	71242	18	Spata24	6	0.00833684970038874	1
35421	217119	11	Xylt2	11	0.00834176237440577	1
74769	385674	16	Zfp174	3	0.00868434863555843	1
217087	69537	X	Dnase1l1	9	0.00912317565718199	1
24396	211389	10	Suox	4	0.00956537346653097	1
11574	100503318	1	Gm15853	2	0.00996174655593071	1
159049	269717	5	Orai2	3	0.0100774882220911	1
188360	76974	7	Urah	3	0.0101644830951463	1
119251	13436	2	Dnmt3b	24	0.0108507563687847	1
58388	16531	14	Kcnma1	34	0.0108823216560234	1
4188	13869	1	Erbb4	27	0.010918007178916	1
182503	76453	7	Prss23	2	0.0110794317054195	1
215588	208968	X	Zfp280c	20	0.0111878295966209	1
204563	73699	9	Ppp2r1b	18	0.011223486280522	1
39365	286942	11	Kif19a	20	0.0115315858358276	1
45594	69548	12	2310015A10Rik	3	0.012133752071182	1
216832	140571	X	Plxnb3	35	0.0126713287253932	1
90085	68767	17	Washc1	11	0.0126927539916647	1
87595	17441	17	Mog	8	0.0130004706449742	1
50785	57441	13	Gmnn	7	0.0131170178980736	1
36123	67480	11	Cwc25	10	0.013232185832158	1
121804	66404	2	Rtf2	9	0.0134485455469967	1
171902	232449	6	Dera	9	0.0134565111210496	1
209987	19944	9	Rpl29	4	0.0135485216025619	1
125267	622434	3	Arhgef26	14	0.013589029668807	1
207364	11891	9	Rab27a	6	0.0136494178301335	1
68244	210544	15	Tbc1d31	22	0.0138788957901565	1
53924	431706	13	Zfp457	4	0.0139867386993001	1
115164	54485	2	Dll4	11	0.0140459864529394	1
100910	21873	19	Tjp2	24	0.014061165698693	1
8903	98710	1	Rabif	2	0.014810596376772	1
73190	634104	15	Olfr287	3	0.0152690720109044	1
41574	210004	11	B3gntl1	13	0.0152784954322183	1
94674	269019	18	Stk32a	13	0.0155540818477153	1
142613	100088	4	Rcc1	11	0.0156465717840725	1
186507	56312	7	Nupr1	3	0.0157895422762963	1
117572	269356	2	Slc4a11	21	0.0158529021440926	1
206527	71973	9	Rbpms2	8	0.0160180404874837	1
104310	226250	19	Afap1l2	22	0.0162602859627022	1
185487	434233	7	Gm5601	2	0.0166129398317565	1
196805	78833	8	Gins3	3	0.01682645232859	1
4361	381269	1	Mreg	5	0.0168523888667098	1
197340	234683	8	Elmo3	20	0.0173110236063467	1
169266	11689	6	Alox5	14	0.0173911277093743	1
98707	69024	19	Snx15	8	0.0174774586816205	1
126677	66614	3	Gpatch4	9	0.0175373897683239	1
