	KOHC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	109.8	124.8	0.062735247190273	1.32193412474597	0.389661445561323	0.538409661671382	0.917697711588337	NA	NA
100009600	28	37.8	-0.153380318624727	0.0367429404802491	0.492640920443036	0.489790791639758	0.90483590265351	100009600	Zglp1
100017	118.8	139.6	0.0378029185914589	1.45644395990686	0.142987466553812	0.708677320702092	0.961639196217558	100017	Ldlrap1
100019	2596	3321.2	-0.0255118402131022	6.20352060595857	0.303679954206431	0.5876579518282	0.932996222062895	100019	Mdn1
100034361	234.4	260.8	0.0987176111136987	2.50279602648568	1.55559697291934	0.224433197596938	0.794188047719342	100034361	Mfap1b
100034726	1856.2	2340.2	-0.027492628826887	5.54226764324425	0.449034394283875	0.509237606521757	0.911099509515613	NA	NA
100036521	1407.4	1692.4	0.0586917163199238	5.08040393141074	2.41417913154654	0.133425780015994	0.705226288727847	100036521	Umad1
100036768	92.2	118.2	-0.0693887535211452	1.12394280086192	0.409197695884207	0.528480969111023	0.915629710657584	NA	NA
100037258	2088.8	2520.6	0.0247889611156836	6.04434394459423	0.43811481219345	0.514385706504253	0.911966094270996	100037258	Dnajc3
100037262	73.2	86	0.0219415910296381	0.968892878189742	0.0313205070050253	0.861023193467114	0.983044676223562	NA	NA
100037278	75.2	94.2	-0.037281832121094	1.26506531138881	0.0843122944183942	0.774048919037131	0.976156712905437	100037278	Fam129c
100037282	228.6	296	-0.0782259258899619	2.47494320961905	0.912408083971511	0.349068954137088	0.854264280416277	100037282	Rsph3b
100037283	67.2	82.2	0.0141116941360818	0.659009351769872	0.00788776931906362	0.930001942107017	0.99327159223241	100037283	Rnaset2a
100037396	451.8	531.6	0.0504561970078432	3.50257896857367	0.729707381631588	0.401486327945234	0.874638616284142	NA	NA
100038347	1352	1732	-0.0562966573427782	5.18107653611592	1.03066991004426	0.322209530693425	0.847544646283431	100038347	Fam174b
100038356	223.8	288.4	-0.0785890581351865	2.33761695150376	0.790040608319867	0.38297481869066	0.867294451665572	NA	NA
100038392	54.4	72.2	-0.0605432641462854	0.662908276783346	0.244720974565806	0.625348242311244	0.942263924658495	NA	NA
100038411	63.2	71.6	0.119869547841985	0.505879809342018	0.530142556528882	0.473992660924978	0.901933902186628	NA	NA
100038416	67.6	91	-0.151470148087384	0.657659593271316	1.90757772861155	0.180051173587339	0.760705673377247	NA	NA
100038453	60.8	87.8	-0.221017876794312	0.65164298847294	2.81882683381091	0.106234599732667	0.674951606389439	NA	NA
100038486	161	191.2	0.0908502495491493	1.86218808505192	0.865296101015864	0.361591426343635	0.858547904627741	NA	NA
100038526	277.4	363.4	-0.108759904463927	2.81305004992971	2.7740886630549	0.108898251050543	0.678296146052061	NA	NA
100038538	103.2	142	-0.179836843574027	1.56671865218177	3.91197696336295	0.0596213844668085	0.585439871659817	100038538	Gm10767
100038570	77	113.2	-0.303005195562465	1.00578019080468	5.05944020472401	0.0340101552215875	0.503574421248956	100038570	Prcd
100038575	225	307.6	-0.108411505470625	2.68092101294732	1.39688681581568	0.249369345224048	0.80980951325783	NA	NA
100038577	85.2	100.4	-0.00475037551379894	0.837691179671214	0.00148172390338584	0.969615227188075	0.996221436080625	NA	NA
100038591	86.4	107.4	-0.0299768269589273	1.15664544041677	0.0801677823628245	0.779515888358387	0.976156712905437	NA	NA
100038605	196.4	247.8	-0.0599669487088907	2.20573567103685	0.562998013969908	0.460401573106406	0.896775821970219	NA	NA
100038614	82.4	120.8	-0.258650950679753	1.19046832971672	7.38787540771712	0.0120437635709771	0.396703153672687	NA	NA
100038647	64.4	74.2	0.0770735538800986	1.03795483477802	0.301317641037074	0.588165832203589	0.932996222062895	NA	NA
100038688	40.2	49.4	0.0468010512801319	0.210012410309383	0.110933591942963	0.741997098948595	0.969273278655906	NA	NA
100038712	199.2	242.4	0.0172503664422533	2.38655589950768	0.065539100718403	0.823481921828846	0.97938477743835	NA	NA
