	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	183.2	224.6	-0.298819621515775	1.32193412474597	6.1612801702869	0.020506424501548	0.0515119672828249	NA	NA
100009600	69	33.2	1.03588648343166	0.0367429404802465	19.9288691417272	0.00017683598156925	0.0010419566279963	100009600	Zglp1
100017	15.4	19.6	-0.303607001954052	1.45644395990687	6.24387388213065	0.0197655373293675	0.0499984383196846	100017	Ldlrap1
100019	424	362.2	0.225485612661328	6.20352060595856	19.7538120804819	0.000246280085692339	0.00136649994571865	100019	Mdn1
100034361	105.8	110.4	-0.067430359028982	2.50279602648568	0.555181345204868	0.463496139937638	0.58865343582218	100034361	Mfap1b
100034726	724	732.8	-0.0206038458232982	5.54226764324425	0.201528811032489	0.65754659764021	0.754599326898896	NA	NA
100036521	1859.8	2003.6	-0.108342281860624	5.08040393141074	6.58579188708364	0.0169987531035248	0.0441033885044602	100036521	Umad1
100036768	69.4	85.2	-0.266479564154972	1.12394280086192	4.04541102249396	0.0557365626240336	0.114142289057492	NA	NA
100037258	3193.2	2122.4	0.585879982076836	6.04434394459422	209.297364528844	2.69606522786753e-13	1.05321423793506e-10	100037258	Dnajc3
100037262	47.2	45	0.0457413175091332	0.968892878189739	0.106583447349731	0.746918601154058	0.823113865590176	NA	NA
100037278	75.8	44.2	0.765527241386999	1.2650653113888	30.0868266080182	1.25403610119495e-05	0.000113712909703085	100037278	Fam129c
100037282	115.4	129.4	-0.173913060799355	2.47494320961905	3.2308725349438	0.0849502804829268	0.159463812220808	100037282	Rsph3b
100037283	385.8	471.6	-0.339825308634941	0.659009351769874	3.16933979898672	0.0882953467664347	0.164352293911617	100037283	Rnaset2a
100037396	433.2	401.4	0.108945038795784	3.50257896857367	2.67043744527252	0.115374723541083	0.202898923720989	NA	NA
100038347	2489.8	2149.6	0.209046452396016	5.18107653611592	11.6330370897259	0.00279284307463374	0.0101401039439226	100038347	Fam174b
100038356	282	391	-0.480637187771934	2.33761695150377	20.5277358519946	0.000139104281439228	0.000851233397088317	NA	NA
100038392	74.2	64.2	0.226543968642154	0.662908276783343	2.64674812607729	0.116917512342027	0.20521259543311	NA	NA
100038411	95.6	123.8	-0.360710847215021	0.50587980934202	3.19371294943431	0.0872863020425011	0.163065297883199	NA	NA
100038416	66.4	85.4	-0.379526918326508	0.657659593271319	7.46113977725618	0.0116776456510269	0.0326856487683856	NA	NA
100038453	59.6	72.6	-0.310274443224698	0.65164298847294	3.5834417140708	0.0705682713536348	0.138042197069351	NA	NA
100038486	34.4	41.2	-0.253824695717802	1.86218808505193	4.81657684854027	0.0381781107871245	0.0844158502856199	NA	NA
100038526	150.4	151.8	-0.00864213848759691	2.81305004992971	0.0129846488716377	0.910232128796387	0.942509863860089	NA	NA
100038538	30	25.8	0.18297365917491	1.56671865218177	3.08225404820435	0.0920020877121646	0.169725357471809	100038538	Gm10767
100038570	71	70	-0.0111649982542213	1.00578019080468	0.0046061479763991	0.946456622289182	0.966546198710033	100038570	Prcd
100038575	72	65.2	0.130827555053143	2.68092101294731	1.5586326867875	0.224474695408733	0.340301100572027	NA	NA
100038577	62	99	-0.681008171429431	0.837691179671217	18.3589938793734	0.000259505846304565	0.00142349051327749	NA	NA
100038591	109	108.8	0.0099920583380863	1.15664544041677	0.00645110546407876	0.936654630915602	0.961124949258421	NA	NA
100038605	50.8	64	-0.320383375354801	2.20573567103685	11.2374062908442	0.00266917939933184	0.00978699113088343	NA	NA
100038614	6	5.8	0.0707869737180701	1.19046832971672	0.3944393619227	0.544421507770638	0.660156751117182	NA	NA
100038647	10.8	6.4	0.719656587713267	1.03795483477802	22.6822087404419	7.72934985673032e-05	0.000523524005759982	NA	NA
100038688	136.4	109.2	0.333052934170972	0.210012410309381	4.43771611370159	0.0458741423898054	0.0979850530666835	NA	NA
100038712	175.2	161.8	0.111987472986317	2.38655589950768	2.15633135064899	0.155063944205392	0.255185500346662	NA	NA
100038713	26	29.8	-0.230815988785287	0.662988797522561	2.0299719831209	0.167192508713761	0.270737230668687	NA	NA
100038725	113.6	134.2	-0.230057313135769	2.81968943195226	10.732877678588	0.00321325080963949	0.0113778361593653	100038725	Cep85l
100038739	60.2	58.4	0.0412559069670398	1.65449770946798	0.138144173999723	0.713418228478405	0.797937558958978	NA	NA
100038746	1111.6	1177.6	-0.0903113645876178	3.78131017087915	2.72325425951301	0.112019944748396	0.198132193024145	NA	NA
100038882	82.8	75.2	0.128858485782659	0.814574284468741	0.875627845063579	0.362709291506523	0.490283372246824	100038882	Isg15
100038999	19.4	25.4	-0.414289728177527	0.949090808994511	7.61896413750943	0.0109299296776637	0.0309767065805786	NA	NA
100039017	289	317.6	-0.137696111446985	2.13457334614725	2.46727901791144	0.129426645921922	0.221861093471947	NA	NA
100039027	8	7.2	0.152057132068232	0.855044512207417	1.27125816050021	0.27075869205473	0.391778772475695	NA	NA
100039060	37.6	41	-0.11521112404585	1.22468725727298	1.05471219786857	0.314739216915238	0.440251580858558	100039060	Gm2026
100039062	2344.4	2891.8	-0.280437862912504	1.07535548513995	4.11000126749139	0.0539596013046476	0.111355236615845	NA	NA
100039138	134.4	208.6	-0.666617245733754	0.725506383412085	22.7868429058102	7.51751376831128e-05	0.000512538415128166	NA	NA
100039239	22.2	23	-0.0453666675080449	2.11827421042463	0.214380855529468	0.647556864958949	0.746819659353112	NA	NA
100039252	1017.8	993.8	0.0386566362324367	3.31203939250943	0.468914654243023	0.500095283770522	0.622083410088194	NA	NA
100039257	742	1024	-0.440785436681451	0.415177673708223	5.65982621543112	0.0257235591507748	0.0617211693169486	100039257	Tmem254b
100039304	16.6	15.2	0.111518467623312	1.99509984509144	0.363240069217674	0.555395086827074	0.669475488699735	NA	NA
100039307	326.4	377.6	-0.221633594196305	0.473578683264586	2.4331625631245	0.135987965236373	0.23048429286193	NA	NA
100039419	1036.4	1068	-0.0417498378996854	5.27007759678654	0.720086696197703	0.404561399324655	0.532319569034006	NA	NA
100039422	839.2	773.8	0.119773494394085	3.71863668705889	3.4021544129995	0.0775815473432902	0.148485657481451	NA	NA
100039495	14.6	19.4	-0.375775042851361	1.35345464298956	7.0323205614029	0.0140100374702481	0.0377237484342337	NA	NA
100039503	302.4	213	0.500081755302885	2.28161787455386	33.4339908234886	5.99855890104478e-06	6.22420461993548e-05	NA	NA
100039571	17	13.8	0.264020329588747	0.998769604324054	3.53351832459086	0.0724245293525639	0.140740003665227	NA	NA
100039636	9390.2	9509	-0.0152377440591066	7.15126310274847	0.157636479342153	0.694876730568222	0.784116501181442	NA	NA
100039684	299.8	315.2	-0.0740565364071322	0.822577330660933	0.172372628155661	0.68185842116438	0.774092493469802	NA	NA
100039707	168	190.6	-0.175046841002292	1.46058106283761	2.03532109352888	0.166656384833378	0.270247377855071	100039707	Mthfsl
100039768	532.2	641.8	-0.266975583065557	4.62895104654058	23.6907513514459	5.92933805641458e-05	0.000421972684723862	NA	NA
100039786	2432.2	2475.6	-0.0277558925670291	4.80373597232364	0.365193724280812	0.551347972494411	0.666096923640439	NA	NA
100039795	9197.6	8958.8	0.0377809228889432	7.54879632203966	1.33106020340956	0.260059998741051	0.37961090908939	100039795	Ildr2
100039826	49	38.6	0.335915807985427	3.38118184503965	14.5874073781383	0.000960891188630381	0.00418334977122395	NA	NA
100039863	24.8	32	-0.317828420445803	0.556613825134338	3.2362154961084	0.0847086009745308	0.159154831468331	100039863	Gm13306
100039864	342.2	352.8	-0.0459971653991215	3.25732767509503	0.40532764332771	0.530420809704995	0.648182480848495	NA	NA
100039968	124.2	117.4	0.0744301843010681	1.39303529063428	0.426083790163242	0.520166502473823	0.639735251490675	100039968	Tmem35b
100039988	59	54.2	0.109672282605063	2.65195996873041	0.862570801301865	0.364089498672901	0.491689209924144	NA	NA
100040052	245.2	230.4	0.0859797568645321	2.49937494409839	0.846597850514246	0.366739838393817	0.494160308021277	100040052	Wdr83os
100040123	254	233	0.115685839804748	2.57251617358068	1.84782071900509	0.186766026191751	0.295287261274947	NA	NA
100040220	1334.6	1359.4	-0.0256844185974807	5.04601133217544	0.32548229827568	0.573673501115313	0.68432401450368	NA	NA
100040244	5.6	5.8	-0.0584029704931396	1.2785784972582	0.212430506600478	0.649048951981599	0.747745826508711	NA	NA
100040260	49.4	56	-0.16412282897381	0.853545658942896	1.63652915676838	0.213122067360932	0.327048132671718	NA	NA
100040293	76.4	52.8	0.551357354037164	-0.14644048768476	7.27577119620532	0.0126287172472754	0.0346564418249704	NA	NA
100040294	22.8	24	2.28418333195631e-05	0.880158031038542	5.0941001852777e-08	0.999822141415276	0.999822141415276	NA	NA
100040297	9284.6	9395.4	-0.0230486170105843	5.49924384775571	0.165337177125555	0.688586144216869	0.779208026971787	NA	NA
100040298	667.4	659.8	0.0093800784405751	5.00773944747239	0.0388688722981756	0.845380995617402	0.896291125258852	NA	NA
100040322	12.4	13	-0.00331611100663372	1.26202564510206	0.000575282150043744	0.981064309251055	0.988432902791104	NA	NA
100040377	109	124	-0.166394734977682	1.28198209383842	1.71804846180903	0.202439750632125	0.313686123031383	NA	NA
100040500	16.2	15.8	0.00516878787826789	2.21658368032652	0.00273600305101427	0.958720343681303	0.974633833701615	NA	NA
100040505	317.4	280.6	0.163070688516886	2.34578463319025	3.81394674409691	0.0626714251349244	0.125325508978998	NA	NA
100040525	70	77.4	-0.121238239167984	3.19282236456882	0.627017610807368	0.441939628091678	0.567904995060198	NA	NA
100040529	180.8	185.8	-0.0326438238504104	1.27883869472861	0.0594276114396374	0.809489930229386	0.872055411160136	NA	NA
100040543	2156	2403	-0.158800834671583	4.59820812498145	5.53248683212081	0.0286558114192973	0.0673262513417625	NA	NA
100040591	523.2	415.8	0.352003102169024	0.41051060997508	4.41337856861524	0.0464252070098242	0.0989719678643067	100040591	Kcnj13
100040608	65	71.2	-0.112044868504834	1.09110170948095	0.58225609511355	0.452919477212296	0.578516978051125	100040608	Fancf
100040724	294.2	259.2	0.181752032241654	4.56901809348168	13.0080029983693	0.00142599407660572	0.00583724678087203	NA	NA
100040792	48.4	19.6	1.27983061559904	0.0820513267622633	51.4436254252833	2.15207963048305e-07	4.20353499716243e-06	NA	NA
100040852	11.6	12.6	-0.0919307533284554	0.103103640299312	0.305701923613491	0.601051086746367	0.707977541180994	NA	NA
100040961	100.4	117.2	-0.240146676332749	3.02020162390979	5.78188177814328	0.025431805488632	0.0611734592332645	NA	NA
100040972	66.8	66.8	0.0177462664355086	0.358971077556386	0.0110404877082546	0.91719695809203	0.947684954768904	100040972	Tceal7
100040999	281.4	266.8	0.0972656799105812	0.28333635120822	0.398593832160346	0.533827546916902	0.650914742967513	NA	NA
100041098	1162.6	1244.8	-0.0962852380645445	4.37315650734701	3.15943588645507	0.0882590520382705	0.164309162565837	NA	NA
100041106	145	164.2	-0.170987486181001	2.89880479377038	3.4496750462553	0.0756965868515048	0.145571908774834	NA	NA
100041120	10	7.8	0.337191793332295	1.30411600827143	8.28530959615524	0.00830539243271122	0.0248388458974566	NA	NA
100041194	121.2	132.4	-0.100039299541918	1.20854140418633	0.54975839381334	0.46566315510723	0.59061909827307	NA	NA
100041231	63.6	83.6	-0.399118507187637	1.54628913707292	11.6966656641793	0.00226064351844328	0.00851807648998413	NA	NA
100041244	120.6	151	-0.317488703284672	1.71418696508618	9.50907880746956	0.00511022232968271	0.0167224708067091	NA	NA
100041286	67.6	89.8	-0.473694588491728	0.424302340883185	8.62975519147657	0.00722723329561657	0.0221318707743309	NA	NA
100041294	408.4	364.4	0.171028141985597	3.52714649400415	5.57202253415669	0.0267810110011606	0.0636979978625598	100041294	Supt4a
100041480	1101.2	994	0.149454667963019	4.52689453079408	7.78167481052121	0.0102138823639951	0.0293402148034709	NA	NA
100041574	58.6	57.2	0.022549384313727	0.878426426309397	0.0237663942546493	0.878779309942383	0.920089689589919	100041574	Ermard
100041576	2.8	3.6	-0.306867323852177	0.112899922434248	2.10721914798433	0.159647835601315	0.260976002689597	NA	NA
100041581	45	67	-0.56841174442636	3.74982779442652	47.0764863940297	7.33146213922187e-07	1.1225524762745e-05	100041581	Zkscan16
100041585	703.8	650.6	0.101482502938771	1.91324850749488	0.807499684786464	0.377853186173702	0.505646695024043	100041585	Amd2
100041621	1.4	1.4	-0.0305423552245677	0.338850208839744	0.0234485733211933	0.879585941881711	0.920603562922393	100041621	Ermard
100041649	1334	1548.8	-0.220404347669401	5.68468708592352	24.0576549601851	5.39219967457902e-05	0.000388916437606613	NA	NA
100041677	203.2	223	-0.135932115603993	1.06926843308892	0.622910713394208	0.438151331729533	0.564542641185476	100041677	Zfp984
100041781	493.4	656.8	-0.400362641035328	2.39790876334608	15.2904413030585	0.000667775480645715	0.00310254799011673	NA	NA
100041797	16.2	16.4	-0.0187804717130608	1.69100270633465	0.0252877153431967	0.874992628863897	0.91748127336158	NA	NA
100041925	2393.2	2433	-0.0266966736328168	6.05760841008925	0.444325485679127	0.511446360548158	0.632373455548595	NA	NA
100041948	692	773.6	-0.174180281694434	3.71315153540282	5.05625569540921	0.0344607072754126	0.0779979741557804	NA	NA
100041953	1512	1632.8	-0.111099452713025	4.66979823160665	5.9508877654793	0.0225367973070935	0.0555408130054101	100041953	Sap18b
100041965	3311.2	3293.6	0.0106652602637671	6.37589952435083	0.0781885742339042	0.782180699743355	0.850751737082583	NA	NA
100042008	9344.6	9574.6	-0.0350856441178399	6.69864940062202	1.01952975131178	0.322776348329698	0.448209178476074	NA	NA
100042023	7	6.6	0.0470238645545991	0.391630651724061	0.0768146594654604	0.784052053135376	0.85246640409348	NA	NA
100042049	15739.4	17504.2	-0.160959632733602	4.13810525321058	4.01413684722925	0.0591316966514438	0.119872306227204	NA	NA
100042056	49.6	26	0.909937549700305	1.97620110154168	96.1880811534656	7.72875122074161e-10	4.71355992171305e-08	NA	NA
100042069	2159.2	1926	0.162837718488315	4.96112230522535	9.95511158138846	0.00430494413418387	0.0145145002368774	NA	NA
100042100	63.6	83.2	-0.388257432660146	0.510166019427819	5.01389563568061	0.03475131894068	0.0785082156874944	NA	NA
100042125	152.4	119.8	0.344453373438043	0.379923489213622	5.85428631013385	0.0259692582364702	0.0621662236750481	NA	NA
100042132	187.6	346	-0.861475905791449	2.84937644831762	72.1681483088685	1.66001828801006e-08	5.17110007217616e-07	NA	NA
100042143	403	455.8	-0.186480663013365	2.28964384802699	3.51671825146856	0.0730616857838416	0.141749477358342	NA	NA
100042149	704.2	850.6	-0.267748505312187	0.998456417960605	3.82928697874426	0.0621826547715283	0.124595431515767	100042149	Gm3696
100042150	101	99.8	0.0132375378816965	2.96814580724904	0.0318970640270519	0.859763833312347	0.907016016837943	100042150	Nrg2
100042165	8.8	10.8	-0.301837263576179	1.38099796030311	4.12415885154803	0.0535787235873599	0.110695664770112	100042165	BC005561
100042173	299.2	265.4	0.164571847317213	1.80545349142893	2.46738047339291	0.129419141645602	0.221861093471947	NA	NA
100042178	914.2	866	0.0719874971764269	3.61612471619895	0.889623867328923	0.35525059781301	0.482366570294903	NA	NA
100042194	150	199.8	-0.411972234647343	2.35186836655488	20.0634429787035	0.000158521117793322	0.000951126706759931	NA	NA
100042277	1895.6	1857.4	0.0263472065788132	6.09768555539654	0.410441935145224	0.527860066335411	0.646036358917191	NA	NA
100042332	115.6	161	-0.475835201983886	1.32478872610086	12.4472475694811	0.0017324360465321	0.00685106172820109	NA	NA
100042335	373.4	395.4	-0.0944040663148377	2.56829973164806	1.54430368623821	0.226070990210182	0.342052767978433	NA	NA
100042355	106.2	116	-0.127665366401339	2.59077061159218	1.67453637343291	0.208056470316754	0.32072420719501	100042355	Ube2l3
100042424	503	476.8	0.0807537978658773	4.57562483446739	2.0681457634106	0.163411574726523	0.265865702509811	100042424	Pdcd5
100042450	78.4	66.6	0.225698858228617	2.52914645094996	5.92512420415957	0.0228004024025987	0.056028054458885	100042450	Smim17
100042464	3736	3982	-0.0971524148261261	5.21647047759703	2.52718356623279	0.127693399655496	0.219462591988173	NA	NA
100042480	2605.4	2055.8	0.341221503529325	6.25158566980907	44.5734406734667	1.75088703639749e-06	2.25958225215083e-05	100042480	Nhsl2
100042498	822.8	1011.4	-0.301974972368486	4.16943712202065	22.9541455354685	7.19179515444265e-05	0.000493590727266449	NA	NA
100042503	469	487.2	-0.0593943918506366	2.56338326980895	0.493040298099223	0.48937821398607	0.612007450613345	100042503	Ndufb4
100042533	211.8	207.6	0.0286367063603032	2.26976400502694	0.0866803204390984	0.770990704018614	0.842861618626752	NA	NA
