	logFC	logCPM	LR	PValue	FDR	check	gene
634104	-3.00479610740845	0.248816467860022	37.3165588573079	1.00428258797477e-09	1.45159005265874e-05	634104	Olfr287
73284	0.467973461063021	4.77032058140888	34.1249975859452	5.16830461877255e-09	3.73513374798692e-05	73284	Ddit4l
12123	-0.27066915172516	5.7998187144068	18.4520981430407	1.74228903794306e-05	0.0551362646096697	12123	Hrk
13108	-5.2262140018309	-1.69840858421268	18.2796872619711	1.90730125258301e-05	0.0551362646096697	13108	Cyp2g1
269589	1.27913573128984	1.13057455798252	18.3409331096723	1.84695858545883e-05	0.0551362646096697	269589	Sytl1
67945	0.188497604565632	6.91063850455358	16.4111204435356	5.09852338659366e-05	0.122823428383041	67945	Rpl41
18164	-0.186667064009406	9.16876509280953	15.5861181051615	7.88312282972959e-05	0.126602952645457	18164	Nptx1
19944	0.219209098795582	5.63310693726277	16.0186306413549	6.27222224512426e-05	0.126602952645457	19944	Rpl29
236920	0.197359628423266	6.03069529630878	15.5989087272469	7.82997650383213e-05	0.126602952645457	236920	Stard8
320506	0.39497270254905	4.04390784787565	15.3627073088963	8.87221984655317e-05	0.12823906566208	320506	Lmbrd2
106759	-0.36469618578489	2.7609625464908	14.9444332037262	0.000110724266564664	0.142749499138652	106759	Ticam1
53625	0.240126486215947	4.68839789074952	14.8161931473557	0.000118513490360027	0.142749499138652	53625	B3gnt2
107869	-0.532286472843508	1.68680938309891	14.1850405026205	0.000165682507015418	0.16640322346054	107869	Cth
109901	-1.69691282872291	0.141569575375614	14.1071175216067	0.000172689106953653	0.16640322346054	109901	Cela1
320563	-0.201399097908786	6.74514018226682	14.2434832280579	0.000160616001971516	0.16640322346054	320563	Islr2
108097	-0.17385412534334	6.15243523368366	13.641580625106	0.000221231115377792	0.188098502451212	108097	Prkab2
333088	0.550940227369083	1.69857921136835	13.7330246997809	0.000210716566302986	0.188098502451212	333088	Kcp
16476	-0.272851757992557	5.73169494261427	13.4107475667913	0.000250186687047645	0.195178397187936	16476	Jun
19009	-0.252610965402816	7.09942884871806	13.363530001208	0.000256564933345149	0.195178397187936	19009	Pou6f1
140792	0.333127912082574	3.26905531936946	13.1164093492682	0.000292720519852579	0.201475352092818	140792	Colec12
14313	0.68858010423683	1.61817333107059	13.1520176713779	0.000287209803936713	0.201475352092818	14313	Fst
244954	-0.435124540839675	2.84913238986111	12.856611641222	0.000336288955197824	0.216353732736988	244954	Prss35
50708	-0.357317051779096	3.14001951622252	12.8127022431412	0.000344273962429135	0.216353732736988	50708	Hist1h1c
13087	-2.4497306670985	-0.285025806477297	12.4153935731498	0.00042580926330611	0.256443628826104	13087	Cyp2a5
72225	-0.323430872021942	3.27354339506355	12.2266274609103	0.000471122807193398	0.272384362206935	NA	NA
19418	0.148105624063914	7.87402364167688	12.1144989674135	0.000500312791873307	0.278135426682184	NA	NA
21847	-0.432800618664674	5.21425285636686	11.8311911376131	0.00058246721903909	0.3067192584606	21847	Klf10
22146	-0.427359171166542	4.40675945711985	11.7941528942795	0.00059417041904641	0.3067192584606	22146	Tuba1c
14264	0.424117964786413	3.94631479064789	11.5305720164052	0.000684609458155402	0.319204680908974	14264	Fmod
18438	-0.250666551200985	3.88867336913052	11.5937537682486	0.000661737044121276	0.319204680908974	18438	P2rx4
53324	-0.317119503730123	6.15838718605809	11.5747149581016	0.0006685468327266	0.319204680908974	53324	Nptx2
11984	-0.195561307101334	7.98124157701218	11.3879637221681	0.000739215182400288	0.330636128663036	11984	Atp6v0c
77781	-0.202642792610358	6.99104541388629	11.3490222493602	0.000754877006079991	0.330636128663036	77781	Epm2aip1
15331	-0.597942992381113	3.89184683198733	10.9653794334585	0.000928299371409024	0.344042028572975	15331	Hmgn2
15561	0.526177317328052	2.97325074953193	11.0627032505598	0.000880816294989072	0.344042028572975	15561	Htr3a
19204	-0.842348056107859	0.0230863946570977	11.1740111295234	0.000829510955789393	0.344042028572975	19204	Ptafr
