	S3HC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	324.2	311.4	0.0575557156466372	1.29000906440979	0.251659260673926	0.619433355008179	0.960184630611011	100008567	Gm14964
100009600	20.6	23.4	-0.154120326189381	-0.130229086283104	0.506857823078069	0.481795990021385	0.92736143701924	100009600	Zglp1
100017	64.6	65.2	-0.00919029989351841	1.44155271048566	0.00755258437124963	0.93130230326034	0.996869182277266	100017	Ldlrap1
100019	279.2	290.8	-0.052347492940518	6.21428396962063	0.530555873495635	0.474263313047998	0.926438276772134	100019	Mdn1
100034361	287.8	270.2	0.0863994816310644	2.51917010682223	1.17168253794762	0.28735684502525	0.86566670117695	100034361	Mfap1b
100034726	1062.8	1089.6	-0.0348635600995415	5.54558138252108	0.556267244843504	0.461440308353858	0.925811578609538	100034726	Gm15772
100036521	1745	1677.2	0.0569225825861169	5.08039790161259	2.30316848751127	0.139186017217255	0.766527856977246	100036521	Umad1
100036768	257	271.6	-0.0608465446141098	1.10655331148374	0.339083884042355	0.574518394922744	0.950644307580499	100036768	Gm11696
100037258	2401	2356.6	0.0259963700777544	6.07832642412807	0.353716086140404	0.556343518921641	0.943675943522095	100037258	Dnajc3
100037262	38.6	38	0.00976395521113111	0.975761900244946	0.00566664415708745	0.940475179313057	0.997848189882899	100037262	Gm12359
100037278	78	80.6	-0.0362419355976458	1.21631487825959	0.0762427040489957	0.784277381866609	0.984321819230402	100037278	Fam129c
100037282	342.4	360.4	-0.0689417546828989	2.44623699353789	0.912810135198249	0.346719687751031	0.893124337824083	100037282	Rsph3b
100037283	25.6	26	-0.00470135129184417	0.603535330107921	0.00107487290840059	0.974054829685931	0.998853069201928	100037283	Rnaset2a
100037396	511.4	496.6	0.0425726685549858	3.48949354594288	0.479728856774752	0.493672252766613	0.929409316179077	100037396	D030047H15Rik
100038347	1553	1617.8	-0.0556374653649588	5.17953012025872	1.27822741077733	0.266872565981422	0.855782501021645	100038347	Fam174b
100038356	200.2	214	-0.0854759090760605	2.29846466841539	1.04110139243133	0.315418056343405	0.878686518225671	100038356	Gm15612
100038392	22.4	23.2	-0.0694901195627811	0.621830145359502	0.373381325606124	0.545596490221557	0.942833203377339	100038392	Gm10785
100038411	96.2	85.6	0.136945742147169	0.481307083759285	0.753399929219762	0.392034130829332	0.910307412224211	100038411	Gm15998
100038416	150.4	164.2	-0.122147336450636	0.612014810897341	0.975183972434206	0.330992926659535	0.885265755775419	100038416	Gm10643
100038453	126.6	148.6	-0.213769370249192	0.619999180998649	2.63531972678013	0.114580420962282	0.744248214300786	100038453	Gm12522
100038486	105.2	99.6	0.0890600986097033	1.92346663913427	0.824593400154865	0.37080650970865	0.901514289579162	100038486	Gm10742
100038526	444.6	482	-0.110692873564272	2.76671110631643	3.38861414264326	0.0751825621745777	0.688325889858032	100038526	Gm10560
100038538	61.4	70.4	-0.179111290529585	1.58463964729278	3.61916115127684	0.0663896952739098	0.67626833528893	100038538	Gm10767
100038570	65.6	83	-0.301027896645042	0.879023948140818	5.62925690964395	0.0240111751891923	0.547592788615228	100038570	Prcd
100038575	126.2	141.8	-0.168242662410812	2.71548013780851	2.41132963498005	0.131666779655615	0.759034615220798	100038575	Gm10635
100038577	74	74.6	-0.00873231156977156	0.845684491391156	0.0050504298764559	0.943798838289605	0.997921197843144	100038577	Gm10790
100038591	161.2	164.2	-0.0205005650556253	1.14539969048887	0.029785334914042	0.864093694359907	0.991431157213186	100038591	F420014N23Rik
100038605	194	205	-0.0780510894571827	2.17103026068846	0.942382119122554	0.339137354862767	0.889897892602427	100038605	E030047D23Rik
100038614	13.4	16	-0.27524010582098	1.18248847167333	6.20087166423581	0.0183033865232955	0.523652950551857	100038614	Gm10791
100038647	19.8	19	0.0671408822718543	1.08690506277917	0.262093635858296	0.612292894914218	0.959462401152305	100038647	Gm10572
100038688	25.6	24.6	0.060947814349902	0.201122390182106	0.196416181675209	0.660689405774577	0.966426335024615	100038688	Gm10724
100038712	189.2	186.6	0.0157019922884752	2.32741604818677	0.0525426742107925	0.844514375294257	0.988389075282043	100038712	Gm10516
100038713	31.2	29.8	0.0486985161253781	0.697779222227443	0.110771212874064	0.741495496497576	0.982438186106793	100038713	Gm10432
100038725	52.4	51	0.05207841683849	2.87226532115766	0.412876860167061	0.525210300672811	0.938426408587251	100038725	Cep85l
100038739	89.6	94	-0.0800877179212318	1.70704938587614	0.698130627002787	0.409770216467973	0.911090073293777	100038739	Gm10615
100038746	570.8	605.8	-0.084438520479395	3.77159782207837	3.23552649643543	0.0817450716865398	0.698031758613022	100038746	Gm1976
100038882	49.8	49.2	0.00401355501261254	0.859338693778855	0.00084134399128942	0.977044740369339	0.998853069201928	100038882	Isg15
100038999	59.8	55.4	0.10320681136915	0.942534097005049	0.823995642950545	0.370977738740894	0.901514289579162	100038999	Gm13552
100039017	74	76.8	-0.0601473548485598	2.17158492535495	0.577296265128785	0.453081329401932	0.924886714639969	100039017	Gm2007
100039027	21.4	22.2	-0.0609578042351851	0.912266608552108	0.232125377322308	0.633317180709224	0.963623646362873	100039027	Gm2011
100039060	31	32.8	-0.0714787411856631	1.27598256388256	0.620777503815343	0.437131619740055	0.920347212275774	100039060	0610010B08Rik
100039062	251.2	230.8	0.0990984510706415	1.10134905659284	0.620149055693392	0.436938026586652	0.920347212275774	100039062	Gm2027
100039138	53.8	48	0.16622169191958	0.653513123516486	1.9881430742882	0.168433832383512	0.793533129446395	100039138	Gm2061
100039239	116.8	122.6	-0.0665345008982994	2.01730168394913	0.594538223266282	0.446474059079936	0.923608422314808	100039239	Gm2115
100039252	217	225.2	-0.052070791414262	3.35512056359298	0.810344493903204	0.37491930880625	0.90377355304287	100039252	Gm12693
100039257	46.2	46.6	-0.0390173603143727	0.470893492773333	0.0447224227811942	0.833960298661023	0.988175966126561	100039257	Tmem254b
100039304	2644.8	2490.4	0.0657923500592646	2.05094553298175	0.0758859071386574	0.785790546724263	0.985211830703935	100039304	Gm2148
100039307	34.2	37.4	-0.0864042350306513	0.510762578640089	0.424854861557134	0.519300916646483	0.93766404571933	NA	NA
100039419	1221	1218	0.000478870953981799	5.28234588036623	0.000144389275136145	0.990489246193079	0.999552472603532	100039419	Gm2223
