	S3RS2	WTRS2	logFC	logCPM	F	PValue	FDR	check	gene
100008567	284.4	289.2	-0.0801542355075969	1.29000906440979	0.37213166476972	0.546265548944658	0.933985649908155	100008567	Gm14964
100009600	18.6	21.6	-0.139263815129008	-0.130229086283104	0.304456484880017	0.585035618382125	0.939811344052995	100009600	Zglp1
100017	61	58.4	0.0190034680211135	1.44155271048566	0.0254797516170199	0.874207076146904	0.988503905823338	100017	Ldlrap1
100019	297.6	299.2	-0.0114965738525806	6.21428396962063	0.0243367586434409	0.877492272703445	0.990133153731623	100019	Mdn1
100034361	282	275.6	0.0425227073459809	2.51917010682223	0.243375806302075	0.625235682697106	0.947191368942528	100034361	Mfap1b
100034726	1059.2	1031.2	0.0451523887585643	5.54558138252108	0.833255073111772	0.368445180894052	0.892163827091559	100034726	Gm15772
100036521	1642.8	1658.6	-0.013023437952778	5.08039790161259	0.107492394883356	0.745208865279176	0.968261622910829	100036521	Umad1
100036768	224.2	231.2	-0.0313097410364556	1.10655331148374	0.0686483013861258	0.887706579911811	0.991451043142312	100036768	Gm11696
100037258	3077	3151	-0.0445118385623551	6.07832642412807	1.01168023197197	0.32230555700778	0.877861069013667	100037258	Dnajc3
100037262	40.8	34.2	0.230750271234446	0.975761900244946	2.78215122781018	0.105334672025274	0.718168424744285	100037262	Gm12359
100037278	95.2	92.2	0.0197197397627342	1.21631487825959	0.0202499616032887	0.887756808592468	0.991451043142312	100037278	Fam129c
100037282	320.6	309.6	0.0496441802334524	2.44623699353789	0.381215860193749	0.541436838994829	0.933372463119872	100037282	Rsph3b
100037283	20.6	22.2	-0.0934597905408702	0.603535330107921	0.304435422790842	0.585048538770746	0.939811344052995	100037283	Rnaset2a
100037396	526.6	531.4	-0.0236432232906125	3.48949354594288	0.129511282807251	0.721365670141439	0.965559099414247	100037396	D030047H15Rik
100038347	1700.2	1707.8	-0.00794927881491775	5.17953012025872	0.0238042877561122	0.878380800893066	0.990239427959041	100038347	Fam174b
100038356	155.6	177	-0.196061768474737	2.29846466841539	4.24236944930665	0.0478592634018927	0.601658194869659	100038356	Gm15612
100038392	22	21.8	-0.00686285854322589	0.621830145359502	0.00308549501737822	0.956056945698921	0.998202914737633	100038392	Gm10785
100038411	83	83.4	0.0382344273229156	0.481307083759285	0.0432130694268441	0.836676551707494	0.983985932413804	100038411	Gm15998
100038416	120.8	126.8	-0.0897967603230194	0.612014810897341	0.372626573279813	0.54600039361716	0.933985649908155	100038416	Gm10643
100038453	103.2	132.8	-0.370600349123113	0.619999180998649	6.02655940815732	0.019868751940959	0.480184834264813	100038453	Gm12522
100038486	99	102.2	-0.0404187328980605	1.92346663913427	0.146720859573193	0.704288193319034	0.963124049209047	100038486	Gm10742
100038526	423.2	400.4	0.0835405318146179	2.76671110631643	1.56313546129872	0.220509566589972	0.820612623291823	100038526	Gm10560
100038538	68.2	63.6	0.0897544342939626	1.58463964729278	0.799246007895196	0.409375396834222	0.906970505644617	100038538	Gm10767
100038570	50.6	63	-0.330480168375299	0.879023948140818	4.51480286580484	0.0416322899002884	0.586347817504103	100038570	Prcd
100038575	141.2	156.2	-0.153732546669095	2.71548013780851	1.86483576935996	0.182914878210626	0.795455249039473	100038575	Gm10635
100038577	61.8	61.4	0.00476360034950913	0.845684491391156	0.00110615028505612	0.973680193072082	0.999793708426007	100038577	Gm10790
100038591	173.4	161.2	0.0640115079762371	1.14539969048887	0.241472972101638	0.626585956864369	0.947191368942528	100038591	F420014N23Rik
100038605	159.4	166.2	-0.0681654957526281	2.17103026068846	0.570387156254577	0.455772997838789	0.918613765521988	100038605	E030047D23Rik
100038614	13.4	12	0.10126534827221	1.18248847167333	0.697707694383133	0.409910533297053	0.906970505644617	100038614	Gm10791
100038647	29	24	0.268542089217911	1.08690506277917	4.3673990512844	0.0448818867632569	0.589644845255587	100038647	Gm10572
100038688	29.4	28.2	0.0266689064608415	0.201122390182106	0.033233449334076	0.937209427751364	0.997819821355254	100038688	Gm10724
100038712	176.6	163.6	0.0940558208134527	2.32741604818677	1.56345575987101	0.337122013821328	0.881347256308171	100038712	Gm10516
100038713	28.2	37	-0.367991439519903	0.697779222227443	5.42458814957461	0.0265066141188034	0.516039570574653	100038713	Gm10432
100038725	50.2	49.8	0.0291951571160028	2.87226532115766	0.11602017878023	0.735676233598541	0.96722240417332	100038725	Cep85l
100038739	102.4	100.2	0.0337684351607627	1.70704938587614	0.110604299921942	0.74168304172333	0.967677027481579	100038739	Gm10615
