	ph1$kmeans$cluster	check	gene
Ablim2	1	Ablim2	231148
Aifm3	1	Aifm3	72168
Cfap100	1	Cfap100	243538
Col6a3	1	Col6a3	12835
Dkk3	1	Dkk3	50781
Dnajc28	1	Dnajc28	246738
Elk1	1	Elk1	13712
Evc2	1	Evc2	68525
Fam19a5	1	Fam19a5	106014
Fggy	1	Fggy	75578
Hlf	1	Hlf	217082
Itga11	1	Itga11	319480
Lrrk2	1	Lrrk2	66725
Mapk11	1	Mapk11	19094
Matn2	1	Matn2	17181
Medag	1	Medag	70717
Mgat4b	1	Mgat4b	103534
Omp	1	Omp	18378
Per3	1	Per3	18628
Postn	1	Postn	50706
Pphln1	1	Pphln1	223828
Prkab2	1	Prkab2	108097
Prss35	1	Prss35	244954
Psd3	1	Psd3	234353
Psrc1	1	Psrc1	56742
Rgs16	1	Rgs16	19734
Sertad3	1	Sertad3	170742
Slc24a4	1	Slc24a4	238384
Stc1	1	Stc1	20855
Stum	1	Stum	381310
Tef	1	Tef	21685
Tmem114	1	Tmem114	74720
Tub	1	Tub	22141
Vps13a	1	Vps13a	271564
2010300C02Rik	2	2010300C02Rik	72097
Arrdc2	2	Arrdc2	70807
B3gnt2	2	B3gnt2	53625
Egln1	2	Egln1	112405
Epha10	2	Epha10	230735
Fosl2	2	Fosl2	14284
Fst	2	Fst	14313
Gm11549	2	Gm11549	100503068
Hspb8	2	Hspb8	80888
Ifrd1	2	Ifrd1	15982
Jcad	2	Jcad	240185
Jdp2	2	Jdp2	81703
Kcnk1	2	Kcnk1	16525
Kcnn2	2	Kcnn2	140492
Lsm11	2	Lsm11	72290
Maml3	2	Maml3	433586
Mast2	2	Mast2	17776
Myo1e	2	Myo1e	71602
Ncf1	2	Ncf1	17969
Nde1	2	Nde1	67203
Npas2	2	Npas2	18143
Nt5dc2	2	Nt5dc2	70021
Pdzd2	2	Pdzd2	68070
Plat	2	Plat	18791
Ptprj	2	Ptprj	19271
Rspo3	2	Rspo3	72780
Serpinb8	2	Serpinb8	20725
Spata2l	2	Spata2l	78779
Stard8	2	Stard8	236920
Syn3	2	Syn3	27204
Syne1	2	Syne1	64009
Vip	2	Vip	22353
Wipf3	2	Wipf3	330319
Abcd2	3	Abcd2	26874
B4galt7	3	B4galt7	218271
Bhlhe41	3	Bhlhe41	79362
Bmp1	3	Bmp1	12153
Cela1	3	Cela1	109901
Chia1	3	Chia1	81600
Col5a1	3	Col5a1	12831
Cpne8	3	Cpne8	66871
Cpne9	3	Cpne9	211232
Dbp	3	Dbp	13170
Ddn	3	Ddn	13199
Deaf1	3	Deaf1	54006
Dennd6b	3	Dennd6b	69440
Dpp10	3	Dpp10	269109
Entrez:210541	3	NA	210541
Extl1	3	Extl1	56219
Gm15337	3	Gm15337	100503620
Gm4524	3	Gm4524	100043571
Gsta4	3	Gsta4	14860
Hdac7	3	Hdac7	56233
Kcnj9	3	Kcnj9	16524
Mamdc2	3	Mamdc2	71738
Mxra7	3	Mxra7	67622
Nek6	3	Nek6	59126
Nr1d1	3	Nr1d1	217166
Nr3c2	3	Nr3c2	110784
Olfr287	3	Olfr287	634104
Otof	3	Otof	83762
Pou6f1	3	Pou6f1	19009
Rabl2	3	Rabl2	68708
Rasgrf2	3	Rasgrf2	19418
Rnf207	3	Rnf207	433809
Rpap3	3	Rpap3	71919
Sec14l3	3	Sec14l3	380683
Sema4f	3	Sema4f	20355
Sgpp2	3	Sgpp2	433323
Slc22a4	3	Slc22a4	30805
Slc6a15	3	Slc6a15	103098
Susd2	3	Susd2	71733
Tbc1d9b	3	Tbc1d9b	76795
Tmem106c	3	Tmem106c	380967
Tmem209	3	Tmem209	72649
Tnfrsf8	3	Tnfrsf8	21941
Tuba1c	3	Tuba1c	22146
Wscd1	3	Wscd1	216881
1810041L15Rik	4	1810041L15Rik	72301
Acr	4	Acr	11434
Adcyap1	4	Adcyap1	11516
Cntn1	4	Cntn1	12805
Cttnbp2	4	Cttnbp2	30785
Ddit4l	4	Ddit4l	73284
Dusp10	4	Dusp10	63953
Dusp3	4	Dusp3	72349
Fxyd7	4	Fxyd7	57780
Gng4	4	Gng4	14706
Hmgcr	4	Hmgcr	15357
Kcnk2	4	Kcnk2	16526
Kcnv1	4	Kcnv1	67498
Ldlr	4	Ldlr	16835
Marcksl1	4	Marcksl1	17357
Mpp3	4	Mpp3	13384
Parvg	4	Parvg	64099
Phf21b	4	Phf21b	271305
R3hdm1	4	R3hdm1	226412
Rab3b	4	Rab3b	69908
Reln	4	Reln	19699
Rgs4	4	Rgs4	19736
Sema5a	4	Sema5a	20356
Setbp1	4	Setbp1	240427
Sfxn1	4	Sfxn1	14057
Slc7a11	4	Slc7a11	26570
Sox4	4	Sox4	20677
Stat4	4	Stat4	20849
Taf15	4	Taf15	70439
Trp53bp1	4	Trp53bp1	27223
Ugcg	4	Ugcg	22234
Zmynd19	4	Zmynd19	67187
Atp6v0c	5	Atp6v0c	11984
Cbarp	5	Cbarp	100503659
Clstn3	5	Clstn3	232370
Ddah1	5	Ddah1	69219
Fam81a	5	Fam81a	76886
Fat3	5	Fat3	270120
Gm2444	5	NA	100039826
Gxylt1	5	Gxylt1	223827
Jun	5	Jun	16476
Krt80	5	Krt80	74127
Map3k5	5	Map3k5	26408
Moxd1	5	Moxd1	59012
Nedd9	5	Nedd9	18003
Nfil3	5	Nfil3	18030
Nptx2	5	Nptx2	53324
Ntrk2	5	Ntrk2	18212
Pdyn	5	Pdyn	18610
Prickle1	5	Prickle1	106042
Ptgfrn	5	Ptgfrn	19221
Rasl10b	5	Rasl10b	276952
Rnd1	5	Rnd1	223881
Scg2	5	Scg2	20254
Sema3a	5	Sema3a	20346
Shank3	5	Shank3	58234
Sorcs2	5	Sorcs2	81840
Tspan11	5	Tspan11	68498
Wnk4	5	Wnk4	69847
