	KOHC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	253	243.8	0.0611538362864615	1.32193505358357	0.369417208543619	0.549052416413299	0.920130484947375	100008567	Gm14964
100009600	27.6	30.8	-0.147974153343667	0.0366906674856713	0.458752304123355	0.504947518069992	0.909432496812184	100009600	Zglp1
100017	20.6	20	0.0359065020956775	1.45647654350106	0.129699192151671	0.721906088229598	0.964365120080463	100017	Ldlrap1
100019	294.4	299.8	-0.0199790681522262	6.20347312138611	0.206221054348454	0.65436978008872	0.94968264848236	100019	Mdn1
100034361	107.6	100	0.0984818098332426	2.50276048245747	1.56907604708308	0.222455295701735	0.791414572499658	100034361	Mfap1b
100034726	771.2	785	-0.0276682432579809	5.54226255938241	0.456873821978562	0.505574773155672	0.909468297597024	100034726	Gm15772
100036521	2002.8	1921	0.0587565610789829	5.08041589615636	2.45292107798561	0.130447414341076	0.703178889136297	100036521	Umad1
100036768	98	103.4	-0.0692434021297153	1.12397179507295	0.411959653161754	0.527082929258586	0.915169689171785	100036768	Gm11696
100037258	2127.8	2091.6	0.0250577113072804	6.0442237449119	0.452831142125263	0.507446193380362	0.909894415909436	100037258	Dnajc3
100037262	39.4	38.8	0.0249622646358939	0.968826842844258	0.0409976352212842	0.841255608912346	0.980819206793658	100037262	Gm12359
100037278	50.4	52	-0.0380439108805614	1.2649804747223	0.0884319365223454	0.768748653853176	0.971375353134517	100037278	Fam129c
100037282	157.6	167.2	-0.0796477920442043	2.47496466757874	0.950235977912717	0.339419521748108	0.849340852690486	100037282	Rsph3b
100037283	347	346.6	0.0158360738045385	0.659040560522909	0.00991169718289747	0.92156156085816	0.992131007735943	100037283	Rnaset2a
100037396	383.8	371.6	0.0513256016146314	3.5025645117612	0.75992657709508	0.392021512602544	0.869871317879898	100037396	D030047H15Rik
100038347	2131.8	2224	-0.0565844075834383	5.18104617098806	1.05149636610219	0.317423576644492	0.841009651607571	100038347	Fam174b
100038356	374.8	398.8	-0.0794761292871098	2.33770989207464	0.805993038088287	0.378259640876517	0.864929056773101	100038356	Gm15612
100038392	56.6	58.4	-0.0591043485106491	0.662891370404408	0.233535941230665	0.633310349542026	0.943996932238486	100038392	Gm10785
100038411	116.6	104.6	0.122477584039859	0.505905277914354	0.553780959142367	0.464422159164215	0.896187338017107	100038411	Gm15998
100038416	77.2	86.6	-0.148099535054212	0.657714291447399	1.82884452786481	0.188917701109978	0.759982313343617	100038416	Gm10643
100038453	78.4	92.6	-0.221708476290849	0.651663266115639	2.84673071435326	0.104565535241177	0.670897321687464	100038453	Gm12522
100038486	46.8	44.2	0.0908342024314664	1.86224296345384	0.879096105157184	0.357824904014461	0.856462165334056	100038486	Gm10742
100038526	162.8	175.8	-0.108336030618887	2.81305342976906	2.75072627785784	0.110273842257208	0.68290407711469	100038526	Gm10560
100038538	29.4	33.6	-0.180335877706752	1.56666541280011	3.95955209289998	0.0581604225921433	0.580716374392403	100038538	Gm10767
100038570	69.8	89	-0.303962308593803	1.00582473520421	5.10042384000986	0.0333234446814698	0.506197122553409	100038570	Prcd
100038575	63	68.6	-0.108394026953896	2.68089088520371	1.3928431513463	0.250036564370514	0.808827559671014	100038575	Gm10635
100038577	84	84	-0.00264772120967299	0.837734005972399	0.000466433423032526	0.982948605495138	0.996892754663007	100038577	Gm10790
100038591	100.8	103.6	-0.0284840950418757	1.15664310086145	0.0717191745464704	0.791146758323869	0.976260232512888	100038591	F420014N23Rik
100038605	63.2	66.4	-0.0596123166488841	2.20576352375083	0.558828245563581	0.462022403711362	0.894503533008211	100038605	E030047D23Rik
100038614	5.4	6.4	-0.254148260689881	1.19044521095362	7.26693358883145	0.0126537217065848	0.401228432544282	100038614	Gm10791
